"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-3.08565344627094,-1.8711081639027
"2004-12-29",-3.05946789366787,-1.85465718478247
"2004-12-30",-3.06725273016204,-1.86174933418062
"2004-12-31",-3.06164382843509,-1.85800816820166
"2005-01-03",-3.0573506195664,-1.85431698642205
"2005-01-04",-3.19859998085274,-1.94031482391872
"2005-01-05",-3.20586709712412,-1.94550263569095
"2005-01-06",-3.18430446633745,-1.93256718908317
"2005-01-07",-3.14735065781604,-1.90940558728559
"2005-01-10",-3.13598538369966,-1.90274037389041
"2005-01-11",-3.1080989929488,-1.8854296872002
"2005-01-12",-3.10304666374143,-1.88245123511446
"2005-01-13",-3.07529848828913,-1.86635497199579
"2005-01-14",-3.12604052891341,-1.8974331171492
"2005-01-18",-3.09560227396886,-1.87757190406991
"2005-01-19",-3.08072075341078,-1.86823195197568
"2005-01-20",-3.09892935308815,-1.88075501470555
"2005-01-21",-3.10792532661748,-1.88667661655951
"2005-01-24",-3.1246230785891,-1.89698263226904
"2005-01-25",-3.13315891924092,-1.9014597899331
"2005-01-26",-3.1241360771463,-1.89399421115128
"2005-01-27",-3.09589547490238,-1.87632093786968
"2005-01-28",-3.11471891201988,-1.88816713846413
"2005-01-31",-3.47004718914426,-2.09377407393505
"2005-02-01",-3.33501426536656,-2.01137301486438
"2005-02-02",-3.23072349225356,-1.94806497195619
"2005-02-03",-3.18702334066848,-1.92083224888367
"2005-02-04",-3.12457565099156,-1.88267334375346
"2005-02-07",-3.07978421741205,-1.85524141303082
"2005-02-08",-3.05633647233499,-1.84136236008551
"2005-02-09",-3.0400334195033,-1.83077998673674
"2005-02-10",-3.02947636658421,-1.82444011926729
"2005-02-11",-3.01061844228529,-1.81300947203112
"2005-02-14",-3.00708940459593,-1.81016702717443
"2005-02-15",-2.94060495337863,-1.768369284211
"2005-02-16",-2.91815923294457,-1.75447781717861
"2005-02-17",-2.91505463022458,-1.75217146840794
"2005-02-18",-2.97434551594085,-1.78817507596102
"2005-02-22",-3.09806390001911,-1.85040504053343
"2005-02-23",-3.48989790066622,-2.08673830686804
"2005-02-24",-3.38696604923469,-2.02358008219537
"2005-02-25",-3.30745080841532,-1.97458270490485
"2005-02-28",-3.31983149662842,-1.982208921003
"2005-03-01",-3.21351813449449,-1.9192624208782
"2005-03-02",-3.19071716530118,-1.90591107919227
"2005-03-03",-3.14237917913191,-1.87651837061938
"2005-03-04",-3.13377931943983,-1.87163336416303
"2005-03-07",-3.13173428431163,-1.86966066860881
"2005-03-08",-3.09812656833129,-1.8488767141155
"2005-03-09",-3.08501961704134,-1.84047065064435
"2005-03-10",-3.17770940819257,-1.89765507956398
"2005-03-11",-3.16828391601224,-1.89145803324584
"2005-03-14",-3.11818105846424,-1.86083264129166
"2005-03-15",-3.11552462228099,-1.86059785211633
"2005-03-16",-3.07158420890057,-1.83387757146152
"2005-03-17",-3.0693117220097,-1.83290845003631
"2005-03-18",-3.08802422713686,-1.84335724669298
"2005-03-21",-3.05252494002418,-1.82177319206927
"2005-03-22",-3.03044714953214,-1.80885570930878
"2005-03-23",-3.04195124786845,-1.81852027314357
"2005-03-24",-3.03824049995835,-1.81624703558155
"2005-03-28",-3.02390702426469,-1.80770648529332
"2005-03-29",-2.99975537192961,-1.79249475196578
"2005-03-30",-3.07239335489381,-1.83654387189582
"2005-03-31",-3.07586547920666,-1.83819849511409
"2005-04-01",-3.05535187674738,-1.82584964253094
"2005-04-04",-3.05347366873937,-1.82518901796278
"2005-04-05",-3.10553904637108,-1.85678886144682
"2005-04-06",-3.07342371428976,-1.83748856161383
"2005-04-07",-3.08546896890539,-1.84466964619254
"2005-04-08",-3.02502630537916,-1.8068751667359
"2005-04-11",-3.04557232250618,-1.81949118602055
"2005-04-12",-3.01875839633753,-1.80374462253287
"2005-04-13",-3.03444803003789,-1.81352806679214
"2005-04-14",-3.09863363783931,-1.85271471188827
"2005-04-15",-3.06329659449704,-1.83369807301001
"2005-04-18",-3.33613051821821,-2.00015685916509
"2005-04-19",-3.28480650938911,-1.96922085680208
"2005-04-20",-3.26183649780982,-1.9552926229604
"2005-04-21",-3.33939485597254,-2.00193683094831
"2005-04-22",-3.35863350773406,-2.0134322318942
"2005-04-25",-3.31696131830799,-1.98879011247106
"2005-04-26",-3.28051112803618,-1.96603532523387
"2005-04-27",-3.25775890207954,-1.95234444625002
"2005-04-28",-3.27722098921524,-1.96414904865918
"2005-04-29",-3.34170896194243,-2.0035344241027
"2005-05-02",-3.3100099073059,-1.98351520065971
"2005-05-03",-3.272276791988,-1.96084826737438
"2005-05-04",-3.2644557872811,-1.95618496959483
"2005-05-05",-3.22907238399724,-1.93362503610952
"2005-05-06",-3.2018690885521,-1.9166549427566
"2005-05-09",-3.19454263940981,-1.91145562720982
"2005-05-10",-3.14900473434722,-1.88399232736342
"2005-05-11",-3.14589887583521,-1.88354514913126
"2005-05-12",-3.13496570413382,-1.87741514807748
"2005-05-13",-3.25479863109827,-1.95033682279642
"2005-05-16",-3.27241511322078,-1.96153632122808
"2005-05-17",-3.24686733536938,-1.94656505742699
"2005-05-18",-3.22744009098618,-1.93411370318397
"2005-05-19",-3.18757688427343,-1.90957501859725
"2005-05-20",-3.15898878237969,-1.89215498027549
"2005-05-23",-3.14908768911468,-1.88564298055828
"2005-05-24",-3.13217779676129,-1.87536879955576
"2005-05-25",-3.1084397840403,-1.86019777319591
"2005-05-26",-3.09642203302181,-1.85343377133411
"2005-05-27",-3.09188263836946,-1.85061491106268
"2005-05-31",-3.06795935383778,-1.83604334145728
"2005-06-01",-3.08962745822354,-1.85001225536942
"2005-06-02",-3.08014833711512,-1.84312723128968
"2005-06-03",-3.05738138857182,-1.82918240099962
"2005-06-06",-3.05866458428201,-1.83002898378077
"2005-06-07",-3.05074270225042,-1.82490830156929
"2005-06-08",-3.03276875099449,-1.81306796422434
"2005-06-09",-3.04462543881937,-1.82022141516684
"2005-06-10",-3.07170764673916,-1.83588929255873
"2005-06-13",-3.0521327656982,-1.82384477220075
"2005-06-14",-3.03148877439089,-1.81134304811683
"2005-06-15",-3.03332917511733,-1.81282354864738
"2005-06-16",-3.02108702278766,-1.8070874533938
"2005-06-17",-2.99956769594107,-1.79685684261821
"2005-06-20",-3.00735331342797,-1.80187326330692
"2005-06-21",-2.99165193005235,-1.79204906496308
"2005-06-22",-3.03301258460076,-1.8187172923044
"2005-06-23",-3.01361062602905,-1.80673430244146
"2005-06-24",-3.1233544972012,-1.87221344350203
"2005-06-27",-3.20640322547818,-1.92217998735406
"2005-06-28",-3.16079410871193,-1.89456658335592
"2005-06-29",-3.13600291089705,-1.8791079175144
"2005-06-30",-3.11333102556816,-1.86569534226721
"2005-07-01",-3.27442482824786,-1.96242281087625
"2005-07-05",-3.2174383128576,-1.92785270885632
"2005-07-06",-3.16090183932291,-1.89594121491781
"2005-07-07",-3.20914266316919,-1.92590877584737
"2005-07-08",-3.21638587364768,-1.92680443393964
"2005-07-11",-3.24074125048531,-1.94160496743267
"2005-07-12",-3.19503479564744,-1.9162256233548
"2005-07-13",-3.15334187027069,-1.89168509022175
"2005-07-14",-3.11220428081972,-1.86633563070569
"2005-07-15",-3.12751527290689,-1.87576966388867
"2005-07-18",-3.10865745839268,-1.86443737589708
"2005-07-19",-3.09323270828851,-1.85467094275335
"2005-07-20",-3.04407960577241,-1.82433822319011
"2005-07-21",-3.07622597170942,-1.84248451327445
"2005-07-22",-3.1342845430272,-1.87786606629608
"2005-07-25",-3.12628751220305,-1.87337929131156
"2005-07-26",-3.12417615031157,-1.87218811048519
"2005-07-27",-3.0900428265768,-1.85069531384951
"2005-07-28",-3.03551406806844,-1.81471197874813
"2005-07-29",-3.0146993009476,-1.80212408781702
"2005-08-01",-3.05977868526022,-1.83010476412799
"2005-08-02",-3.06376978323055,-1.83389958724117
"2005-08-03",-3.03822793921241,-1.81811013789117
"2005-08-04",-2.96629918683022,-1.77196120347172
"2005-08-05",-3.05891341983894,-1.82857807716909
"2005-08-08",-2.9913341770206,-1.78801725221185
"2005-08-09",-2.97588420323234,-1.77850685469663
"2005-08-10",-2.99056599422096,-1.78676384359598
"2005-08-11",-2.98930604663283,-1.78600239771606
"2005-08-12",-2.98887010333,-1.78592955892222
"2005-08-15",-2.9966208391685,-1.78993409427745
"2005-08-16",-2.96733586411844,-1.77219872730126
"2005-08-17",-3.05049968904525,-1.82271481589283
"2005-08-18",-3.04141608204831,-1.81846525638374
"2005-08-19",-3.08588623900961,-1.84716857880508
"2005-08-22",-3.56543710646965,-2.12777831121761
