"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-2.98252334849886,-1.80483592344444
"2004-12-29",-2.96877809946272,-1.79556800748597
"2004-12-30",-2.93119174624396,-1.77551337045953
"2004-12-31",-2.92199975268268,-1.76974484786439
"2005-01-03",-2.88960872039493,-1.74913169745791
"2005-01-04",-2.93948751007674,-1.7795464603399
"2005-01-05",-2.96139035440642,-1.79402070649467
"2005-01-06",-2.96069170125007,-1.79393854792664
"2005-01-07",-2.95779212090072,-1.79252464979077
"2005-01-10",-2.94518804763001,-1.78406563939537
"2005-01-11",-2.93195166686702,-1.77558422029953
"2005-01-12",-2.91606724403999,-1.76605750787528
"2005-01-13",-2.91925307839159,-1.7690766918959
"2005-01-14",-2.93318234550975,-1.77749673526524
"2005-01-18",-2.91779589434543,-1.76656674229098
"2005-01-19",-2.92302116846673,-1.76950189427302
"2005-01-20",-2.92706966988763,-1.77304590486123
"2005-01-21",-2.93399048202655,-1.77741253827206
"2005-01-24",-2.93175362395278,-1.77611315158907
"2005-01-25",-2.93141880624653,-1.77510916782686
"2005-01-26",-2.94445902381863,-1.78024202970113
"2005-01-27",-2.93558867253953,-1.77427799179789
"2005-01-28",-2.94406708615071,-1.78011680737042
"2005-01-31",-3.06684876028036,-1.84640353074264
"2005-02-01",-3.05652701243679,-1.84013645951364
"2005-02-02",-3.06632784083371,-1.84601122605591
"2005-02-03",-3.06230184758972,-1.84285781170656
"2005-02-04",-3.04640616739793,-1.83313324065677
"2005-02-07",-3.03582106720552,-1.82646019360369
"2005-02-08",-3.02160399526303,-1.81798746485738
"2005-02-09",-3.00616141520226,-1.80812848120535
"2005-02-10",-2.99638684980996,-1.80219163771087
"2005-02-11",-3.00620128649727,-1.80822588212448
"2005-02-14",-2.98543889905851,-1.79509239555848
"2005-02-15",-2.93394027697811,-1.76218689060425
"2005-02-16",-2.91323866999263,-1.74950529588832
"2005-02-17",-2.9315965085476,-1.76018918856528
"2005-02-18",-2.92075434968628,-1.75384915467105
"2005-02-22",-3.08703896097833,-1.84386911889107
"2005-02-23",-3.16694268250016,-1.89123648385583
"2005-02-24",-3.13289322813482,-1.86992598193591
"2005-02-25",-3.25637039196754,-1.94268396398762
"2005-02-28",-3.27733419341136,-1.95543897420997
"2005-03-01",-3.24225093159121,-1.93493490900979
"2005-03-02",-3.23370106137624,-1.92999461154889
"2005-03-03",-3.20896684986832,-1.91494435611403
"2005-03-04",-3.2053360215177,-1.91302225634696
"2005-03-07",-3.18860816505477,-1.902353854615
"2005-03-08",-3.12187068812544,-1.86192453043885
"2005-03-09",-3.12427257112225,-1.86262843671191
"2005-03-10",-3.1182888883439,-1.86027570992546
"2005-03-11",-3.15897901187256,-1.88350466307667
"2005-03-14",-3.13117365301474,-1.86666346128969
"2005-03-15",-3.10860358079611,-1.85373273540846
"2005-03-16",-3.09104742702211,-1.84273179041834
"2005-03-17",-3.03555727702031,-1.81028895865786
"2005-03-18",-3.07322264538523,-1.83130260124236
"2005-03-21",-3.01927565573174,-1.79959460528108
"2005-03-22",-3.04436215527515,-1.8137981585975
"2005-03-23",-2.98916676850023,-1.78389438825994
"2005-03-24",-2.98815144530681,-1.78295924042847
"2005-03-28",-2.97302766548216,-1.7735765043484
"2005-03-29",-3.00298246505591,-1.79005803333612
"2005-03-30",-3.0018987636268,-1.7898236492611
"2005-03-31",-2.94933888510616,-1.75858645728282
"2005-04-01",-2.95151844380685,-1.7598342567043
"2005-04-04",-2.94149834103325,-1.75533269976942
"2005-04-05",-2.97629095771624,-1.77650983818693
"2005-04-06",-2.97271205295974,-1.7743372566127
"2005-04-07",-2.96641444919206,-1.77070226451968
"2005-04-08",-2.95726243636195,-1.76335454431789
"2005-04-11",-2.96476745546709,-1.76794850841511
"2005-04-12",-2.95306884943787,-1.7610866940449
"2005-04-13",-2.9505949697933,-1.75971080875289
"2005-04-14",-2.96965383781908,-1.77128030804203
"2005-04-15",-2.9571962948696,-1.76468868796583
"2005-04-18",-3.07919959387546,-1.83948463332688
"2005-04-19",-3.04783443862265,-1.82085670999347
"2005-04-20",-3.05472368961847,-1.82491850025776
"2005-04-21",-3.09535499088987,-1.84929516700642
"2005-04-22",-3.14934610834164,-1.88162914109745
"2005-04-25",-3.12615640390882,-1.8685486568569
"2005-04-26",-3.10877963743975,-1.85730773452497
"2005-04-27",-3.09243416473317,-1.84735995121065
