"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.9078884414897,-1.26517913656683
"2004-12-29",-1.90722349665155,-1.26521177108094
"2004-12-30",-1.86467297960641,-1.23575341286582
"2004-12-31",-1.83809035150927,-1.21218365493468
"2005-01-03",-1.7875051539589,-1.18049972382089
"2005-01-04",-1.88219655430903,-1.2407338976832
"2005-01-05",-2.06052967652806,-1.37723887968999
"2005-01-06",-2.06098110587256,-1.3751138808778
"2005-01-07",-2.00510857027021,-1.34333558261232
"2005-01-10",-1.97792292965087,-1.31986313299785
"2005-01-11",-1.94278350728309,-1.2947561420478
"2005-01-12",-1.9871702818004,-1.31151559780434
"2005-01-13",-1.92513694657782,-1.27987532918408
"2005-01-14",-1.94398239575409,-1.30216495428567
"2005-01-18",-1.94863181718131,-1.2903074074282
"2005-01-19",-1.98929843245125,-1.32259181345829
"2005-01-20",-2.04195975694241,-1.37308078205545
"2005-01-21",-2.03835269653529,-1.36171059504694
"2005-01-24",-2.01049051362906,-1.33889256119308
"2005-01-25",-1.99248797807788,-1.32629582756702
"2005-01-26",-1.97294220816034,-1.31612684221651
"2005-01-27",-1.97313560139554,-1.31889412620267
"2005-01-28",-1.92418639042018,-1.2950398950824
"2005-01-31",-1.93214532671367,-1.2838760170288
"2005-02-01",-1.95733829951131,-1.30834292397777
"2005-02-02",-1.94534577537037,-1.29185923844881
"2005-02-03",-1.92185812728035,-1.27019801582289
"2005-02-04",-1.89326437291658,-1.25581038082129
"2005-02-07",-1.96515591629741,-1.30542562782705
"2005-02-08",-1.94022508406388,-1.28737820381807
"2005-02-09",-1.91633218522454,-1.27771015699182
"2005-02-10",-2.01371535878543,-1.35019529694507
"2005-02-11",-1.96516327281058,-1.31624667659935
"2005-02-14",-1.98812944749724,-1.32898240714936
"2005-02-15",-1.95457483419958,-1.30813700726265
"2005-02-16",-1.92599688294623,-1.28043867459884
"2005-02-17",-1.90034057162065,-1.25980962926233
"2005-02-18",-1.9080360465277,-1.27034408782584
"2005-02-22",-1.89464919558989,-1.25531611800434
"2005-02-23",-2.04922237622648,-1.37459355388678
"2005-02-24",-2.02976852995509,-1.35316234335046
"2005-02-25",-2.06225413351619,-1.36911766956285
"2005-02-28",-2.06995975887712,-1.38091587866977
"2005-03-01",-2.02729478060764,-1.35734649004853
"2005-03-02",-2.00370502862471,-1.32507783625969
"2005-03-03",-1.97163207892659,-1.31435463565411
"2005-03-04",-1.96245067579918,-1.30859243898448
"2005-03-07",-1.95512815351468,-1.30879675239204
"2005-03-08",-1.92031068975318,-1.27803577050851
"2005-03-09",-1.91711573895283,-1.27389296372991
"2005-03-10",-1.95629839405751,-1.30581568987663
"2005-03-11",-1.94251887157888,-1.28535310400024
"2005-03-14",-1.9107767689981,-1.26237460820888
"2005-03-15",-1.8750885191171,-1.24588499001143
"2005-03-16",-1.89116560297076,-1.25262712113404
"2005-03-17",-1.90464712138734,-1.26126915462968
"2005-03-18",-1.87932563599835,-1.24139785242751
"2005-03-21",-1.85803278178382,-1.24057603509603
"2005-03-22",-1.84718823995825,-1.21835194742069
"2005-03-23",-1.8943671846356,-1.2568809669469
"2005-03-24",-1.85794688170953,-1.23945990925481
"2005-03-28",-1.86078971843383,-1.2369258641402
"2005-03-29",-1.83254355933227,-1.21116291644722
"2005-03-30",-1.848043497501,-1.22678723718133
"2005-03-31",-1.9327875220369,-1.29314165178373
"2005-04-01",-1.92510047638905,-1.27735792547415
"2005-04-04",-1.91588223005831,-1.26376350910232
"2005-04-05",-1.88768300026619,-1.248880703425
"2005-04-06",-1.89219054827206,-1.24085893165618
"2005-04-07",-1.83830849162483,-1.22769925430686
"2005-04-08",-1.84651085427684,-1.21720371765716
"2005-04-11",-1.84109656460034,-1.22351913075954
"2005-04-12",-1.84186612128918,-1.21491998577942
"2005-04-13",-1.8447779026702,-1.21265224939489
"2005-04-14",-1.8983861751931,-1.26689767371879
"2005-04-15",-1.96736336276831,-1.31554973679386
"2005-04-18",-2.1528174396602,-1.44500070783819
"2005-04-19",-2.12004945103391,-1.41797114953062
"2005-04-20",-2.11897913312293,-1.42030281444949
"2005-04-21",-2.21412532676114,-1.49501419968972
"2005-04-22",-2.42857850953219,-1.63278655044567
"2005-04-25",-2.37411108036827,-1.61637378589653
"2005-04-26",-2.38639306932898,-1.61810450964641
"2005-04-27",-2.36324319764612,-1.61134061001494
"2005-04-28",-2.31657647830009,-1.57174044931308
"2005-04-29",-2.37350812550824,-1.61015907378459
"2005-05-02",-2.35971273569863,-1.59564118126881
"2005-05-03",-2.32415529212628,-1.57469769671069
"2005-05-04",-2.29042291100436,-1.55050798492587
"2005-05-05",-2.30405436240968,-1.55763029378381
"2005-05-06",-2.2680310676341,-1.52817701035874
"2005-05-09",-2.22224138069523,-1.50732588951082
"2005-05-10",-2.19857492260005,-1.48237319051773
"2005-05-11",-2.21039322166446,-1.49152708196636
"2005-05-12",-2.18988556380577,-1.47822620953651
"2005-05-13",-2.26231126848373,-1.52334834735993
"2005-05-16",-2.23810918035421,-1.51586062304935
"2005-05-17",-2.24308216709797,-1.51824589931669
"2005-05-18",-2.22998407143672,-1.50950936191343
"2005-05-19",-2.25553501963842,-1.52505560146371
"2005-05-20",-2.20136797868472,-1.49483394647209
"2005-05-23",-2.16679216343557,-1.47026433053215
"2005-05-24",-2.14382292845702,-1.44986852484003
"2005-05-25",-2.12585795334024,-1.43036008206265
"2005-05-26",-2.08842098848928,-1.41228972748669
"2005-05-27",-2.11357348994432,-1.42727124268715
"2005-05-31",-2.06360468854649,-1.37714833391921
"2005-06-01",-2.00228497966942,-1.33797330086434
"2005-06-02",-1.99817570381869,-1.34528592218477
"2005-06-03",-1.98641919981162,-1.32829420455036
"2005-06-06",-1.97832632188801,-1.32457334831057
"2005-06-07",-1.94206734921488,-1.29087529253953
"2005-06-08",-1.91690109185138,-1.27339391633885
"2005-06-09",-1.88055315906397,-1.2604787287526
"2005-06-10",-1.89838693330673,-1.25530282401667
"2005-06-13",-1.85650469972784,-1.23924383250888
"2005-06-14",-1.83337688190909,-1.22327716508984
"2005-06-15",-1.81819073211867,-1.20093374502313
"2005-06-16",-1.79877609541779,-1.1908916666369
"2005-06-17",-1.77849642718929,-1.18031722648746
"2005-06-20",-1.75737646433789,-1.15712076733478
"2005-06-21",-1.72625480336233,-1.13708544618592
"2005-06-22",-1.72313770064198,-1.1273901005612
"2005-06-23",-1.70943142354355,-1.11744459996043
"2005-06-24",-1.81853243693556,-1.19736479127919
"2005-06-27",-1.8220969627836,-1.19982077274589
"2005-06-28",-1.80556007741662,-1.18842062648333
"2005-06-29",-1.86920539470248,-1.25008112338287
"2005-06-30",-1.86069830713278,-1.22935188923973
"2005-07-01",-1.84836612538138,-1.21730364408633
"2005-07-05",-1.80070816728389,-1.19599327422191
"2005-07-06",-1.85178004071639,-1.23152855568973
"2005-07-07",-1.85982578805155,-1.22996551881102
"2005-07-08",-1.84589385982824,-1.22051558564813
"2005-07-11",-1.94491050934798,-1.29205650068542
"2005-07-12",-1.92665620871924,-1.28960438828189
"2005-07-13",-1.91063738327398,-1.27070936595893
"2005-07-14",-1.88580548653755,-1.2452892212444
"2005-07-15",-1.83619171173506,-1.21727261812711
"2005-07-18",-1.82195378650439,-1.20861050859917
"2005-07-19",-1.81743525071482,-1.20769757006866
"2005-07-20",-1.84109216464234,-1.21826824607882
"2005-07-21",-1.82944991468178,-1.2118100693783
"2005-07-22",-1.87572958923151,-1.24904205223538
"2005-07-25",-1.86001342367516,-1.24132505750835
"2005-07-26",-1.86825633120855,-1.2400272728747
"2005-07-27",-1.83376084573124,-1.21977262062207
"2005-07-28",-1.80796059924334,-1.19646352653236
"2005-07-29",-1.8312161544018,-1.21289175322858
"2005-08-01",-1.79582397593752,-1.19371011842365
"2005-08-02",-1.77767332670522,-1.1724923080883
"2005-08-03",-1.755810066083,-1.16049965052464
"2005-08-04",-1.75759598603785,-1.14872154735088
"2005-08-05",-1.80830537987126,-1.19046060884147
"2005-08-08",-1.82679164748071,-1.21683302933298
"2005-08-09",-1.82787180211442,-1.21291878275208
"2005-08-10",-1.78220744580329,-1.1828480037739
"2005-08-11",-1.77055331883045,-1.16721765260199
"2005-08-12",-1.77730617712801,-1.16678718425934
"2005-08-15",-1.78121334815037,-1.18051162372445
"2005-08-16",-1.76397812851525,-1.15869753614431
"2005-08-17",-1.876585551466,-1.24947017783991
