"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-2.03618900187154,-1.32655126487169
"2004-12-29",-2.04654043117965,-1.32019520115373
"2004-12-30",-1.97128493143202,-1.2983439432789
"2004-12-31",-1.94960218789146,-1.27732569911557
"2005-01-03",-1.88943698981729,-1.24033306998104
"2005-01-04",-1.98189721097679,-1.3038079361261
"2005-01-05",-2.15758545496529,-1.42935599862133
"2005-01-06",-2.14885416777094,-1.42485885042387
"2005-01-07",-2.09884692075945,-1.38808876147222
"2005-01-10",-2.06965646802194,-1.37294804505278
"2005-01-11",-2.04676289536723,-1.35032156996719
"2005-01-12",-2.06364210478431,-1.36372356277208
"2005-01-13",-2.02337223816419,-1.33688653869831
"2005-01-14",-2.0428604836988,-1.35420587294574
"2005-01-18",-2.0483222609737,-1.35271857233699
"2005-01-19",-2.06942566549603,-1.37807475451053
"2005-01-20",-2.13608962089464,-1.41752950263266
"2005-01-21",-2.12429264962081,-1.41335674919283
"2005-01-24",-2.10885324748604,-1.39159478590155
"2005-01-25",-2.06550085337513,-1.37460260316447
"2005-01-26",-2.04380751364957,-1.36710731182484
"2005-01-27",-2.06533141833158,-1.36046603574443
"2005-01-28",-2.01454734535092,-1.33732795369175
"2005-01-31",-2.01548653905234,-1.33631343493365
"2005-02-01",-2.05007105572253,-1.36344085778194
"2005-02-02",-2.02433321204883,-1.34045268238332
"2005-02-03",-1.99758852485332,-1.32950946189103
"2005-02-04",-1.98509621549712,-1.3119493688388
"2005-02-07",-2.04164988870181,-1.34978455762709
"2005-02-08",-2.02771313336972,-1.33788248784823
"2005-02-09",-2.00048022899,-1.32420880347602
"2005-02-10",-2.09887407881023,-1.40098505102509
"2005-02-11",-2.03968471946077,-1.36373222796087
"2005-02-14",-2.06471659413632,-1.37462486113375
"2005-02-15",-2.04579126387025,-1.35734304995477
"2005-02-16",-2.00617439767277,-1.33346813912243
"2005-02-17",-1.98642384989016,-1.31169160120078
"2005-02-18",-2.00511030683586,-1.33002049166104
"2005-02-22",-1.97305105539195,-1.30897248021355
"2005-02-23",-2.1508195406046,-1.43043854586631
"2005-02-24",-2.12290686719505,-1.40750084994121
"2005-02-25",-2.13814601068379,-1.41435912285849
"2005-02-28",-2.14503450814885,-1.4249073510374
"2005-03-01",-2.11891748773739,-1.41001948955827
"2005-03-02",-2.06987237850128,-1.37755271409043
"2005-03-03",-2.05774918982356,-1.36181261040419
"2005-03-04",-2.02055962225507,-1.34897494205191
"2005-03-07",-2.05102011587588,-1.35456693409381
"2005-03-08",-2.00768694587783,-1.32918400516812
"2005-03-09",-2.00939683763458,-1.32427496595354
"2005-03-10",-2.04690646666953,-1.35546574869279
"2005-03-11",-2.00598129570854,-1.33466123348795
"2005-03-14",-1.98558249599313,-1.31350086300133
"2005-03-15",-1.94112792994002,-1.28959976639887
"2005-03-16",-1.95831075053842,-1.29160850011227
"2005-03-17",-1.98249468038853,-1.30303957984211
"2005-03-18",-1.96198185633649,-1.29056779823471
"2005-03-21",-1.92619045888001,-1.27447981243597
"2005-03-22",-1.92147057914708,-1.26196859500939
"2005-03-23",-1.97117616865601,-1.30069440775228
"2005-03-24",-1.94042296101024,-1.28587466416454
"2005-03-28",-1.92240513351129,-1.27764173575254
"2005-03-29",-1.9019473588477,-1.26822588351318
"2005-03-30",-1.9186301895575,-1.26923775584833
"2005-03-31",-2.00553271730478,-1.33002937384861
"2005-04-01",-1.97655655580252,-1.31015733013454
"2005-04-04",-1.99269672899079,-1.30358146093017
"2005-04-05",-1.97126135453015,-1.29233425850988
"2005-04-06",-1.95752056493935,-1.28610177178101
"2005-04-07",-1.92173892627953,-1.25850528444105
"2005-04-08",-1.93246599399824,-1.26207557935654
"2005-04-11",-1.92115289499688,-1.26809905798709
"2005-04-12",-1.93057890808961,-1.26587282280108
"2005-04-13",-1.90150640582018,-1.2571897162351
"2005-04-14",-1.97267693845651,-1.29936104876089
"2005-04-15",-2.04554297950268,-1.34475471408924
"2005-04-18",-2.2043283602511,-1.47549445856704
"2005-04-19",-2.18748225991129,-1.46029651400288
"2005-04-20",-2.18664770046686,-1.45983614262954
"2005-04-21",-2.2705260919064,-1.52771144008502
"2005-04-22",-2.4695596640855,-1.66819603902967
"2005-04-25",-2.43481706616588,-1.64611932728323
"2005-04-26",-2.4252910234693,-1.64078844887796
"2005-04-27",-2.42667249174587,-1.63560568687661
"2005-04-28",-2.36530464146972,-1.59087611022955
"2005-04-29",-2.45894189098947,-1.64849308929711
"2005-05-02",-2.41033969816028,-1.62985894414787
"2005-05-03",-2.39409590554462,-1.6098691791703
"2005-05-04",-2.33551862907933,-1.57685352554441
"2005-05-05",-2.35073784521865,-1.58787081595725
"2005-05-06",-2.33624547924471,-1.56195685812009
"2005-05-09",-2.2890882543082,-1.53831666935564
"2005-05-10",-2.26025659244578,-1.51327660267202
"2005-05-11",-2.26127103972991,-1.52163233742163
"2005-05-12",-2.24111842289048,-1.51081928179561
"2005-05-13",-2.31492692715943,-1.55326789810054
"2005-05-16",-2.30126026540364,-1.55010383272908
"2005-05-17",-2.30041549968123,-1.55427598055584
"2005-05-18",-2.28830770735102,-1.53487451021899
"2005-05-19",-2.30122581074852,-1.55016888719589
"2005-05-20",-2.24398477730021,-1.51687904321443
"2005-05-23",-2.227870229089,-1.50200301154079
"2005-05-24",-2.2081040609406,-1.47783688424233
"2005-05-25",-2.17537396560885,-1.4510700191558
"2005-05-26",-2.15164989150809,-1.43551709187952
"2005-05-27",-2.16198909707565,-1.44562257699377
"2005-05-31",-2.09683313745132,-1.41259772664633
"2005-06-01",-2.0794862665807,-1.37531527688899
"2005-06-02",-2.06516387282071,-1.37846684228674
"2005-06-03",-2.04159736760984,-1.35449092033972
"2005-06-06",-2.03604632482229,-1.35141956894918
"2005-06-07",-1.9875329627641,-1.31990794906081
"2005-06-08",-1.96263689735617,-1.29959617461952
"2005-06-09",-1.95237227009499,-1.29352691461245
"2005-06-10",-1.94977673112279,-1.28597939322541
"2005-06-13",-1.90668823838018,-1.2723759903966
"2005-06-14",-1.89141460686036,-1.24553415625194
"2005-06-15",-1.86987154169001,-1.23232472356641
"2005-06-16",-1.85874456808495,-1.21722180498967
"2005-06-17",-1.81380834660925,-1.19355168099766
"2005-06-20",-1.79353910426072,-1.17653910163204
"2005-06-21",-1.7841113449768,-1.16350352586396
"2005-06-22",-1.75440477467414,-1.14773253489871
"2005-06-23",-1.70899495043212,-1.12681266518618
"2005-06-24",-1.83067538015549,-1.21112897066354
"2005-06-27",-1.84247489559859,-1.21512443565436
"2005-06-28",-1.82514723232385,-1.20373801652854
"2005-06-29",-1.91541089732228,-1.26627361098353
"2005-06-30",-1.88921228375527,-1.24190570499262
"2005-07-01",-1.85779757033699,-1.23194632312592
"2005-07-05",-1.84052882493138,-1.20554594812252
"2005-07-06",-1.8919289272527,-1.25085851781174
"2005-07-07",-1.89553567806237,-1.24403455543713
"2005-07-08",-1.88249008848045,-1.24213107680761
"2005-07-11",-1.97135198864545,-1.31621972207512
