"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.93777361618036,-1.27723039537284
"2004-12-29",-1.97595449921964,-1.28876467396726
"2004-12-30",-1.90337491280526,-1.26667946041234
"2004-12-31",-1.86851691674293,-1.24130717669481
"2005-01-03",-1.83308099534991,-1.21219336329617
"2005-01-04",-1.92524818679151,-1.28170940986124
"2005-01-05",-2.09311672905611,-1.41117222255656
"2005-01-06",-2.09031432579825,-1.40704026853415
"2005-01-07",-2.04957650914357,-1.37422023758941
"2005-01-10",-2.02049990073916,-1.3581875690603
"2005-01-11",-1.99172251587507,-1.33373793348591
"2005-01-12",-2.02110492559736,-1.35015720436689
"2005-01-13",-1.97667967935727,-1.32126395582628
"2005-01-14",-2.00450641437917,-1.34482654808395
"2005-01-18",-2.00544003688109,-1.34745839266974
"2005-01-19",-2.03658394714362,-1.3768783887259
"2005-01-20",-2.11664634042999,-1.42635321192757
"2005-01-21",-2.11407707369563,-1.4289036660587
"2005-01-24",-2.0990172632828,-1.4124033031203
"2005-01-25",-2.06246195017361,-1.39753854550792
"2005-01-26",-2.0393532350331,-1.383728055558
"2005-01-27",-2.06336556957241,-1.38025254919169
"2005-01-28",-1.99859795637658,-1.34841718695173
"2005-01-31",-1.99760590124664,-1.34050159264584
"2005-02-01",-2.04247902464399,-1.37918020957372
"2005-02-02",-2.01614728205241,-1.36107689485257
"2005-02-03",-1.98665423601107,-1.34095256245782
"2005-02-04",-1.96511220242969,-1.31528152258188
"2005-02-07",-2.03553263613096,-1.36475176052063
"2005-02-08",-2.00492003996067,-1.34120262860773
"2005-02-09",-1.96335063752583,-1.31392247036844
"2005-02-10",-2.0809507051849,-1.40561726432097
"2005-02-11",-2.01286208513718,-1.36300555910553
"2005-02-14",-2.05015765920773,-1.38180014695064
"2005-02-15",-2.01682676194467,-1.35152248635692
"2005-02-16",-1.9621183884993,-1.32033174149117
"2005-02-17",-1.93020671133159,-1.28898298311825
"2005-02-18",-1.96387183379333,-1.32003834548668
"2005-02-22",-1.9209654401915,-1.28469318522602
"2005-02-23",-2.07879081178217,-1.40471632049092
"2005-02-24",-2.05143845405077,-1.38050251350207
"2005-02-25",-2.09032216651908,-1.40080086013693
"2005-02-28",-2.1176334648411,-1.43054674703875
"2005-03-01",-2.10268698715631,-1.41994590685231
"2005-03-02",-2.05785435957105,-1.38630240274544
"2005-03-03",-2.02451322635069,-1.35733936657505
"2005-03-04",-1.97177755577939,-1.32664647389476
"2005-03-07",-2.02158644706712,-1.3512123515719
"2005-03-08",-1.97163363617755,-1.31651258176653
"2005-03-09",-1.969488873894,-1.3150818221053
"2005-03-10",-2.04407936351399,-1.37003516470074
"2005-03-11",-1.97849953882485,-1.33232449021963
"2005-03-14",-1.96076175340082,-1.31127497461039
"2005-03-15",-1.91981852948395,-1.28942735190186
"2005-03-16",-1.94634506940051,-1.29736412696227
"2005-03-17",-1.98222430824413,-1.32486497181861
"2005-03-18",-1.94106809937646,-1.29511444913667
"2005-03-21",-1.8875001668011,-1.26764860983255
"2005-03-22",-1.88519391025194,-1.25209470308976
"2005-03-23",-1.9551270000495,-1.30441015625934
"2005-03-24",-1.90552706902433,-1.27906594322145
"2005-03-28",-1.8735433015924,-1.25564324156156
