"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.78681004121186,-1.19793778054343
"2004-12-29",-1.81378136726845,-1.21416764553525
"2004-12-30",-1.77800176591016,-1.19472075346102
"2004-12-31",-1.76500432756875,-1.17261234054562
"2005-01-03",-1.7235932092569,-1.14707580717426
"2005-01-04",-1.80473288327176,-1.20889406696252
"2005-01-05",-1.9814612977411,-1.34673230284056
"2005-01-06",-2.0069805582266,-1.34863985193772
"2005-01-07",-1.95789091290478,-1.31810059423373
"2005-01-10",-1.91906894320009,-1.29426172498563
"2005-01-11",-1.88603945088752,-1.26340957782436
"2005-01-12",-1.89680924729812,-1.29341030047989
"2005-01-13",-1.88229024716293,-1.26887432438031
"2005-01-14",-1.90151430492235,-1.28073170176074
"2005-01-18",-1.90723634433695,-1.27586840522538
"2005-01-19",-1.95153724764913,-1.31359418780216
"2005-01-20",-2.02677650513585,-1.36464234699235
"2005-01-21",-2.01287237066147,-1.36780388583517
"2005-01-24",-1.98407520442493,-1.34801444567936
"2005-01-25",-1.9879645590016,-1.34427387843089
"2005-01-26",-1.96557910621091,-1.32374842479343
"2005-01-27",-1.96597210986184,-1.33002742854709
"2005-01-28",-1.92980960678503,-1.29521798163523
"2005-01-31",-1.89373365834961,-1.27612775472176
"2005-02-01",-1.94110590356354,-1.31055500980973
"2005-02-02",-1.93895509575204,-1.29674098584148
"2005-02-03",-1.89387465809007,-1.27914848404278
"2005-02-04",-1.86048983610206,-1.24436392382448
"2005-02-07",-1.95131110008046,-1.3122507846365
"2005-02-08",-1.90321159546897,-1.2752374345548
"2005-02-09",-1.85571723704416,-1.2537519902962
"2005-02-10",-2.0015935716101,-1.35015595440438
"2005-02-11",-1.95166508612192,-1.30606286968748
"2005-02-14",-1.96143558259026,-1.31820594939613
"2005-02-15",-1.92357119659646,-1.29068331878826
"2005-02-16",-1.8752576132757,-1.25340475494027
"2005-02-17",-1.84758905328727,-1.22906955779981
"2005-02-18",-1.86589613247469,-1.25683870291715
"2005-02-22",-1.84197515478306,-1.22790951111868
"2005-02-23",-1.98609620096058,-1.33866491490046
"2005-02-24",-1.95654319032954,-1.32616839904385
"2005-02-25",-1.99309670995748,-1.35311595635179
"2005-02-28",-2.03769904360142,-1.3813670464116
"2005-03-01",-2.01569354274499,-1.36496256705943
"2005-03-02",-1.99083655214563,-1.34347863216069
"2005-03-03",-1.94101785058953,-1.30869053223542
"2005-03-04",-1.90487558036973,-1.28474502974484
"2005-03-07",-1.92219573834799,-1.29871110046186
"2005-03-08",-1.86102050929768,-1.25714706576067
"2005-03-09",-1.87092808352366,-1.26357284072221
"2005-03-10",-1.95453251937878,-1.32691895838981
"2005-03-11",-1.9102949569612,-1.27922171757222
"2005-03-14",-1.84628681527794,-1.25294527793131
"2005-03-15",-1.84629965775755,-1.23995261042208
"2005-03-16",-1.84919093780276,-1.24275193276
"2005-03-17",-1.89235124632996,-1.27670500900957
"2005-03-18",-1.84250356391155,-1.24037491312146
"2005-03-21",-1.82492308323,-1.22047887361682
"2005-03-22",-1.79230797540401,-1.21094658033528
"2005-03-23",-1.86846417357095,-1.25890189240665
"2005-03-24",-1.82350130377112,-1.22688236446897
"2005-03-28",-1.80073667304626,-1.20044262785192
"2005-03-29",-1.75443943573916,-1.17754406816998
"2005-03-30",-1.78336594505353,-1.20186589654247
"2005-03-31",-1.86439056928979,-1.26601225970643
"2005-04-01",-1.84155886623173,-1.24658202404688
"2005-04-04",-1.84490705984356,-1.24355616732127
"2005-04-05",-1.81112758212423,-1.22129047618647
"2005-04-06",-1.79036652989746,-1.20651392880128
"2005-04-07",-1.75945258496556,-1.18732725993865
"2005-04-08",-1.76719962230154,-1.18114734865518
"2005-04-11",-1.79741431905296,-1.21156582566981
"2005-04-12",-1.78568239263989,-1.19011611500984
"2005-04-13",-1.76449688111972,-1.17718271499502
"2005-04-14",-1.84639546168027,-1.24758567372542
"2005-04-15",-1.93033786624626,-1.31125476967161
"2005-04-18",-2.09196091454932,-1.43363248399825
"2005-04-19",-2.05571778244535,-1.40014876453215
"2005-04-20",-2.08561357812288,-1.40712319565339
"2005-04-21",-2.16270101593192,-1.48588864062015
"2005-04-22",-2.3490041899375,-1.61097259172222
"2005-04-25",-2.34520392319477,-1.61317937534373
"2005-04-26",-2.3689346345801,-1.61843167511879
"2005-04-27",-2.35228674627814,-1.62489215313122
"2005-04-28",-2.28398937558135,-1.57373730801536
"2005-04-29",-2.37761989550905,-1.62236153256517
"2005-05-02",-2.35788973824157,-1.61403725352492
"2005-05-03",-2.31020738241848,-1.59410051887511
"2005-05-04",-2.27478629973933,-1.56218028630001
"2005-05-05",-2.3176411096977,-1.58685625279504
"2005-05-06",-2.2564818567126,-1.54738658280885
"2005-05-09",-2.1973390065696,-1.49981246271705
"2005-05-10",-2.18633069727251,-1.48947604843907
"2005-05-11",-2.19642749755273,-1.51194430237658
"2005-05-12",-2.15329762759762,-1.4798289456874
"2005-05-13",-2.2295591711331,-1.53440439612472
"2005-05-16",-2.23857949229341,-1.51983246460072
"2005-05-17",-2.23848089044878,-1.52804854311741
"2005-05-18",-2.24499998868117,-1.52860115021369
"2005-05-19",-2.26214293633512,-1.54175928738679
"2005-05-20",-2.18982761910772,-1.50682778815197
"2005-05-23",-2.17607399772341,-1.4827724290327
"2005-05-24",-2.11697632813098,-1.45349879982755
"2005-05-25",-2.08918459937787,-1.42205372891188
"2005-05-26",-2.05619883834185,-1.41134886134326
