"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.91278622840424,-1.25906046279638
"2004-12-29",-1.90844766580387,-1.25684687656487
"2004-12-30",-1.86943861973841,-1.23385306083157
"2004-12-31",-1.84657074559959,-1.21359863142442
"2005-01-03",-1.79409932509903,-1.18304667856919
"2005-01-04",-1.87846783113132,-1.24131757878171
"2005-01-05",-2.07345289170021,-1.38006074706245
"2005-01-06",-2.07589858312553,-1.37305273212334
"2005-01-07",-2.02677396562512,-1.34075458697412
"2005-01-10",-1.9969331796594,-1.31844407479272
"2005-01-11",-1.94367153060847,-1.29317801076676
"2005-01-12",-2.0002219232372,-1.31285311713317
"2005-01-13",-1.93880006878656,-1.28072185735246
"2005-01-14",-1.95677659827065,-1.30279395619803
"2005-01-18",-1.95478380321841,-1.29417152891058
"2005-01-19",-2.00842279451752,-1.32559056138388
"2005-01-20",-2.05559937471632,-1.36795918783096
"2005-01-21",-2.04421236368354,-1.35555773496141
"2005-01-24",-2.01253480151714,-1.33629797959602
"2005-01-25",-2.0068568676838,-1.32728055182574
"2005-01-26",-1.9970728544474,-1.31535885589987
"2005-01-27",-1.97696724233921,-1.31568340329294
"2005-01-28",-1.9507858578346,-1.29266930138559
"2005-01-31",-1.93950528447662,-1.28426376898866
"2005-02-01",-1.98115164024483,-1.30644014583257
"2005-02-02",-1.95045600032552,-1.29744105367301
"2005-02-03",-1.92462715756633,-1.27190712265788
"2005-02-04",-1.90493662570226,-1.25665701265319
"2005-02-07",-1.97995104653272,-1.30510676747455
"2005-02-08",-1.9572697998611,-1.2858060956418
"2005-02-09",-1.93441724021267,-1.28058265050586
"2005-02-10",-2.04048605583035,-1.35194022247802
"2005-02-11",-1.99729680979053,-1.3149094551014
"2005-02-14",-2.00637577363119,-1.33012047573436
"2005-02-15",-1.97505911673603,-1.30432042695279
"2005-02-16",-1.94806400660147,-1.28159420064833
"2005-02-17",-1.92008272677184,-1.2553375100857
"2005-02-18",-1.91989097276697,-1.27377820210289
"2005-02-22",-1.89638153232825,-1.25756905698981
"2005-02-23",-2.05727315662948,-1.37328852437538
"2005-02-24",-2.04314594961962,-1.35245070618461
"2005-02-25",-2.06692849639154,-1.37467884062951
"2005-02-28",-2.08156036616021,-1.38022611825473
"2005-03-01",-2.0408066054604,-1.35313484536769
"2005-03-02",-2.02220453940445,-1.33069417987042
"2005-03-03",-1.99523180816604,-1.31742247759943
"2005-03-04",-1.96692851423036,-1.30697651359001
"2005-03-07",-1.9713828319885,-1.31002431146119
"2005-03-08",-1.92388142806527,-1.27932315082207
"2005-03-09",-1.91800224412722,-1.27578654636018
"2005-03-10",-1.96893165736043,-1.30686557481819
"2005-03-11",-1.95143998325054,-1.28559395130064
"2005-03-14",-1.90214920703014,-1.25984765293318
"2005-03-15",-1.87851445038127,-1.24952639162174
"2005-03-16",-1.89465869951486,-1.25659040723258
"2005-03-17",-1.89642955581508,-1.25540981672344
"2005-03-18",-1.88159335942478,-1.24439839652396
"2005-03-21",-1.85927428505093,-1.24164997694898
"2005-03-22",-1.84633560049403,-1.21529458560135
"2005-03-23",-1.90779201172389,-1.26201994441366
"2005-03-24",-1.86958706144551,-1.23745913171316
"2005-03-28",-1.86652289804875,-1.23123405678121
"2005-03-29",-1.8444172078742,-1.20980003196268
"2005-03-30",-1.85387899562231,-1.223077213661
