"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.89657735286495,-1.24977395220805
"2004-12-29",-1.89190201565734,-1.24821349968664
"2004-12-30",-1.84966523955148,-1.22502775681592
"2004-12-31",-1.82938197841472,-1.20444276777783
"2005-01-03",-1.77800630248664,-1.17394487230444
"2005-01-04",-1.86160554705694,-1.23315783262889
"2005-01-05",-2.05461621567256,-1.3703818824625
"2005-01-06",-2.05792038784587,-1.36421536085441
"2005-01-07",-2.00576314251162,-1.332598816817
"2005-01-10",-1.97908024181322,-1.30931591356312
"2005-01-11",-1.92841232484064,-1.28407654430554
"2005-01-12",-1.98412041360328,-1.3030782284205
"2005-01-13",-1.92360061150712,-1.27120905836703
"2005-01-14",-1.94252600726683,-1.29191897206664
"2005-01-18",-1.93989536511535,-1.28422132408955
"2005-01-19",-1.9909599516131,-1.31674031325072
"2005-01-20",-2.03623230433394,-1.35864752304385
"2005-01-21",-2.02919068932358,-1.34742079152481
"2005-01-24",-1.99716882161726,-1.32715862838057
"2005-01-25",-1.98823611964375,-1.31842526479733
"2005-01-26",-1.97919868677479,-1.30731772287054
"2005-01-27",-1.95853176179759,-1.30654205505356
"2005-01-28",-1.93112537578177,-1.28263004872061
"2005-01-31",-1.92026032869144,-1.27530701767067
"2005-02-01",-1.96425658688115,-1.29644684330639
"2005-02-02",-1.93239966119313,-1.28819029519884
"2005-02-03",-1.90587283493245,-1.26198202314433
"2005-02-04",-1.88680732351043,-1.24763773518161
"2005-02-07",-1.9615370902609,-1.29619598516207
"2005-02-08",-1.93800032139529,-1.27542211486138
"2005-02-09",-1.91827775081199,-1.27157771460513
"2005-02-10",-2.0193775373404,-1.34256885128444
"2005-02-11",-1.98297198566117,-1.30530565873478
"2005-02-14",-1.99009541791512,-1.3202812096281
"2005-02-15",-1.95604708694566,-1.29403785946704
"2005-02-16",-1.92952554578808,-1.27115290034385
"2005-02-17",-1.90269180673059,-1.24662818906151
"2005-02-18",-1.89921539561254,-1.26474698783369
"2005-02-22",-1.88341637452346,-1.24799531003178
"2005-02-23",-2.04058344661905,-1.3636691774772
"2005-02-24",-2.0276396484425,-1.34275663007829
"2005-02-25",-2.04697988728008,-1.36470317678867
"2005-02-28",-2.06240985716278,-1.37061465112927
"2005-03-01",-2.02027875189914,-1.34395423718032
"2005-03-02",-2.00260526361764,-1.32078915829089
"2005-03-03",-1.97630217874852,-1.30925449917663
"2005-03-04",-1.95062557678866,-1.29739498975326
"2005-03-07",-1.95411688455526,-1.30086035642658
"2005-03-08",-1.90646056860858,-1.27013726375115
"2005-03-09",-1.89905036308312,-1.26596766397601
"2005-03-10",-1.95196607557955,-1.29803207024355
"2005-03-11",-1.93402101298847,-1.27600356217201
"2005-03-14",-1.88797988192149,-1.25146022952077
"2005-03-15",-1.86061844090056,-1.24005961228515
"2005-03-16",-1.87712206498719,-1.24672582941061
"2005-03-17",-1.88113695249524,-1.24683206094397
"2005-03-18",-1.86353391836077,-1.23505883853287
"2005-03-21",-1.84023662829482,-1.23200902698676
"2005-03-22",-1.82979814248181,-1.20687634783095
"2005-03-23",-1.89141027838767,-1.25240558533936
"2005-03-24",-1.85703237033555,-1.22813745748959
"2005-03-28",-1.85187356320783,-1.22194397908676
"2005-03-29",-1.82787261304352,-1.20126597273032
"2005-03-30",-1.83821678767149,-1.21486227159375
"2005-03-31",-1.91537881892631,-1.28392702316447
"2005-04-01",-1.89900524360832,-1.26780293901695
"2005-04-04",-1.89659436253991,-1.25669691870313
"2005-04-05",-1.88042382153321,-1.23926487979907
"2005-04-06",-1.86739553977907,-1.23159267179996
"2005-04-07",-1.81523805678347,-1.2142296385149
"2005-04-08",-1.8301866965111,-1.20619070913512
"2005-04-11",-1.84259498174823,-1.21725041368619
"2005-04-12",-1.83368972933551,-1.20409839735783
"2005-04-13",-1.82662806372145,-1.20707171362776
"2005-04-14",-1.88763025127649,-1.25598875707891
"2005-04-15",-1.95714437148287,-1.30769992774534
"2005-04-18",-2.14374667237109,-1.4403878384913
"2005-04-19",-2.10217999700534,-1.41356941650335
"2005-04-20",-2.1235224606558,-1.41510236574684
"2005-04-21",-2.2226989164617,-1.4890399028197
"2005-04-22",-2.41732961181482,-1.62116947757781
"2005-04-25",-2.3760364651723,-1.60836619904037
"2005-04-26",-2.37615598655818,-1.61258841176938
"2005-04-27",-2.36256289341903,-1.59351657132852
"2005-04-28",-2.3166770016325,-1.5627743703396
"2005-04-29",-2.37959146156352,-1.60018571488749
"2005-05-02",-2.3673524490623,-1.59497775142727
"2005-05-03",-2.32543670889853,-1.56521091340408
"2005-05-04",-2.29118286839528,-1.53962663880085
"2005-05-05",-2.31744538096625,-1.55091284233229
"2005-05-06",-2.25771933092039,-1.51902789300266
"2005-05-09",-2.22197621417168,-1.49282755006001
"2005-05-10",-2.19459600675576,-1.46935464100273
"2005-05-11",-2.21039721752059,-1.48225012243331
"2005-05-12",-2.18810599774672,-1.47210490270247
"2005-05-13",-2.27080473829453,-1.51464418523695
"2005-05-16",-2.24741826177445,-1.50268924464541
"2005-05-17",-2.24063198808116,-1.50506124824114
"2005-05-18",-2.23555158290838,-1.49778700609077
"2005-05-19",-2.26575978584316,-1.51562568114116
"2005-05-20",-2.22016404503944,-1.48549051544069
"2005-05-23",-2.17808689371331,-1.462337167844
"2005-05-24",-2.15155536292359,-1.44114895275409
"2005-05-25",-2.13366088002723,-1.41966305595946
"2005-05-26",-2.10060753371554,-1.40367286140728
"2005-05-27",-2.12316505416387,-1.41845356534568
"2005-05-31",-2.0537845042393,-1.37129704600512
"2005-06-01",-1.99764967540976,-1.33156429066892
"2005-06-02",-2.00616176853861,-1.34054974389359
"2005-06-03",-1.97814094244839,-1.31675097370876
"2005-06-06",-1.98264211976392,-1.31023086968255
"2005-06-07",-1.92801234552103,-1.28032772932405
"2005-06-08",-1.90760815167506,-1.26568907575562
"2005-06-09",-1.87972395995373,-1.24902810340559
"2005-06-10",-1.89985165340836,-1.24679964284999
"2005-06-13",-1.86252683472597,-1.23061539110765
"2005-06-14",-1.83213011363313,-1.21351953871348
"2005-06-15",-1.81189668904838,-1.19041138780053
"2005-06-16",-1.78450423085322,-1.18113074053941
"2005-06-17",-1.78713243951199,-1.17146414293881
"2005-06-20",-1.75640495224901,-1.14848205584529
"2005-06-21",-1.72085084739548,-1.13062413770944
"2005-06-22",-1.70729220124952,-1.11818182909336
"2005-06-23",-1.70372330903151,-1.11328866970602
"2005-06-24",-1.80148874177271,-1.19008577273313
"2005-06-27",-1.82170991630575,-1.19071217580466
"2005-06-28",-1.79746365052968,-1.17904798338545
"2005-06-29",-1.87511868448429,-1.2434786437587
"2005-06-30",-1.83363995517709,-1.21843674921277
"2005-07-01",-1.83212888076428,-1.20742001409824
"2005-07-05",-1.78979375595176,-1.18442213941592
"2005-07-06",-1.85286536478982,-1.22575336757935
"2005-07-07",-1.85008455188938,-1.22524588499435
"2005-07-08",-1.84286575349096,-1.20733863107866
"2005-07-11",-1.9414542593289,-1.28737926541562
"2005-07-12",-1.93167242804379,-1.28101733728422
"2005-07-13",-1.90538499289782,-1.25826988935293
"2005-07-14",-1.87586849775548,-1.2380255929857
"2005-07-15",-1.83880272926051,-1.20730765065959
"2005-07-18",-1.82407488808469,-1.19897279042146
"2005-07-19",-1.8141984769757,-1.1934605199945
