"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.90258973105331,-1.26673648212549
"2004-12-29",-1.9190233452439,-1.26326376597064
"2004-12-30",-1.86959652667636,-1.23889689305338
"2004-12-31",-1.85107747444497,-1.21666258747042
"2005-01-03",-1.80260917375254,-1.18288658283182
"2005-01-04",-1.89856183082342,-1.24327267961715
"2005-01-05",-2.09034332005104,-1.37823507216572
"2005-01-06",-2.07985649125154,-1.38030243702821
"2005-01-07",-2.02209486884545,-1.34578541703856
"2005-01-10",-1.98651710470149,-1.32256877743651
"2005-01-11",-1.95288061898032,-1.30059400037641
"2005-01-12",-2.00544629235988,-1.31807152586107
"2005-01-13",-1.93898028176358,-1.28829460038181
"2005-01-14",-1.96495915955023,-1.30642677555032
"2005-01-18",-1.96704986480312,-1.29198368706876
"2005-01-19",-2.01197008661295,-1.33189480818418
"2005-01-20",-2.06257440450285,-1.37532560931762
"2005-01-21",-2.06072351432148,-1.36676048379814
"2005-01-24",-2.0215645950325,-1.33824580922318
"2005-01-25",-2.00719711409345,-1.33474512842572
"2005-01-26",-1.99004779019385,-1.32491804718251
"2005-01-27",-1.98310009688028,-1.32167520169155
"2005-01-28",-1.95969986860269,-1.29700210786053
"2005-01-31",-1.94667615717896,-1.29019701860152
"2005-02-01",-1.97422840849676,-1.31087062138869
"2005-02-02",-1.96277703525444,-1.30139162357353
"2005-02-03",-1.93337327885537,-1.27716556942588
"2005-02-04",-1.90681243719527,-1.26640995456738
"2005-02-07",-1.98520188645111,-1.31167135885164
"2005-02-08",-1.94994847889192,-1.29924166422103
"2005-02-09",-1.94221524402768,-1.28479743205634
"2005-02-10",-2.05669227578604,-1.35814411993658
"2005-02-11",-1.99225926174895,-1.3223741963923
"2005-02-14",-2.01947052160033,-1.33693248478238
"2005-02-15",-1.97719403290338,-1.30938587300758
"2005-02-16",-1.94903434292922,-1.28639634137705
"2005-02-17",-1.91960111412243,-1.26238810332424
"2005-02-18",-1.92807917433072,-1.27697086981411
"2005-02-22",-1.91702525424671,-1.2595763259697
"2005-02-23",-2.06930838502007,-1.37914394095893
"2005-02-24",-2.04921104462217,-1.35850476457727
"2005-02-25",-2.07764638806523,-1.37896431342541
"2005-02-28",-2.08489222525582,-1.39342616375139
"2005-03-01",-2.05451562424905,-1.3608986521439
"2005-03-02",-2.02107970911222,-1.337419448536
"2005-03-03",-1.9953939716599,-1.3186670359435
"2005-03-04",-1.97868740967121,-1.31234328980818
"2005-03-07",-1.98286172403781,-1.31054421124198
"2005-03-08",-1.94491607640278,-1.28463581820795
"2005-03-09",-1.92688844511482,-1.28147046181717
"2005-03-10",-1.97385747428728,-1.31458942117478
"2005-03-11",-1.97241152054038,-1.29237816560291
"2005-03-14",-1.91868100549957,-1.26914060742438
"2005-03-15",-1.88027758428104,-1.25704461808663
"2005-03-16",-1.90153714022147,-1.2536565044916
"2005-03-17",-1.91843830840053,-1.26623244600389
"2005-03-18",-1.90183590274809,-1.2481293327703
"2005-03-21",-1.87309135602788,-1.24456436630558
"2005-03-22",-1.8547703723563,-1.22399948591197
"2005-03-23",-1.90286280062336,-1.26139787888603
"2005-03-24",-1.8731603299758,-1.24121514235247
"2005-03-28",-1.86432081231302,-1.23364366586005
"2005-03-29",-1.83763477052155,-1.21545025763563
"2005-03-30",-1.86365287126908,-1.22812762647774
"2005-03-31",-1.94036675998159,-1.29238790907712
"2005-04-01",-1.92135185234079,-1.28012461887966
"2005-04-04",-1.91610026997478,-1.26793562093596
"2005-04-05",-1.8927403179391,-1.24676533559518
"2005-04-06",-1.88448305210123,-1.24074447575127
"2005-04-07",-1.83805332225779,-1.2308706342584
"2005-04-08",-1.84308233183986,-1.21483641154039
"2005-04-11",-1.85594230058401,-1.23152001956437
"2005-04-12",-1.84053265684906,-1.21855925712219
"2005-04-13",-1.84718623650364,-1.21303683153266
"2005-04-14",-1.90951487303179,-1.27222974027641
"2005-04-15",-1.97525772388467,-1.31951587731037
"2005-04-18",-2.16899857243414,-1.45441762558356
"2005-04-19",-2.14139439926465,-1.4236382195055
"2005-04-20",-2.1423654243742,-1.42440304992558
"2005-04-21",-2.23313172029714,-1.50162908541292
"2005-04-22",-2.45356700687279,-1.63910388764514
"2005-04-25",-2.40192219649721,-1.62130638360106
"2005-04-26",-2.40435235181123,-1.62977658403789
"2005-04-27",-2.39446053801578,-1.61896665918639
"2005-04-28",-2.33987600768404,-1.57417118466826
"2005-04-29",-2.40147491079286,-1.61752986484452
"2005-05-02",-2.3899283900667,-1.61182192729083
"2005-05-03",-2.34618813604476,-1.58227307045149
"2005-05-04",-2.32780596354133,-1.55671665792681
"2005-05-05",-2.33153456519702,-1.56743221920886
"2005-05-06",-2.27710614431243,-1.52812367878564
"2005-05-09",-2.25045274209623,-1.51264268020117
"2005-05-10",-2.22411643149459,-1.48656551747508
"2005-05-11",-2.24073533494398,-1.49810585291338
"2005-05-12",-2.21184207681666,-1.48286736865924
"2005-05-13",-2.29139273059261,-1.53219427520326
"2005-05-16",-2.27198205161102,-1.52673168132671
"2005-05-17",-2.28005873600559,-1.52748011846484
"2005-05-18",-2.27483799623571,-1.51858139378476
"2005-05-19",-2.28066708503662,-1.52820813157131
"2005-05-20",-2.24465417100261,-1.5030832065038
"2005-05-23",-2.19644757929122,-1.47483808813335
"2005-05-24",-2.17245800277863,-1.45986126034485
"2005-05-25",-2.14879487460931,-1.43383930826967
"2005-05-26",-2.12546859348893,-1.4190799104435
"2005-05-27",-2.14501684483168,-1.42831795419537
"2005-05-31",-2.07996490275678,-1.38514263386132
"2005-06-01",-2.01364904097823,-1.34479577965014
"2005-06-02",-2.02717148769164,-1.35095990849586
"2005-06-03",-2.00395771785816,-1.32937541074752
"2005-06-06",-1.99484538427665,-1.32914764249265
"2005-06-07",-1.95300255596325,-1.29397124669454
"2005-06-08",-1.93086157311119,-1.2759073679427
"2005-06-09",-1.89948475639164,-1.26306414209632
"2005-06-10",-1.91220838801942,-1.25661779170024
"2005-06-13",-1.87437847780842,-1.24147053238791
"2005-06-14",-1.84860957146292,-1.22290321679368
"2005-06-15",-1.83817106032762,-1.20372874356481
"2005-06-16",-1.82319651034335,-1.1935589716945
"2005-06-17",-1.79450698925969,-1.1837425376327
"2005-06-20",-1.78379481456741,-1.16199651394628
"2005-06-21",-1.75013086202129,-1.14475569583277
"2005-06-22",-1.73306424203262,-1.13565678994495
"2005-06-23",-1.72206835172118,-1.12346146654544
"2005-06-24",-1.82743581299745,-1.20603319728251
"2005-06-27",-1.84267724316601,-1.20894604164669
"2005-06-28",-1.81578161332636,-1.19186122039767
"2005-06-29",-1.88245035793577,-1.24992991687986
"2005-06-30",-1.86922266122045,-1.23222911189775
"2005-07-01",-1.85491975834478,-1.21888795532443
"2005-07-05",-1.81961941232147,-1.20132730882599
"2005-07-06",-1.88230358105312,-1.23932350926162
"2005-07-07",-1.87763668416584,-1.23548157610624
"2005-07-08",-1.86750425465644,-1.22406636771396
"2005-07-11",-1.96611272572398,-1.29979239177103
"2005-07-12",-1.95853197347695,-1.29541986107671
"2005-07-13",-1.92117531069705,-1.27010096635966
"2005-07-14",-1.90070199953196,-1.25348379429579
"2005-07-15",-1.85683658571018,-1.2271398852532
"2005-07-18",-1.84349271125958,-1.21559476632621
"2005-07-19",-1.83769423778397,-1.21170340291184
"2005-07-20",-1.85334145507253,-1.22045638030844
"2005-07-21",-1.85570008652023,-1.21831214212907
"2005-07-22",-1.90322136578617,-1.25570496201985
"2005-07-25",-1.89292354182619,-1.24737722740602
"2005-07-26",-1.90088054497934,-1.24507673925904
"2005-07-27",-1.87131702230253,-1.2287333435857
"2005-07-28",-1.83461819881212,-1.20270060452728
"2005-07-29",-1.86422256362998,-1.22221338398719
"2005-08-01",-1.82548365871953,-1.19982784315815
"2005-08-02",-1.80189662354327,-1.1769976909518
"2005-08-03",-1.77874533063822,-1.17061463292367
"2005-08-04",-1.78371320655968,-1.15647124309415
"2005-08-05",-1.83480860752443,-1.19570004148674
"2005-08-08",-1.86320204515676,-1.22391346463512
"2005-08-09",-1.85564247719672,-1.22004689560154
"2005-08-10",-1.82141772387535,-1.19182461657477
"2005-08-11",-1.79823474699533,-1.17591000301456
"2005-08-12",-1.79147931101473,-1.17610111719491
"2005-08-15",-1.81485147849691,-1.17976286865677
"2005-08-16",-1.79553105693777,-1.16768636867902
"2005-08-17",-1.90735207603492,-1.25820820328754
"2005-08-18",-1.88769766267773,-1.24604001771716
"2005-08-19",-1.8743510617933,-1.23877999819021
"2005-08-22",-1.85356099947538,-1.22480510428094
"2005-08-23",-1.84804617322684,-1.20987611605839
"2005-08-24",-1.8158479186805,-1.19824538143357
"2005-08-25",-1.80492475827789,-1.18170292563575
"2005-08-26",-1.77297259733038,-1.16248839522755
"2005-08-29",-1.78876463070702,-1.17465843336973
"2005-08-30",-1.816955301033,-1.18184323385965
"2005-08-31",-1.77120902381365,-1.16726018564163
"2005-09-01",-1.87225015701656,-1.22870901256552
"2005-09-02",-1.85226469238312,-1.21338841459463
"2005-09-06",-1.84411894978889,-1.21417972211181
"2005-09-07",-1.89765807717348,-1.25161801310345
"2005-09-08",-1.89073476604139,-1.23991366209805
"2005-09-09",-1.85846902767437,-1.23046371222086
"2005-09-12",-1.86648927661451,-1.22177746711309
"2005-09-13",-1.8443897886354,-1.20082240361247
"2005-09-14",-1.83863064554059,-1.20082074052984
"2005-09-15",-1.81609371358289,-1.19477014867061
"2005-09-16",-1.8090833382228,-1.19109338186925
"2005-09-19",-1.78942149058233,-1.17987092687144
"2005-09-20",-1.77975190293659,-1.16649764862209
"2005-09-21",-1.78636223589748,-1.18620380120456
"2005-09-22",-1.8790503034188,-1.22646678260495
"2005-09-23",-1.84326947772692,-1.21740224472869
"2005-09-26",-1.81966493069153,-1.20209475862191
"2005-09-27",-1.8086489193906,-1.18719325079533
"2005-09-28",-1.80240156671281,-1.17446781950528
"2005-09-29",-1.77674190662531,-1.16201828619811
"2005-09-30",-1.77358656724371,-1.16499753068318
"2005-10-03",-1.76114511328761,-1.15642126181574
"2005-10-04",-1.74386109617926,-1.13849007028871
"2005-10-05",-1.78538595581177,-1.17248643888768
"2005-10-06",-2.09759004841192,-1.3968118600938
"2005-10-07",-2.13418286094103,-1.41637134190686
"2005-10-10",-2.11571759029392,-1.40642858566126
"2005-10-11",-2.11417789919902,-1.39641793223264
"2005-10-12",-2.09577589552274,-1.38834024873123
"2005-10-13",-2.14250416913096,-1.42065690654343
"2005-10-14",-2.11629715090336,-1.40721676899685
"2005-10-17",-2.13922613039869,-1.4130593263107
"2005-10-18",-2.12636910338366,-1.40316093379315
"2005-10-19",-2.19208710083496,-1.44196962217343
"2005-10-20",-2.25949025031435,-1.5012258317168
"2005-10-21",-2.41035018050139,-1.60040276565382
"2005-10-24",-2.35352805560809,-1.56818407996018
"2005-10-25",-2.48679716549662,-1.66177582422316
"2005-10-26",-2.43485007824391,-1.62148327672049
"2005-10-27",-2.39482560756773,-1.60063156442057
"2005-10-28",-2.45407706166031,-1.64578517933481
"2005-10-31",-2.53464336485644,-1.69231299289525
"2005-11-01",-2.49386403018064,-1.68250542701874
"2005-11-02",-2.4499260205207,-1.64918978345298
"2005-11-03",-2.49357150141637,-1.65814293407429
"2005-11-04",-2.44897463319748,-1.63505491250804
"2005-11-07",-2.41186103403678,-1.61776293884708
"2005-11-08",-2.35967362561777,-1.5649945179372
"2005-11-09",-2.32282059928033,-1.55759512069936
"2005-11-10",-2.30250879899132,-1.52376385335105
"2005-11-11",-2.22049547432952,-1.47593413212232
"2005-11-14",-2.17863173292441,-1.45111544232324
"2005-11-15",-2.14483695204697,-1.42887466612428
"2005-11-16",-2.09868866453487,-1.39964800569889
"2005-11-17",-2.08667712958741,-1.39456746008135
"2005-11-18",-2.11118128733373,-1.40481965151728
"2005-11-21",-2.08854712981733,-1.38691290146619
"2005-11-22",-2.09094953423761,-1.38454293182198
"2005-11-23",-2.06603120488486,-1.36402589481705
"2005-11-25",-2.01240346095649,-1.33638462208075
"2005-11-28",-1.99034654343493,-1.3137161335578
"2005-11-29",-2.07034354547135,-1.37023843228944
"2005-11-30",-2.03920270145453,-1.35127402055631
"2005-12-01",-1.96059792956709,-1.30268454667893
"2005-12-02",-2.05373918483568,-1.36784554705417
"2005-12-05",-2.02956879333755,-1.33458362603218
"2005-12-06",-1.97700710931865,-1.31378991968308
"2005-12-07",-1.96790304862933,-1.29358051459669
"2005-12-08",-1.94798048357462,-1.28633414916954
"2005-12-09",-1.9227205738189,-1.26620475631659
"2005-12-12",-1.8778804545806,-1.23912517174654
"2005-12-13",-1.86836724493706,-1.22623815075875
"2005-12-14",-1.81425645508881,-1.19947117033078
"2005-12-15",-1.77614242437638,-1.17425645082879
"2005-12-16",-1.78142049559607,-1.16453991695385
"2005-12-19",-1.76104525735111,-1.15059831975131
"2005-12-20",-1.810528003106,-1.18699650618455
"2005-12-21",-1.76584431785948,-1.16392083593268
"2005-12-22",-1.77550667242698,-1.1606290699301
"2005-12-23",-1.75363947886152,-1.14992236177485
"2005-12-27",-1.71887658598685,-1.13125036246517
"2005-12-28",-1.8406012174264,-1.20604412638902
"2005-12-29",-1.79494358970465,-1.17829719941481
"2005-12-30",-1.79601211645474,-1.17966286897456
"2006-01-03",-1.78690430454465,-1.17577098029625
"2006-01-04",-2.02498847598511,-1.33670246002542
"2006-01-05",-2.00332119222727,-1.32495443103191
"2006-01-06",-1.99266976791379,-1.30798504522572
"2006-01-09",-1.99786002418138,-1.30946686700889
"2006-01-10",-1.96547721311865,-1.29027702616128
"2006-01-11",-1.94892156481189,-1.27529302860101
"2006-01-12",-1.90426726877124,-1.24617297124816
"2006-01-13",-1.88114624676154,-1.24099307174688
"2006-01-17",-1.8649760103306,-1.22196338653455
"2006-01-18",-1.83386327726963,-1.20675949080155
"2006-01-19",-1.83172555193347,-1.19357286567608
"2006-01-20",-1.8216400349252,-1.18700936890969
"2006-01-23",-2.12040472759208,-1.41926632711823
"2006-01-24",-2.10996225016008,-1.39977240638756
"2006-01-25",-2.03786296730458,-1.34894931163633
"2006-01-26",-2.02960426407723,-1.34499951003355
"2006-01-27",-2.00893363826447,-1.33470187717904
"2006-01-30",-2.02306513857775,-1.34538289567029
"2006-01-31",-1.97204190312413,-1.31045459357627
"2006-02-01",-1.95693212937552,-1.28935698006251
"2006-02-02",-1.92709492753978,-1.2668645545225
"2006-02-03",-1.94250743164098,-1.28794671380763
"2006-02-06",-1.91010088711143,-1.26133556441246
"2006-02-07",-1.88443935723626,-1.24527161694688
"2006-02-08",-1.95675016142127,-1.29525495849418
"2006-02-09",-1.93853194150993,-1.27574005611578
"2006-02-10",-1.9061217522632,-1.25659190962444
"2006-02-13",-1.8583458127374,-1.23708923529456
"2006-02-14",-1.85709871387047,-1.22396544426832
"2006-02-15",-1.90139521539456,-1.24873299251531
"2006-02-16",-1.86497613103912,-1.23011826540749
"2006-02-17",-1.90764535307898,-1.25332294469924
"2006-02-21",-1.86824888546074,-1.22071044693257
"2006-02-22",-1.83344403209299,-1.20461665695818
