"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.93262413575404,-1.27778773684744
"2004-12-29",-1.97733535290471,-1.28842646428487
"2004-12-30",-1.91318225270868,-1.26551631193457
"2004-12-31",-1.87449810610925,-1.24321555409508
"2005-01-03",-1.82791777974938,-1.21298719453304
"2005-01-04",-1.92191362832442,-1.28138231900102
"2005-01-05",-2.10630388928623,-1.41336521038565
"2005-01-06",-2.10202409840635,-1.408146253385
"2005-01-07",-2.05218697834296,-1.37057561293531
"2005-01-10",-2.0191718926744,-1.35973837889075
"2005-01-11",-2.00329238976453,-1.33361311174745
"2005-01-12",-2.03164799942088,-1.35219590231153
"2005-01-13",-1.9797210712817,-1.32532596817739
"2005-01-14",-2.01889466231102,-1.34333861829294
"2005-01-18",-2.02905237760954,-1.3478264327824
"2005-01-19",-2.04246782460375,-1.37528463122975
"2005-01-20",-2.13046737566382,-1.42710868036267
"2005-01-21",-2.12314044803078,-1.42622847022256
"2005-01-24",-2.09792586998793,-1.41274196895586
"2005-01-25",-2.07239271305139,-1.39710475512789
"2005-01-26",-2.05433355439644,-1.38233595646749
"2005-01-27",-2.06792157623253,-1.37797302125072
"2005-01-28",-2.0156351557249,-1.34788179318996
"2005-01-31",-2.0034193612855,-1.34565724112319
"2005-02-01",-2.05178781523076,-1.37791505639714
"2005-02-02",-2.03082840852918,-1.35777194515202
"2005-02-03",-2.00757787048765,-1.33648698672244
"2005-02-04",-1.96985133259131,-1.31603778079127
"2005-02-07",-2.03434591015592,-1.36519615649305
"2005-02-08",-2.00717080693577,-1.342716721257
"2005-02-09",-1.96995157986897,-1.31659429454157
"2005-02-10",-2.10208477195094,-1.40335769256648
"2005-02-11",-2.02869436088057,-1.36563360058941
"2005-02-14",-2.06881744669789,-1.38122966816989
"2005-02-15",-2.02668850783283,-1.35241674659652
"2005-02-16",-1.98438416824183,-1.3157660892404
"2005-02-17",-1.95147286942849,-1.288565275834
"2005-02-18",-1.96903362605176,-1.31581667294765
"2005-02-22",-1.94035930491576,-1.28784667059165
"2005-02-23",-2.08966904345404,-1.40126929128137
"2005-02-24",-2.06004841775635,-1.37692439484194
"2005-02-25",-2.09622458043685,-1.40185640748532
"2005-02-28",-2.13485017320541,-1.42921462655216
"2005-03-01",-2.11224516086272,-1.41672980572995
"2005-03-02",-2.06724722507834,-1.39012462215666
"2005-03-03",-2.03849641636692,-1.35775967234808
"2005-03-04",-1.98378193196451,-1.32509521047427
"2005-03-07",-2.02478638972916,-1.34990141566799
"2005-03-08",-1.97594360272207,-1.31847244748974
"2005-03-09",-1.97291446692639,-1.31410869418826
"2005-03-10",-2.05480355163036,-1.36968528071376
"2005-03-11",-1.99562783068629,-1.33360148724989
"2005-03-14",-1.97151194558305,-1.31135630832933
"2005-03-15",-1.92026706433794,-1.28542972993479
"2005-03-16",-1.94109080608653,-1.29882806640204
"2005-03-17",-1.98993735553143,-1.32184322539341
"2005-03-18",-1.94902284618126,-1.29497464057458
"2005-03-21",-1.89202559014001,-1.2648806690773
"2005-03-22",-1.88702174629407,-1.2519388442905
"2005-03-23",-1.96207741482312,-1.30538741066523
"2005-03-24",-1.91015039706108,-1.27481966224519
"2005-03-28",-1.87223298299233,-1.25268443296817
"2005-03-29",-1.8493992196043,-1.23493353429406
