"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.74087115343546,-1.20454127402859
"2004-12-29",-1.74067999003298,-1.20443975967003
"2004-12-30",-1.7091432780429,-1.18867162168475
"2004-12-31",-1.70897327853472,-1.18858119641444
"2005-01-03",-1.69313415196871,-1.18854360494031
"2005-01-04",-1.78786013865278,-1.22014081525663
"2005-01-05",-1.83519787878316,-1.23592513733874
"2005-01-06",-1.75634631634117,-1.2201548633372
"2005-01-07",-1.7405984804421,-1.2043964752666
"2005-01-10",-1.72475401191644,-1.20435672532796
"2005-01-11",-1.72470216333329,-1.20432880686011
"2005-01-12",-1.7247080077177,-1.18856298250659
"2005-01-13",-1.74052332699321,-1.20435656619374
"2005-01-14",-1.787825027806,-1.22012244600566
"2005-01-18",-1.75629895445934,-1.20435971787937
"2005-01-19",-1.77206664988137,-1.2201283515136
"2005-01-20",-1.75632552815986,-1.20437363743679
"2005-01-21",-1.75614272800428,-1.20427788497434
"2005-01-24",-1.75612855730801,-1.20427046222868
"2005-01-25",-1.70874449482244,-1.17269329107556
"2005-01-26",-1.7716423188201,-1.20413940066664
"2005-01-27",-1.7400960363228,-1.20412966011359
"2005-01-28",-1.70856660498592,-1.188364880697
"2005-01-31",-1.86633844140223,-1.23572384077573
"2005-02-01",-1.77165834219354,-1.21991186622945
"2005-02-02",-1.75591016181201,-1.20415606458791
"2005-02-03",-1.77173221827026,-1.21995103542449
"2005-02-04",-1.74020204621105,-1.20418595501977
"2005-02-07",-1.74022083362021,-1.20419593178187
"2005-02-08",-1.7243710152577,-1.20415049635787
"2005-02-09",-1.72438615010419,-1.2041586458906
"2005-02-10",-1.72437811483561,-1.20415431920751
"2005-02-11",-1.81898297722663,-1.2356928156182
"2005-02-14",-1.78747042023021,-1.23570174220891
"2005-02-15",-1.75594468169329,-1.20417414643049
"2005-02-16",-1.69278098156112,-1.17258967236183
"2005-02-17",-1.67702657183518,-1.17259444841619
"2005-02-18",-1.75571746036222,-1.18829334474386
"2005-02-22",-1.86606898283543,-1.26711231007303
"2005-02-23",-2.57568483082717,-1.36181003373312
"2005-02-24",-2.29187103335433,-1.33025881922886
"2005-02-25",-2.68617715884227,-1.40915830074967
"2005-02-28",-2.59170775880902,-1.39344237312729
"2005-03-01",-2.02402818431693,-1.29880304810616
"2005-03-02",-1.83483660210846,-1.25150447923864
"2005-03-03",-1.78746590187096,-1.23569931845329
"2005-03-04",-1.75585734920785,-1.21989208508188
"2005-03-07",-1.78731742291464,-1.23561967080122
"2005-03-08",-1.77058774659853,-1.23509404962481
"2005-03-09",-1.75481618628956,-1.21933254854756
"2005-03-10",-1.81742479519902,-1.25062303323677
"2005-03-11",-1.78593819164034,-1.23487981826335
"2005-03-14",-1.76986109649932,-1.23469902507423
"2005-03-15",-1.75399154099436,-1.23462767091752
"2005-03-16",-1.75381274778376,-1.21879328567709
"2005-03-17",-1.76917005547448,-1.23432335847683
"2005-03-18",-1.75330637143968,-1.21852115145136
"2005-03-21",-1.75331426317455,-1.21852539258779
