"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.4622224978171,-1.03387030193674
"2004-12-29",-1.40294633360803,-0.991958851470092
"2004-12-30",-1.36342069074444,-0.964012086608638
"2004-12-31",-1.29026617983318,-0.912287895251457
"2005-01-03",-1.4305511645438,-1.01147695828153
"2005-01-04",-1.27191417165908,-0.899312034012538
"2005-01-05",-1.49798445785291,-1.05915593970751
"2005-01-06",-1.52750296896758,-1.08002712179122
"2005-01-07",-1.55526678978736,-1.09965764304002
"2005-01-10",-1.46823577760362,-1.03812201561082
"2005-01-11",-1.50279340411934,-1.06255612451926
"2005-01-12",-1.25052844309881,-0.884191168565076
"2005-01-13",-1.32142881425009,-0.934321561332955
"2005-01-14",-1.48384388452143,-1.04915779042339
"2005-01-18",-1.5635199118272,-1.10549304619378
"2005-01-19",-1.34220617895886,-0.949012280670794
"2005-01-20",-1.59111516316732,-1.12500437971355
"2005-01-21",-1.59003564964299,-1.12424110533157
"2005-01-24",-1.41239852305153,-0.998642060057361
"2005-01-25",-1.4288586111395,-1.01028023158517
"2005-01-26",-1.30868949341669,-0.925314173267077
"2005-01-27",-1.38728633127404,-0.980886383794658
"2005-01-28",-1.59093405447014,-1.12487632608032
"2005-01-31",-1.80892515945011,-1.27900781418259
"2005-02-01",-1.56910733947009,-1.10944365939582
"2005-02-02",-1.59437717979024,-1.12731080169508
"2005-02-03",-1.79910193748596,-1.27206226555833
"2005-02-04",-1.67248914194261,-1.18254017890403
"2005-02-07",-1.46303047393726,-1.03444158470427
"2005-02-08",-1.59952067747467,-1.13094753243337
"2005-02-09",-1.58811636005524,-1.12288406390418
"2005-02-10",-1.50711296388443,-1.06561028663565
"2005-02-11",-1.59263040070666,-1.12607573451396
"2005-02-14",-1.36879127342662,-0.967809378708496
"2005-02-15",-1.32496764161278,-0.936823703462098
"2005-02-16",-1.31832920384546,-0.932129969321683
"2005-02-17",-1.45275389391725,-1.02717548744204
"2005-02-18",-1.48899747788158,-1.05280165934981
"2005-02-22",-1.796313464369,-1.27009066441851
"2005-02-23",-1.86244270924893,-1.31684761315437
"2005-02-24",-1.95479171351007,-1.38214334828466
"2005-02-25",-2.1054560919767,-1.48867120344279
"2005-02-28",-1.82850597425402,-1.29285250809456
"2005-03-01",-1.8832281332041,-1.33154403081481
"2005-03-02",-1.92770990217861,-1.3629950445894
"2005-03-03",-1.79532951649153,-1.26939496011175
"2005-03-04",-1.91170540402224,-1.35167899975629
"2005-03-07",-1.86947152502176,-1.32181736563469
"2005-03-08",-1.74294584943243,-1.23235687749451
"2005-03-09",-1.67066277399206,-1.1812488380942
"2005-03-10",-1.87921160264884,-1.3287041267208
"2005-03-11",-1.79445912346541,-1.26877954521965
"2005-03-14",-1.721665188298,-1.21731030039333
"2005-03-15",-1.65157932614561,-1.16775580949119
"2005-03-16",-1.64004429504034,-1.15959991932437
"2005-03-17",-1.74060073768605,-1.23069875679609
"2005-03-18",-1.43916732043954,-1.01756904598416
"2005-03-21",-1.659836299476,-1.17359393571543
"2005-03-22",-1.51306063789148,-1.06981561347932
"2005-03-23",-1.59006713309071,-1.12426336582998
"2005-03-24",-1.62550701225445,-1.14932127502391
"2005-03-28",-1.53404154528571,-1.08465024849209
"2005-03-29",-1.88991476258274,-1.33627183902797
"2005-03-30",-1.56574912552825,-1.10706922071278
"2005-03-31",-1.56826829855762,-1.10885041214185
"2005-04-01",-1.8718840802963,-1.32352317255112
"2005-04-04",-1.63096593437862,-1.15318102788176
"2005-04-05",-1.57732651724753,-1.11525506212223
"2005-04-06",-1.61070647888959,-1.13885649834212
"2005-04-07",-1.46043109864889,-1.0326036859452
"2005-04-08",-1.41539860468459,-1.00076327985013
"2005-04-11",-1.50835776104554,-1.06649042547822
"2005-04-12",-1.41454561348093,-1.00016016898664
"2005-04-13",-1.94834083093799,-1.37758222579988
"2005-04-14",-1.57771921224297,-1.11553271869919
"2005-04-15",-1.55084097253353,-1.09652835113857
"2005-04-18",-2.66667041757411,-1.8854800510175
"2005-04-19",-2.66018037332042,-1.88089123910812
"2005-04-20",-2.56150808088247,-1.81112459762373
"2005-04-21",-2.74859365553369,-1.94340420612477
"2005-04-22",-3.17190100203735,-2.24270536911134
"2005-04-25",-2.8604786939507,-2.02251297282963
