"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.75114980197528,-1.17799524348988
"2004-12-29",-1.75434133071957,-1.17509356635517
"2004-12-30",-1.71994796155958,-1.1436715150026
"2004-12-31",-1.70294257504355,-1.13319895655482
"2005-01-03",-1.66352736199786,-1.09768543362327
"2005-01-04",-1.73053575358983,-1.15627983865636
"2005-01-05",-1.83210814928768,-1.23889441477084
"2005-01-06",-1.78584136391438,-1.21104325351522
"2005-01-07",-1.80058433186794,-1.20131601855132
"2005-01-10",-1.76928820016293,-1.18040416670681
"2005-01-11",-1.74625640979318,-1.16574170078016
"2005-01-12",-1.7587453563615,-1.16865243792155
"2005-01-13",-1.73196027011118,-1.15893635654964
"2005-01-14",-1.74333249393917,-1.1649172425234
"2005-01-18",-1.73162674630922,-1.15782090441294
"2005-01-19",-1.78259111265012,-1.19511922420539
"2005-01-20",-1.81858001834729,-1.21604811188772
"2005-01-21",-1.82521886459417,-1.2276207641486
"2005-01-24",-1.8068789356151,-1.22159924976827
"2005-01-25",-1.79941696728364,-1.20213814559173
"2005-01-26",-1.77938351141979,-1.18917659067057
"2005-01-27",-1.75430537803971,-1.17123254677089
"2005-01-28",-1.72745023819402,-1.15237271924093
"2005-01-31",-1.71054281142033,-1.1341696391263
"2005-02-01",-1.74421959390376,-1.15640543085354
"2005-02-02",-1.74918807629851,-1.1681514282463
"2005-02-03",-1.73039102286362,-1.15292936774045
"2005-02-04",-1.70630839892764,-1.13566191786383
"2005-02-07",-1.78643873220889,-1.17895652584123
"2005-02-08",-1.74871018196543,-1.1649203559892
"2005-02-09",-1.72695111734059,-1.14687082408905
"2005-02-10",-1.73478049192441,-1.15574683147557
"2005-02-11",-1.72803183302219,-1.15197897014466
"2005-02-14",-1.72458717150575,-1.14145395520447
"2005-02-15",-1.71300044984197,-1.13779133224259
"2005-02-16",-1.70028028550106,-1.13086711469039
"2005-02-17",-1.69531139264328,-1.12335576871268
"2005-02-18",-1.69438645378879,-1.1206466652286
"2005-02-22",-1.6774231672455,-1.12195300669324
"2005-02-23",-1.85716013195799,-1.25642267573714
"2005-02-24",-1.86644396570722,-1.25647168129303
"2005-02-25",-1.87613330649416,-1.25859360560771
"2005-02-28",-1.87927448364803,-1.27335616230706
"2005-03-01",-1.87462952647918,-1.2617001389466
"2005-03-02",-1.84276638079025,-1.24242801208848
"2005-03-03",-1.83101763818851,-1.23126572992047
"2005-03-04",-1.82101641649247,-1.21386516129857
"2005-03-07",-1.83862906717469,-1.23676922430787
"2005-03-08",-1.82164356749792,-1.21661837700298
"2005-03-09",-1.80697557656233,-1.2095422769136
"2005-03-10",-1.84516549502276,-1.24127108475436
