"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.84933085497626,-1.24408381682209
"2004-12-29",-1.85522270079755,-1.2458183175682
"2004-12-30",-1.81644819045798,-1.21407447644117
"2004-12-31",-1.79748688305021,-1.20047501771535
"2005-01-03",-1.74747727730812,-1.16817707933692
"2005-01-04",-1.8280993734513,-1.23136315213434
"2005-01-05",-1.9985457125526,-1.35587650460139
"2005-01-06",-1.99062918857478,-1.35629166509246
"2005-01-07",-1.96464230892757,-1.32532991164466
"2005-01-10",-1.93383385220461,-1.30569683828729
"2005-01-11",-1.8952001676559,-1.27718128956298
"2005-01-12",-1.92396886501328,-1.29490455766738
"2005-01-13",-1.87871414823227,-1.26972321907714
"2005-01-14",-1.89956710532948,-1.28673513710739
"2005-01-18",-1.89672653693251,-1.27817356478988
"2005-01-19",-1.94197189506364,-1.31126884623089
"2005-01-20",-2.00198014881788,-1.35605213220325
"2005-01-21",-1.9831454559638,-1.34134255906264
"2005-01-24",-1.94924238281454,-1.32987893393508
"2005-01-25",-1.96428014445368,-1.32125359271773
"2005-01-26",-1.93946192654643,-1.31046912405142
"2005-01-27",-1.93606520455777,-1.31044990833269
"2005-01-28",-1.89974203105018,-1.2842754680169
"2005-01-31",-1.8841679980813,-1.26938165440166
"2005-02-01",-1.92202460713224,-1.29229656934399
"2005-02-02",-1.88923688980734,-1.27769095447642
"2005-02-03",-1.87186410111005,-1.26167048558464
"2005-02-04",-1.84962479209224,-1.24324292354912
"2005-02-07",-1.9358453492682,-1.29421525242631
"2005-02-08",-1.89306729783095,-1.2732421881669
"2005-02-09",-1.86356176722699,-1.25408034805563
"2005-02-10",-1.98267092851208,-1.34289263775094
"2005-02-11",-1.94043056776895,-1.31037491033992
"2005-02-14",-1.93751561459812,-1.30747371453241
"2005-02-15",-1.91540357215468,-1.29613673633032
"2005-02-16",-1.87768883695919,-1.2677864774415
"2005-02-17",-1.85799247098881,-1.25196486811562
"2005-02-18",-1.87395015046634,-1.25613303495942
"2005-02-22",-1.84952753903979,-1.24983217803628
"2005-02-23",-2.00734528793583,-1.3614638562574
"2005-02-24",-1.98873089904582,-1.34631597462252
"2005-02-25",-2.00030363821767,-1.35216997932434
"2005-02-28",-2.01711702824724,-1.37351151286865
"2005-03-01",-1.97978319937883,-1.3460397313167
"2005-03-02",-1.94051566020151,-1.32332733465007
"2005-03-03",-1.93562630449148,-1.30604731606483
"2005-03-04",-1.91601024112197,-1.29053282648395
"2005-03-07",-1.91824738206245,-1.29735195466519
"2005-03-08",-1.88578200430435,-1.26658148313563
"2005-03-09",-1.88640933765406,-1.26898689672059
"2005-03-10",-1.92098898086276,-1.29896947745326
"2005-03-11",-1.88461676007974,-1.27439767803484
"2005-03-14",-1.8501322064787,-1.2535737847742
"2005-03-15",-1.83703858182585,-1.24013908280279
