"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.853272002284,-1.25207614625279
"2004-12-29",-1.8609612955795,-1.25450176732855
"2004-12-30",-1.81837834677515,-1.22011851741515
"2004-12-31",-1.79127467719082,-1.19705617369203
"2005-01-03",-1.74693965556072,-1.16909631660772
"2005-01-04",-1.83312819252074,-1.2260507661308
"2005-01-05",-2.00046139253877,-1.35991612280111
"2005-01-06",-2.00200789370351,-1.3567656906912
"2005-01-07",-1.95000429977802,-1.32705365794068
"2005-01-10",-1.92613649078663,-1.3030934431107
"2005-01-11",-1.88975876731518,-1.27881972234914
"2005-01-12",-1.93431861817878,-1.29815932529743
"2005-01-13",-1.87403818335196,-1.26692988800996
"2005-01-14",-1.89327021800053,-1.28736191506346
"2005-01-18",-1.89537995236508,-1.27661766565814
"2005-01-19",-1.93840075800152,-1.30796520278307
"2005-01-20",-1.98339675814355,-1.35824296139144
"2005-01-21",-1.9866261411444,-1.34791076952866
"2005-01-24",-1.95936401134641,-1.32529974163365
"2005-01-25",-1.94850179476179,-1.31528482855166
"2005-01-26",-1.93023578591932,-1.30472575591346
"2005-01-27",-1.92386861084873,-1.30583730033894
"2005-01-28",-1.8819086150249,-1.2840758700394
"2005-01-31",-1.89138086937043,-1.27157412709129
"2005-02-01",-1.91655379234931,-1.29567660344495
"2005-02-02",-1.89955764684133,-1.27918626721982
"2005-02-03",-1.87441539416624,-1.25742457479484
"2005-02-04",-1.8484664218264,-1.24506916639718
"2005-02-07",-1.91738850837537,-1.29254991780179
"2005-02-08",-1.89848204444312,-1.27772118707011
"2005-02-09",-1.87534620068945,-1.265056373034
"2005-02-10",-1.9708652387158,-1.33847109537005
"2005-02-11",-1.92828377606955,-1.30632736264367
"2005-02-14",-1.94887777524828,-1.31980868187015
"2005-02-15",-1.9104906761845,-1.29478084712975
"2005-02-16",-1.88744363260577,-1.2701733503827
"2005-02-17",-1.85821044390579,-1.2478694698463
"2005-02-18",-1.86620132660899,-1.26001261369376
"2005-02-22",-1.85253699631084,-1.24510198844996
"2005-02-23",-1.99867827139311,-1.36120681232799
"2005-02-24",-1.97653739884345,-1.33869009590193
"2005-02-25",-2.01151565251907,-1.35797449329354
"2005-02-28",-2.01364493853888,-1.36748919319484
"2005-03-01",-1.98059392890996,-1.34507031523225
"2005-03-02",-1.95959611292274,-1.31393993868192
"2005-03-03",-1.928255935356,-1.3010313510255
"2005-03-04",-1.91717152788434,-1.29598780591588
"2005-03-07",-1.91423175554694,-1.29789613307645
"2005-03-08",-1.88089797826688,-1.26633193713768
"2005-03-09",-1.87884331637549,-1.26276887467752
"2005-03-10",-1.91738629183799,-1.29747931215921
"2005-03-11",-1.90144274725581,-1.27711192871154
"2005-03-14",-1.87118784529842,-1.25170252489562
"2005-03-15",-1.83403672559409,-1.23755115524891
"2005-03-16",-1.8442605175883,-1.24255067577749
"2005-03-17",-1.86872449750909,-1.25131501273239
"2005-03-18",-1.8412103541805,-1.23263868169001
"2005-03-21",-1.82144975767244,-1.23095124468972
"2005-03-22",-1.81407019916453,-1.21117989529781
"2005-03-23",-1.86394295825745,-1.25161864049928
"2005-03-24",-1.82456424957069,-1.23249856787572
"2005-03-28",-1.82354179602512,-1.22923270973533
"2005-03-29",-1.80756616012089,-1.20490561279472
"2005-03-30",-1.8156507529526,-1.21926769423604
"2005-03-31",-1.89628022458191,-1.28594851095387
"2005-04-01",-1.88624397350337,-1.27073941714343
"2005-04-04",-1.87228441973278,-1.25378798214959
"2005-04-05",-1.8464503040085,-1.23874132977223
"2005-04-06",-1.8498902562449,-1.23148137426275
"2005-04-07",-1.80241728764942,-1.21757612458935
"2005-04-08",-1.8087138052562,-1.20921898269888
"2005-04-11",-1.80353711268665,-1.21502879741777
"2005-04-12",-1.80258309568897,-1.2064579488592
"2005-04-13",-1.80376998241711,-1.20165022531746
"2005-04-14",-1.85762187228269,-1.2549742405545
"2005-04-15",-1.92505516907808,-1.30264385316127
"2005-04-18",-2.10072758798831,-1.43158663092229
"2005-04-19",-2.07025313494762,-1.40534522546285
"2005-04-20",-2.06318881488357,-1.40621991692795
"2005-04-21",-2.15702234922324,-1.48033191944022
"2005-04-22",-2.36898237671642,-1.61953793835567
"2005-04-25",-2.3214509349292,-1.60297400096718
"2005-04-26",-2.33312778914609,-1.6055681792012
"2005-04-27",-2.31384056480144,-1.59759933946972
