"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.9081813053129,-1.26509833689928
"2004-12-29",-1.9122156145306,-1.26594209937104
"2004-12-30",-1.86354225247244,-1.23538835402579
"2004-12-31",-1.8385943700099,-1.21160468997718
"2005-01-03",-1.78832696880709,-1.18244922893603
"2005-01-04",-1.88230419343819,-1.24035583136169
"2005-01-05",-2.05894395344608,-1.37673863890263
"2005-01-06",-2.06101112996339,-1.37188206074352
"2005-01-07",-2.00385655988667,-1.34171775061816
"2005-01-10",-1.97501481636768,-1.31904261448811
"2005-01-11",-1.94111954423551,-1.29419832959039
"2005-01-12",-1.98515010404668,-1.31048448758133
"2005-01-13",-1.92448901414116,-1.27922072267982
"2005-01-14",-1.94290892397848,-1.30185771128556
"2005-01-18",-1.94652151098215,-1.29007450294451
"2005-01-19",-1.98785819507579,-1.32119078464581
"2005-01-20",-2.04101105010703,-1.37324654899887
"2005-01-21",-2.04061762621127,-1.36149678735943
"2005-01-24",-2.01276218772773,-1.33903572111668
"2005-01-25",-1.99054011662351,-1.32683497572845
"2005-01-26",-1.97431037043747,-1.31600403769909
"2005-01-27",-1.97414124663304,-1.31846309399608
"2005-01-28",-1.92456294938578,-1.2956358089479
"2005-01-31",-1.93190997869521,-1.28319330242507
"2005-02-01",-1.95579933602844,-1.30747579856135
"2005-02-02",-1.94551026154728,-1.29169524508437
"2005-02-03",-1.92155776085946,-1.27058818580519
"2005-02-04",-1.89427614618127,-1.25558942972188
"2005-02-07",-1.96475857277481,-1.30513780304659
"2005-02-08",-1.94047925852843,-1.2880139250514
"2005-02-09",-1.91486614631136,-1.27846179363757
"2005-02-10",-2.01234777272062,-1.35050050657408
"2005-02-11",-1.96403359036684,-1.31736091438127
"2005-02-14",-1.98925341889873,-1.33014226514271
"2005-02-15",-1.95815514103242,-1.30817965369139
"2005-02-16",-1.92795975708678,-1.28114625800543
"2005-02-17",-1.90086321063587,-1.26032812153496
"2005-02-18",-1.91134096227746,-1.27132494667618
"2005-02-22",-1.89481100419579,-1.25556412607923
"2005-02-23",-2.04836056335967,-1.37523949171681
