"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-1.75855377102632,-1.17502647321039
"2004-12-29",-1.76674397543199,-1.17771204149994
"2004-12-30",-1.71802236090856,-1.14839801662587
"2004-12-31",-1.71144712913136,-1.1340265449436
"2005-01-03",-1.67347768198927,-1.09591565940384
"2005-01-04",-1.73337130298716,-1.14734633018174
"2005-01-05",-1.8405682463449,-1.23633667483962
"2005-01-06",-1.80005694906067,-1.20548621212726
"2005-01-07",-1.8048319317817,-1.20447355170121
"2005-01-10",-1.77596414529476,-1.18105634593747
"2005-01-11",-1.75886918963122,-1.16431362166161
"2005-01-12",-1.76139550362236,-1.16754440196282
"2005-01-13",-1.74069617036792,-1.16000041115782
"2005-01-14",-1.75548371901209,-1.16466289211474
"2005-01-18",-1.74078344242338,-1.15337726127377
"2005-01-19",-1.7874640345451,-1.19292018183537
"2005-01-20",-1.82282754770306,-1.21405759852643
"2005-01-21",-1.8421862729492,-1.22857346374762
"2005-01-24",-1.82491179107133,-1.22306903238466
"2005-01-25",-1.80099811951814,-1.20090422649448
"2005-01-26",-1.78614360422035,-1.18658263641979
"2005-01-27",-1.75881614719509,-1.1673820146834
"2005-01-28",-1.73791880041977,-1.15361642755167
"2005-01-31",-1.71647431051746,-1.13407515713103
"2005-02-01",-1.75741678480571,-1.15120157622623
"2005-02-02",-1.75985994281845,-1.16667132941464
"2005-02-03",-1.7427020319675,-1.155349293566
"2005-02-04",-1.70567014825509,-1.13665861677022
"2005-02-07",-1.78198070465103,-1.18362959582456
"2005-02-08",-1.75658256048521,-1.16087436470002
"2005-02-09",-1.72855906751905,-1.14879008789036
"2005-02-10",-1.75363059714388,-1.15824544710471
"2005-02-11",-1.75487837785434,-1.15279396714815
"2005-02-14",-1.74625535581004,-1.14424482948316
"2005-02-15",-1.72104490768969,-1.13754245473541
"2005-02-16",-1.70743713515781,-1.12851133254124
"2005-02-17",-1.69991003729579,-1.11959073213587
"2005-02-18",-1.69717156169814,-1.11911265640335
"2005-02-22",-1.68754175216557,-1.11383532881073
"2005-02-23",-1.86705457053985,-1.25695930860046
"2005-02-24",-1.87204309072186,-1.24685640088645
"2005-02-25",-1.88277608673105,-1.25566997135861
"2005-02-28",-1.90286184859013,-1.26905107545032
"2005-03-01",-1.88815677380209,-1.25550270160749
"2005-03-02",-1.86493203128299,-1.24510100779672
"2005-03-03",-1.8469717150488,-1.22702202487954
"2005-03-04",-1.83867968547392,-1.21599155733933
"2005-03-07",-1.83286000839548,-1.22597239642652
"2005-03-08",-1.82896722773726,-1.216587317617
"2005-03-09",-1.82852170864427,-1.21332105626802
"2005-03-10",-1.86082285716839,-1.24184186455617
"2005-03-11",-1.85332801291096,-1.23003185659537
"2005-03-14",-1.83856756174897,-1.22753752875591
"2005-03-15",-1.82513558870446,-1.22494281300009
"2005-03-16",-1.82633593090683,-1.22166704414088
"2005-03-17",-1.85479740475404,-1.24215262138267
"2005-03-18",-1.82810635101832,-1.22400726555005
"2005-03-21",-1.82387331631122,-1.21502520058181
"2005-03-22",-1.81985587667233,-1.21315508887706
"2005-03-23",-1.87498754295608,-1.2521533524446
"2005-03-24",-1.84088892899897,-1.24012513660885
"2005-03-28",-1.82179757381614,-1.21568098959613
"2005-03-29",-1.81493899221502,-1.20392842121664
"2005-03-30",-1.8160803541934,-1.21479827177504
"2005-03-31",-1.89199911661459,-1.27611813401675
"2005-04-01",-1.88440001905497,-1.26259088099396
"2005-04-04",-1.84345484121642,-1.23793694676386
"2005-04-05",-1.82465517276142,-1.22340867634447
"2005-04-06",-1.81526997794117,-1.21848005722991
"2005-04-07",-1.79755166131339,-1.19901291743575
"2005-04-08",-1.77941782712761,-1.18612877016135
"2005-04-11",-1.79761565377409,-1.19741826568707
"2005-04-12",-1.77252667647357,-1.17986440981906
"2005-04-13",-1.75894466125461,-1.17188085015595
"2005-04-14",-1.82380828036165,-1.22369853122293
"2005-04-15",-1.87952281553682,-1.2676809277406
"2005-04-18",-2.06285267051479,-1.39070604020799
"2005-04-19",-2.03384802958844,-1.37242477860676
"2005-04-20",-2.01973385456365,-1.34959066122316
"2005-04-21",-2.0884925588284,-1.41409210810251
"2005-04-22",-2.26187860940076,-1.54055894892384
"2005-04-25",-2.2529433348135,-1.52345987407908
"2005-04-26",-2.23854619878738,-1.51920262453887
"2005-04-27",-2.23020009526648,-1.51418072560414
"2005-04-28",-2.18551786334378,-1.47866871830037
"2005-04-29",-2.19585289451591,-1.49210512238314
"2005-05-02",-2.23533089834568,-1.51642848091703
"2005-05-03",-2.17504458749498,-1.48719462650457
"2005-05-04",-2.15293307291982,-1.45326830077226
"2005-05-05",-2.18141322699433,-1.48796620744176
"2005-05-06",-2.13967201095471,-1.45536441600283
"2005-05-09",-2.11545177129104,-1.42972040190631
"2005-05-10",-2.08601053109236,-1.40721465484918
"2005-05-11",-2.07955357095653,-1.40453113853785
"2005-05-12",-2.08527990810803,-1.40971237744875
"2005-05-13",-2.15384646036811,-1.44338858018738
"2005-05-16",-2.11024956487352,-1.42347393737902
"2005-05-17",-2.11562457515511,-1.42555456376216
"2005-05-18",-2.10776586297066,-1.41017251661825
"2005-05-19",-2.10570934066439,-1.41804238755945
"2005-05-20",-2.06658503818301,-1.38711780499622
"2005-05-23",-2.0358802640898,-1.36277293783248
"2005-05-24",-2.01882986666077,-1.34440510134463
"2005-05-25",-1.97949954126986,-1.33371668055373
"2005-05-26",-1.95963386942023,-1.3059047144971
"2005-05-27",-1.96946028003974,-1.31949868435324
"2005-05-31",-1.89702958813544,-1.27286026808694
"2005-06-01",-1.88096947869873,-1.26462834847517
"2005-06-02",-1.90177590794372,-1.27188251529551
"2005-06-03",-1.87056676307568,-1.24941961076909
"2005-06-06",-1.84485370352562,-1.23469794898224
"2005-06-07",-1.8185438534098,-1.21452825385168
"2005-06-08",-1.78427663337929,-1.19240890849351
"2005-06-09",-1.78175203336047,-1.17810964238736
"2005-06-10",-1.77016802129577,-1.17304835482803
"2005-06-13",-1.74838896952344,-1.15089166262652
"2005-06-14",-1.72476509918382,-1.13984517360218
"2005-06-15",-1.69123532711765,-1.11768766728352
"2005-06-16",-1.68192768213716,-1.1060048984555
"2005-06-17",-1.66622092149557,-1.08873946120237
"2005-06-20",-1.66895331205781,-1.09061710185224
"2005-06-21",-1.62613574955062,-1.06707080407918
