"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-2.8603536407889,-1.95308515519432
"2004-12-29",-2.86941884981292,-1.95100363672136
"2004-12-30",-2.86325212402499,-1.95611212099394
"2004-12-31",-2.88125821193684,-1.96028571358695
"2005-01-03",-2.86775076279743,-1.95143850193515
"2005-01-04",-2.85529659636202,-1.95182303446798
"2005-01-05",-2.85092479410131,-1.95065205952241
"2005-01-06",-2.85415974892658,-1.94978502861673
"2005-01-07",-2.88391808243927,-1.96013707408201
"2005-01-10",-2.87748784018993,-1.95869365236679
"2005-01-11",-2.88464597930214,-1.95500549930566
"2005-01-12",-2.85652752553063,-1.96396743863833
"2005-01-13",-2.8701369533028,-1.95887997074641
"2005-01-14",-2.86161796714209,-1.96066262555199
"2005-01-18",-2.86083456498027,-1.95546111224103
"2005-01-19",-2.85391427902506,-1.96189258268935
"2005-01-20",-2.88037751681935,-1.9576963584022
"2005-01-21",-2.8722226463027,-1.96100827238879
"2005-01-24",-2.87533898997165,-1.96323507724992
"2005-01-25",-2.8685403438615,-1.96375053553566
"2005-01-26",-2.88133344946497,-1.96042397478271
"2005-01-27",-2.86665488638254,-1.95494436571892
"2005-01-28",-2.85422378525025,-1.95862808542422
"2005-01-31",-2.84911420977627,-1.95675525761626
"2005-02-01",-2.86430237464138,-1.94812249536153
"2005-02-02",-2.86544811271762,-1.95929486632427
"2005-02-03",-2.86662486581264,-1.95639876316494
"2005-02-04",-2.86336325728409,-1.94753027519234
"2005-02-07",-2.86993593955515,-1.96191706795087
"2005-02-08",-2.85060345232934,-1.94306954168144
"2005-02-09",-2.84370991439573,-1.95247947967982
"2005-02-10",-2.86646703360465,-1.95187779096719
"2005-02-11",-2.87089333174872,-1.95896323883996
"2005-02-14",-2.87049259037515,-1.95855564403408
"2005-02-15",-2.85829896868591,-1.94875394724578
"2005-02-16",-2.84786649703732,-1.95259943076752
"2005-02-17",-2.84132388015102,-1.94791181275433
"2005-02-18",-2.83414608751508,-1.94675554249059
"2005-02-22",-2.83980177715665,-1.94609518963981
"2005-02-23",-2.85242324207005,-1.95141723793968
"2005-02-24",-2.82830083609337,-1.93955526346512
"2005-02-25",-2.85286045009477,-1.9482391700473
"2005-02-28",-2.86441701821077,-1.9444834035947
"2005-03-01",-2.8435329628316,-1.94305980121259
"2005-03-02",-2.84768871702415,-1.94529765937652
"2005-03-03",-2.85161663427554,-1.94900737102974
"2005-03-04",-2.87736645152273,-1.9537996911639
"2005-03-07",-2.83032867085479,-1.93794253475707
"2005-03-08",-2.85256549718109,-1.93787128894508
"2005-03-09",-2.85449744344997,-1.9509254569893
"2005-03-10",-2.85072689002116,-1.95494906513183
"2005-03-11",-2.82657013713584,-1.93624784862625
"2005-03-14",-2.85539733409672,-1.93883597332537
"2005-03-15",-2.85818461290388,-1.94821414406714
"2005-03-16",-2.86401484310853,-1.9473065598282
"2005-03-17",-2.8639448510928,-1.94964460576761
"2005-03-18",-2.87634497989049,-1.95035447026539
"2005-03-21",-2.85660377781864,-1.94983003609087
"2005-03-22",-2.86355566718342,-1.95273330305857
"2005-03-23",-2.85615390492569,-1.96549294264414
"2005-03-24",-2.84760023921455,-1.95214617001429
"2005-03-28",-2.84107008837958,-1.94982748480237
"2005-03-29",-2.8322823580382,-1.94098388838381
"2005-03-30",-2.84584462378267,-1.95011770322379
"2005-03-31",-2.83965821366707,-1.95095994629248
"2005-04-01",-2.85379116821962,-1.93779167279138
"2005-04-04",-2.86978554683019,-1.95106369730543
"2005-04-05",-2.85186284364819,-1.95056803161163
"2005-04-06",-2.86110499087678,-1.96035112721007
"2005-04-07",-2.85263757306932,-1.95290569734297
"2005-04-08",-2.85570530109978,-1.94294176878156
"2005-04-11",-2.87221572517598,-1.95993636952153
"2005-04-12",-2.857288694528,-1.94343541493062
"2005-04-13",-2.86289337017666,-1.94971833573491
"2005-04-14",-2.85698083683581,-1.93834541348935
"2005-04-15",-2.86032929951993,-1.95221913661987
"2005-04-18",-2.8648281333608,-1.95681497959635
"2005-04-19",-2.87247107728773,-1.95742980406885
"2005-04-20",-2.88141348387171,-1.95847209756102
"2005-04-21",-2.87222592477383,-1.95066298961522
"2005-04-22",-2.85126493935119,-1.95237699393042
"2005-04-25",-2.852634071664,-1.95390277323033
"2005-04-26",-2.85730287898022,-1.95040618443948
"2005-04-27",-2.87216925274224,-1.95267812299141
"2005-04-28",-2.85581955252524,-1.95193285285465
"2005-04-29",-2.86475095367034,-1.95411064719431
"2005-05-02",-2.87699327729214,-1.96432404495942
"2005-05-03",-2.86134643437912,-1.9534717647336
"2005-05-04",-2.86980916776002,-1.95623195505395
"2005-05-05",-2.88483075925697,-1.96223226600115
"2005-05-06",-2.862521070897,-1.95122094756931
"2005-05-09",-2.87260070818328,-1.94655679455999
"2005-05-10",-2.86152412785954,-1.95463056551676
"2005-05-11",-2.83701617988255,-1.9439323419781
"2005-05-12",-2.86360572928553,-1.95804918544388
"2005-05-13",-2.8626737038905,-1.95456486994955
"2005-05-16",-2.8656278249925,-1.95312852682103
"2005-05-17",-2.86016425352138,-1.9479179602754
"2005-05-18",-2.85459135401095,-1.95058346606372
"2005-05-19",-2.84939863600446,-1.94040972978722
"2005-05-20",-2.86340161249853,-1.95173100203839
