"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.29476816323425,-0.899671206030536
"2004-12-29",-1.29669650585177,-0.900198398358396
"2004-12-30",-1.27037730324263,-0.881824158576458
"2004-12-31",-1.22752967429705,-0.851263271321878
"2005-01-03",-1.18400769293971,-0.820332705508694
"2005-01-04",-1.41790009437892,-0.987284426065806
"2005-01-05",-1.5324585788463,-1.06876443349181
"2005-01-06",-1.47723204450999,-1.02984785770198
"2005-01-07",-1.46509679948388,-1.02096564973839
"2005-01-10",-1.44567007197659,-1.00730714324459
"2005-01-11",-1.40224238376422,-0.976682287930485
"2005-01-12",-1.39687296830129,-0.973196179100292
"2005-01-13",-1.45703095292777,-1.01512483598807
"2005-01-14",-1.55167339445087,-1.08244819889486
"2005-01-18",-1.52582226855976,-1.06387744879013
"2005-01-19",-1.55568640609289,-1.08466069099199
"2005-01-20",-1.57980500898728,-1.10222117319967
"2005-01-21",-1.58218206452604,-1.10462820556165
"2005-01-24",-1.61312193214087,-1.12674352492619
"2005-01-25",-1.57122270404659,-1.0971288600719
"2005-01-26",-1.66543607084275,-1.16342032224279
"2005-01-27",-1.61778831276255,-1.12972253287524
"2005-01-28",-1.55887106018119,-1.08813568630503
"2005-01-31",-1.74704848921346,-1.22176268607756
"2005-02-01",-1.69658953724558,-1.18622803234373
"2005-02-02",-1.65916681370491,-1.15956319684516
"2005-02-03",-1.69035258776945,-1.18113857173017
"2005-02-04",-1.6306548923414,-1.1388741129947
"2005-02-07",-1.61337929141832,-1.12627539087587
"2005-02-08",-1.56978988223173,-1.09578854256831
"2005-02-09",-1.54300015222214,-1.07650160776007
"2005-02-10",-1.51771475743994,-1.05876113877002
"2005-02-11",-1.50749452535353,-1.05119976882606
"2005-02-14",-1.47991939507137,-1.03136450876232
"2005-02-15",-1.43706714891018,-1.00078353397138
"2005-02-16",-1.39468616926519,-0.97043533328963
"2005-02-17",-1.37584333879305,-0.956679043702078
"2005-02-18",-1.40980343925005,-0.981109688788603
"2005-02-22",-1.54641000635903,-1.07715974828145
"2005-02-23",-1.83288090853286,-1.28104418534384
"2005-02-24",-1.85236274399561,-1.29434829812748
"2005-02-25",-1.95131221366055,-1.3638082802527
"2005-02-28",-1.98510554382973,-1.38733367866607
"2005-03-01",-1.94495425827571,-1.35917284190056
"2005-03-02",-1.87645982396324,-1.31058518124035
"2005-03-03",-1.81253366896996,-1.26531050864505
"2005-03-04",-1.75807910416086,-1.22668100641271
"2005-03-07",-1.7884824682861,-1.24777296495043
"2005-03-08",-1.73357111329698,-1.20854182972835
"2005-03-09",-1.67210776843382,-1.16503984900981
"2005-03-10",-1.79414380373256,-1.25172415980824
"2005-03-11",-1.73551995335049,-1.21012939388009
"2005-03-14",-1.69312787138309,-1.17999246458151
"2005-03-15",-1.64627786327079,-1.14686805367843
"2005-03-16",-1.62136616205227,-1.12927760961539
"2005-03-17",-1.6323697138052,-1.13698025427789
"2005-03-18",-1.58547058968058,-1.10349220740296
"2005-03-21",-1.56856242251088,-1.09131470156003
"2005-03-22",-1.53235896816491,-1.06609274125809
"2005-03-23",-1.56921928853608,-1.09307451118229
"2005-03-24",-1.52991984529887,-1.06534395341267
"2005-03-28",-1.48756664563935,-1.0355249757077
"2005-03-29",-1.44487995743367,-1.0053396417665
"2005-03-30",-1.52226333351048,-1.06053164426629
"2005-03-31",-1.69862019144722,-1.18354484234065
"2005-04-01",-1.65200591090839,-1.15084634664778
"2005-04-04",-1.61104585855696,-1.12260419812582
"2005-04-05",-1.57341249133255,-1.09605810793689
"2005-04-06",-1.52447146066873,-1.06162674375726
"2005-04-07",-1.49292471459634,-1.0393744010047
"2005-04-08",-1.51315524546647,-1.05298814337704
"2005-04-11",-1.55816027957897,-1.08558696967787
"2005-04-12",-1.5089254170929,-1.05089802461568
"2005-04-13",-1.46528143744602,-1.02002191678594
"2005-04-14",-1.54342284827463,-1.07631799357339
"2005-04-15",-1.582527639961,-1.10454141889435
"2005-04-18",-2.04871380722904,-1.43453388971518
"2005-04-19",-1.98473531726579,-1.38936936796355
"2005-04-20",-1.99276350782161,-1.39463594882854
"2005-04-21",-2.06127201721448,-1.44373206071484
"2005-04-22",-2.34998474168281,-1.64693195476893
"2005-04-25",-2.27351353771223,-1.59318297646271
"2005-04-26",-2.24807737043548,-1.57488020742309
"2005-04-27",-2.22312154068617,-1.55781411129571
"2005-04-28",-2.15324052664094,-1.50825419243075
"2005-04-29",-2.21782415839216,-1.55413223854779
"2005-05-02",-2.25850055761619,-1.58280041176877
"2005-05-03",-2.20522470975187,-1.54510393206709
"2005-05-04",-2.14094293824602,-1.49970188516914
"2005-05-05",-2.13312219587542,-1.49400836147545
"2005-05-06",-2.07138621725098,-1.45047208298628
"2005-05-09",-2.00587175762782,-1.40403256708914
"2005-05-10",-1.95465990057198,-1.36783494103873
"2005-05-11",-1.96027015065004,-1.37211967946525
"2005-05-12",-1.91724540319612,-1.34247261676887
"2005-05-13",-2.00280107587667,-1.40336713471056
"2005-05-16",-1.99212607353367,-1.39624058337724
"2005-05-17",-1.96024015600895,-1.37339685399971
"2005-05-18",-1.95170329048893,-1.36681552953762
"2005-05-19",-1.97012488610574,-1.37925111208225
"2005-05-20",-1.91593448598903,-1.34074175864115
"2005-05-23",-1.86388941544799,-1.30375977343503
"2005-05-24",-1.82882209294659,-1.27885951069065
"2005-05-25",-1.76861385189425,-1.23604205733953
"2005-05-26",-1.7171893930675,-1.19975468626601
"2005-05-27",-1.72033260847292,-1.20179234887952
"2005-05-31",-1.66867646115172,-1.16533969131621
"2005-06-01",-1.67833000217352,-1.17263530226251
"2005-06-02",-1.71927443055568,-1.20085960046398
"2005-06-03",-1.66403214215888,-1.1616713795126
"2005-06-06",-1.67084639001016,-1.16660882708517
"2005-06-07",-1.61510729384147,-1.12702845838324
"2005-06-08",-1.56155292830723,-1.08926260650381
"2005-06-09",-1.52788830551323,-1.06553122212281
"2005-06-10",-1.49945850928632,-1.04496183773204
"2005-06-13",-1.45631385109943,-1.01437813494531
"2005-06-14",-1.40499852121607,-0.978127152514816
"2005-06-15",-1.35221194640764,-0.940606609348309
"2005-06-16",-1.33662145053956,-0.92927246969871
"2005-06-17",-1.29321650231345,-0.898233178687999
"2005-06-20",-1.3552323629984,-0.941350066486322
"2005-06-21",-1.31057865388549,-0.909672885746227
"2005-06-22",-1.31260249027299,-0.911463413295108
"2005-06-23",-1.27371841972298,-0.88394605512549
"2005-06-24",-1.61523303042388,-1.12703278312333
"2005-06-27",-1.76088915215619,-1.23048131930582
"2005-06-28",-1.7143807734301,-1.19770528503699
"2005-06-29",-1.76867721035576,-1.23559372916033
"2005-06-30",-1.76112077812048,-1.23041317447735
"2005-07-01",-1.73724094357266,-1.21343439273295
"2005-07-05",-1.70461193116529,-1.19024798783597
"2005-07-06",-1.70492810840429,-1.1899867219317
"2005-07-07",-1.78798013736052,-1.24916697295099
"2005-07-08",-1.75154315575302,-1.22359411034751
"2005-07-11",-1.84717853820299,-1.29074699278091
"2005-07-12",-1.8071225742309,-1.26224020873757
"2005-07-13",-1.75592559429404,-1.22626501615437
"2005-07-14",-1.72146937184975,-1.20167306261397
"2005-07-15",-1.68048692171537,-1.17263831837194
"2005-07-18",-1.64045931993062,-1.14447330584812
"2005-07-19",-1.60269388792681,-1.11768533132203
"2005-07-20",-1.69385457020447,-1.18120627896899
"2005-07-21",-1.65742940910429,-1.15545580792416
"2005-07-22",-1.65508269568916,-1.15419950333398
"2005-07-25",-1.61483457058987,-1.12565757710478
"2005-07-26",-1.5920129617073,-1.10974194043282
"2005-07-27",-1.55166316919475,-1.08137090784637
"2005-07-28",-1.54645260674207,-1.07735157704074
"2005-07-29",-1.53999606808092,-1.07249909294584
"2005-08-01",-1.59858309226391,-1.11452799638311
"2005-08-02",-1.56206392108537,-1.08872342852927
"2005-08-03",-1.54500667403325,-1.07646531474451
"2005-08-04",-1.50239328550217,-1.04616215040559
