"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.58955432458635,-1.1102022372992
"2004-12-29",-1.59713508396091,-1.11487806846074
"2004-12-30",-1.56359022174731,-1.09124091125099
"2004-12-31",-1.51329338391987,-1.05536785808165
"2005-01-03",-1.46337929434533,-1.01986056120816
"2005-01-04",-1.7585829699723,-1.2294912181877
"2005-01-05",-1.89361431829096,-1.32516515916236
"2005-01-06",-1.80896806265337,-1.26544828505082
"2005-01-07",-1.78537326822092,-1.24859658860284
"2005-01-10",-1.7530290313684,-1.22569183721018
"2005-01-11",-1.69263780840126,-1.18315094499899
"2005-01-12",-1.68278016228114,-1.1763836421107
"2005-01-13",-1.75979703297439,-1.23046182879882
"2005-01-14",-1.87514248596376,-1.31222318318938
"2005-01-18",-1.83293544606689,-1.2821950584327
"2005-01-19",-1.86509189775891,-1.30477834743438
"2005-01-20",-1.88715866634336,-1.32078195995849
"2005-01-21",-1.87994940372821,-1.31633628965468
"2005-01-24",-1.91114764791223,-1.33850957542693
"2005-01-25",-1.84808111977925,-1.29383493600018
"2005-01-26",-1.96735124129327,-1.37812938377996
"2005-01-27",-1.89481308384151,-1.3269185887003
"2005-01-28",-1.81085338287071,-1.26763160803628
"2005-01-31",-2.07144290354826,-1.4523410196845
"2005-02-01",-1.99172555240791,-1.39622959104475
"2005-02-02",-1.93114464516374,-1.35325314996855
"2005-02-03",-1.96366291037773,-1.37590336226791
"2005-02-04",-1.87730420797919,-1.31478325171247
"2005-02-07",-1.8507848053971,-1.29569358017215
"2005-02-08",-1.79155207867772,-1.25414156221457
"2005-02-09",-1.75681266482686,-1.22925616100713
"2005-02-10",-1.72431092162463,-1.20631298872871
"2005-02-11",-1.71359178744311,-1.19846379351873
"2005-02-14",-1.68109360266462,-1.17517702082073
"2005-02-15",-1.63050028022458,-1.13912709845745
"2005-02-16",-1.58289838430237,-1.10507875694542
"2005-02-17",-1.5660589591135,-1.09278343586267
"2005-02-18",-1.61399546748693,-1.12690909506614
"2005-02-22",-1.76735971879954,-1.23498004333723
"2005-02-23",-2.12474059885618,-1.48867454197523
"2005-02-24",-2.13465200574948,-1.49528804417258
"2005-02-25",-2.24104511637679,-1.57010466956058
"2005-02-28",-2.2629602705555,-1.58529203254623
"2005-03-01",-2.19387041702229,-1.53660654879224
"2005-03-02",-2.09389126029128,-1.46576828597963
"2005-03-03",-2.00491285023343,-1.40276497776575
"2005-03-04",-1.93141551865478,-1.35065414969443
"2005-03-07",-1.96986563570159,-1.37755731034261
"2005-03-08",-1.90149752888108,-1.32887612701422
"2005-03-09",-1.82210483123881,-1.27265742673242
"2005-03-10",-1.98412697338713,-1.38753210762748
"2005-03-11",-1.90517207252968,-1.33157809419916
"2005-03-14",-1.85096769184735,-1.29309459704022
"2005-03-15",-1.79202558838331,-1.2514387144979
"2005-03-16",-1.7636657830021,-1.2314217324997
"2005-03-17",-1.7832033660344,-1.24512022714305
"2005-03-18",-1.7264418622174,-1.20471758901286
"2005-03-21",-1.71108003844697,-1.19366715393011
"2005-03-22",-1.66800849332409,-1.16351510534848
"2005-03-23",-1.72112018835215,-1.20191806520301
"2005-03-24",-1.67445294281209,-1.16898465316202
"2005-03-28",-1.62575806335728,-1.1346763819713
"2005-03-29",-1.57879611298689,-1.10146749516531
"2005-03-30",-1.69153752546174,-1.18159418347936
"2005-03-31",-1.92282557519773,-1.34360644238483
"2005-04-01",-1.85537368808235,-1.29610375273925
"2005-04-04",-1.79946261763143,-1.2571878971181
"2005-04-05",-1.75058255971414,-1.22267774088316
"2005-04-06",-1.6883482985122,-1.17884675480704
"2005-04-07",-1.65108167874769,-1.1525672078463
"2005-04-08",-1.68427738576334,-1.17543630649563
"2005-04-11",-1.74449686026502,-1.21866916085753
"2005-04-12",-1.68157962419565,-1.17431402014495
"2005-04-13",-1.62863645723223,-1.13689378464006
"2005-04-14",-1.73730718617777,-1.21462840482588
"2005-04-15",-1.78907415312085,-1.25172625094303
"2005-04-18",-2.42104241426654,-1.69878773901189
"2005-04-19",-2.30776084335047,-1.61879946525037
"2005-04-20",-2.29546160358192,-1.60982005760259
"2005-04-21",-2.37067767886038,-1.66356746360632
"2005-04-22",-2.72495431650818,-1.91340942545361
"2005-04-25",-2.59041390380685,-1.8185649146274
"2005-04-26",-2.53042949165346,-1.77590111327902
"2005-04-27",-2.47603041477699,-1.73794349423377
"2005-04-28",-2.36488502627389,-1.65919505851782
"2005-04-29",-2.43880875887705,-1.71165784878171
"2005-05-02",-2.47892657584607,-1.73998402964904
"2005-05-03",-2.39085950587468,-1.67770391552846
"2005-05-04",-2.29028642418962,-1.60663162182255
"2005-05-05",-2.27267012909185,-1.59403646488329
"2005-05-06",-2.17795375045863,-1.52715477611518
"2005-05-09",-2.08122348735845,-1.45865129207764
"2005-05-10",-2.00749556690382,-1.4065058398523
"2005-05-11",-2.02080633221524,-1.41621832969327
"2005-05-12",-1.96616189487695,-1.37839091082929
"2005-05-13",-2.105632339041,-1.47739066035521
"2005-05-16",-2.09142856387278,-1.46773194676352
"2005-05-17",-2.04683637079049,-1.43590141794606
"2005-05-18",-2.0400617942077,-1.4305921956624
"2005-05-19",-2.07362470536063,-1.45375831963038
"2005-05-20",-1.99553891411891,-1.39832502151263
"2005-05-23",-1.92438008943558,-1.3477899923164
"2005-05-24",-1.88116028371302,-1.31711015024078
"2005-05-25",-1.8017360252501,-1.26066561564155
"2005-05-26",-1.73698896554339,-1.21491656266477
"2005-05-27",-1.7607591809807,-1.23153538239774
"2005-05-31",-1.69800715356502,-1.18722126077033
"2005-06-01",-1.73052451395638,-1.21064721788946
"2005-06-02",-1.81166001486752,-1.26731176224607
"2005-06-03",-1.73779531605836,-1.21490129234853
"2005-06-06",-1.76091370201151,-1.23129845904232
"2005-06-07",-1.68840436208489,-1.17981746638263
"2005-06-08",-1.62300945470078,-1.13367429143433
"2005-06-09",-1.58951245346634,-1.10999263529497
"2005-06-10",-1.56682133409874,-1.09347364560676
"2005-06-13",-1.52250120344481,-1.06201111009003
"2005-06-14",-1.46731765156938,-1.02299875501611
"2005-06-15",-1.4155816866336,-0.98620010306262
"2005-06-16",-1.41552442381558,-0.985843244595005
"2005-06-17",-1.37775340424069,-0.958778776540114
"2005-06-20",-1.48389511226124,-1.03310313636085
"2005-06-21",-1.43633954113417,-0.999324993753025
"2005-06-22",-1.45172705471523,-1.01045719135147
"2005-06-23",-1.4129646948493,-0.982991670183417
"2005-06-24",-1.89992606872973,-1.32836062719415
"2005-06-27",-2.12147094095164,-1.4851835731085
"2005-06-28",-2.02267391376135,-1.41550485977636
"2005-06-29",-2.09548475174144,-1.46659525168328
"2005-06-30",-2.06403768208214,-1.44442723740009
"2005-07-01",-2.01248486452458,-1.40782765129861
"2005-07-05",-1.94799949741066,-1.36216125142899
"2005-07-06",-1.93991568768158,-1.35602336675164
"2005-07-07",-2.06999625116169,-1.44831601543365
"2005-07-08",-1.99376694145192,-1.39482690302327
"2005-07-11",-2.13665894533797,-1.49555011694239
"2005-07-12",-2.05686203468442,-1.43892686808611
"2005-07-13",-1.96170412795672,-1.3719165106917
"2005-07-14",-1.90000613126168,-1.32802270714427
"2005-07-15",-1.82902322053544,-1.27776296082306
"2005-07-18",-1.76189600394902,-1.23035669744388
"2005-07-19",-1.70479515413879,-1.18979575410138
"2005-07-20",-1.87437455195454,-1.30873466434258
"2005-07-21",-1.81448939105092,-1.26656997037853
"2005-07-22",-1.81222694506836,-1.26533907462051
"2005-07-25",-1.74478812509158,-1.21757773805156
"2005-07-26",-1.71057538678659,-1.19354037488553
"2005-07-27",-1.64907761998349,-1.15025487180603
"2005-07-28",-1.65110736750392,-1.15135040713602
"2005-07-29",-1.64910564620032,-1.14969099290146
"2005-08-01",-1.74997889804745,-1.22156885431233
"2005-08-02",-1.69400378270478,-1.18192067298117
"2005-08-03",-1.67152752301493,-1.16595721964148
"2005-08-04",-1.61100218687588,-1.12290794640393
"2005-08-05",-1.67578924449949,-1.1692741789482
"2005-08-08",-1.62707220229698,-1.13509636694849
"2005-08-09",-1.57170833749297,-1.09602157647807
"2005-08-10",-1.59996127525176,-1.11571489724938
"2005-08-11",-1.54734959241676,-1.07857321376513
"2005-08-12",-1.63233106708578,-1.13827358681959
"2005-08-15",-1.64914774884898,-1.15039379459611
"2005-08-16",-1.5987718555413,-1.11474946878032
"2005-08-17",-1.82897890780685,-1.27819205410711
"2005-08-18",-1.7635488504127,-1.23202446710522
"2005-08-19",-1.70429795519931,-1.19028695178209
"2005-08-22",-1.65490033250568,-1.15526585814418
"2005-08-23",-1.60666884319121,-1.1211678355648
"2005-08-24",-1.58006220237084,-1.10258762793175
"2005-08-25",-1.6373626914211,-1.1436230160105
"2005-08-26",-1.58815166923776,-1.10899080705224
"2005-08-29",-1.5943300838002,-1.11359509950025
"2005-08-30",-1.62145136463086,-1.13228424732623
"2005-08-31",-1.58826139481946,-1.10883081461354
"2005-09-01",-1.67651100499405,-1.17097059873641
"2005-09-02",-1.6254247722257,-1.13553705864775
"2005-09-06",-1.58667947971647,-1.10802092518013
"2005-09-07",-1.61808906096199,-1.12882802790138
"2005-09-08",-1.57748730395539,-1.10001723691493
"2005-09-09",-1.56248689716667,-1.08969094876581
"2005-09-12",-1.62136498665093,-1.12955496140814
"2005-09-13",-1.58483008514645,-1.10368592073165
"2005-09-14",-1.60309494074822,-1.11746664044165
"2005-09-15",-1.60103488338343,-1.11641827860726
"2005-09-16",-1.56248790338669,-1.08884125755166
"2005-09-19",-1.55098232921132,-1.08077183026903
"2005-09-20",-1.53899465219901,-1.07271857960013
"2005-09-21",-1.53201421777624,-1.06800002289677
"2005-09-22",-1.54214541946579,-1.07583145157149
"2005-09-23",-1.51249080271604,-1.05507917280899
"2005-09-26",-1.47950722905587,-1.03167620487401
"2005-09-27",-1.45446237882036,-1.01394772951267
"2005-09-28",-1.44026889206106,-1.00366088121859
"2005-09-29",-1.41714096189614,-0.987085638234126
"2005-09-30",-1.39711733099597,-0.972946180499931
"2005-10-03",-1.36539386936779,-0.950573600351288
"2005-10-04",-1.35822366492958,-0.945645179113339
"2005-10-05",-1.52442636775334,-1.06388386397322
"2005-10-06",-1.67000909737206,-1.16732564899593
"2005-10-07",-1.6433603649019,-1.14845052508603
"2005-10-10",-1.60885326139813,-1.12378940896161
"2005-10-11",-1.57192972369098,-1.09796531702754
"2005-10-12",-1.54180857782882,-1.0768485502012
"2005-10-13",-1.5191201010074,-1.06091725112965
"2005-10-14",-1.51297863503534,-1.05682721125727
"2005-10-17",-1.54290724822208,-1.07784623196339
"2005-10-18",-1.50979595359455,-1.05483535344268
"2005-10-19",-1.66288833513158,-1.16282460318725
"2005-10-20",-1.78489143686678,-1.24816505114036
"2005-10-21",-1.93103565619461,-1.35182747546162
"2005-10-24",-2.11212618952231,-1.48051594679064
"2005-10-25",-2.27994545894607,-1.59863268905357
"2005-10-26",-2.20024343640534,-1.54248497648152
"2005-10-27",-2.19237434650605,-1.53747133335133
"2005-10-28",-2.19644513914011,-1.54045713086388
"2005-10-31",-2.29412402635373,-1.60918449544118
"2005-11-01",-2.22164126096249,-1.55790234405222
"2005-11-02",-2.15069820110297,-1.50763127460532
"2005-11-03",-2.09985106155665,-1.4719382002813
"2005-11-04",-2.14976930508703,-1.5068114796924
"2005-11-07",-2.10626965815518,-1.47603644391585
"2005-11-08",-2.04409288612989,-1.43216717606737
"2005-11-09",-1.98684746679164,-1.39175485523277
"2005-11-10",-1.93145709713163,-1.35260408758798
"2005-11-11",-1.91162846158292,-1.33829321724687
"2005-11-14",-1.86420479408873,-1.30488298925853
"2005-11-15",-1.81384470256889,-1.26924231724814
"2005-11-16",-1.7663316698127,-1.23540501763125
"2005-11-17",-1.75186192158914,-1.22447712276505
"2005-11-18",-1.71245811379358,-1.19683634172506
