"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.68744102622731,-1.09273728629867
"2004-12-29",-1.69407373529401,-1.09604099169745
"2004-12-30",-1.66333439530553,-1.07634934682937
"2004-12-31",-1.61609379384806,-1.04449569694664
"2005-01-03",-1.56821282958086,-1.0121848255668
"2005-01-04",-1.80354462119449,-1.16734311616409
"2005-01-05",-1.92474654269125,-1.24744939833629
"2005-01-06",-1.85891667163564,-1.20415835918546
"2005-01-07",-1.8493897564312,-1.19782925032155
"2005-01-10",-1.82574107510948,-1.18195938108112
"2005-01-11",-1.7785626756164,-1.15057675153948
"2005-01-12",-1.77161471491026,-1.14655398421571
"2005-01-13",-1.83818448662719,-1.19075940912278
"2005-01-14",-1.93703173599804,-1.256091668023
"2005-01-18",-1.90963419579798,-1.23764359487407
"2005-01-19",-1.94259579367912,-1.25960652463826
"2005-01-20",-1.96013987652953,-1.2726442840556
"2005-01-21",-1.9668131081492,-1.2774685600167
"2005-01-24",-1.99796076639244,-1.29825814085199
"2005-01-25",-1.9504503393196,-1.26623983564014
"2005-01-26",-2.08286006404609,-1.35311301137871
"2005-01-27",-2.02101150408706,-1.31232362223455
"2005-01-28",-1.93888043239463,-1.25847752873754
"2005-01-31",-2.15217376573443,-1.39915420459636
"2005-02-01",-2.09577424501315,-1.36134100913017
"2005-02-02",-2.04729399323326,-1.32938692405249
"2005-02-03",-2.07889075246473,-1.35066178813795
"2005-02-04",-2.00216285695178,-1.30018091888311
"2005-02-07",-1.98268049061164,-1.28705549196374
"2005-02-08",-1.93310407438739,-1.25454704422653
"2005-02-09",-1.90352952277913,-1.2349008330257
"2005-02-10",-1.8720748017846,-1.21456819670219
"2005-02-11",-1.85886705475646,-1.20622533398661
"2005-02-14",-1.82940123815934,-1.18680454285657
"2005-02-15",-1.78670844934552,-1.1584680018832
"2005-02-16",-1.74972198760302,-1.13261873616366
"2005-02-17",-1.73213053380001,-1.12084166226673
"2005-02-18",-1.76141681339831,-1.13993453993817
"2005-02-22",-1.8794864280055,-1.21792562647204
"2005-02-23",-2.17696800136319,-1.41426579104937
"2005-02-24",-2.19511156656237,-1.42528372423488
"2005-02-25",-2.29094051944935,-1.48980425431479
"2005-02-28",-2.31406012892342,-1.50632407820378
"2005-03-01",-2.25745914036,-1.46985092120497
"2005-03-02",-2.18493665810222,-1.42229184108077
"2005-03-03",-2.12080155194522,-1.37995636858452
"2005-03-04",-2.06726972792428,-1.34450192248763
"2005-03-07",-2.09053396985967,-1.35910834730175
"2005-03-08",-2.03523092724485,-1.32500076113477
"2005-03-09",-1.97641326182883,-1.2867415546266
"2005-03-10",-2.09251646339492,-1.36405826200844
"2005-03-11",-2.03655863532033,-1.32701234023269
"2005-03-14",-1.99105406595473,-1.29630115228319
"2005-03-15",-1.94823168139184,-1.26717775731695
"2005-03-16",-1.9205185386983,-1.24824375816042
"2005-03-17",-1.92149849731697,-1.24887997738891
