"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.6604184047695,-1.09279865341883
"2004-12-29",-1.63686300260639,-1.07627834082567
"2004-12-30",-1.62944212281249,-1.07197077806798
"2004-12-31",-1.60351929559738,-1.05405969542262
"2005-01-03",-1.57520795820961,-1.03454110705469
"2005-01-04",-1.93728946101196,-1.27487787061198
"2005-01-05",-2.12196856384578,-1.39772370462923
"2005-01-06",-2.06030918240091,-1.35691857659413
"2005-01-07",-2.01088682054983,-1.3242495525353
"2005-01-10",-2.00167921277126,-1.31773315784269
"2005-01-11",-1.95082869049444,-1.28353849587213
"2005-01-12",-1.95814503120961,-1.288866572234
"2005-01-13",-1.92377293122506,-1.2668974099854
"2005-01-14",-2.08595693932919,-1.37468883738648
"2005-01-18",-2.03597683431106,-1.34119076571331
"2005-01-19",-1.99497768748181,-1.31433257919326
"2005-01-20",-2.05526499783085,-1.35577109186159
"2005-01-21",-2.08158448323593,-1.37285002863235
"2005-01-24",-2.14953425471751,-1.41815404262866
"2005-01-25",-2.11326508908847,-1.39328361417518
"2005-01-26",-2.07965803631149,-1.37028120467837
"2005-01-27",-2.02508948105596,-1.33408481783607
"2005-01-28",-1.97120810760007,-1.29872000288368
"2005-01-31",-2.30271232563694,-1.51863402379726
"2005-02-01",-2.23711439936767,-1.47434721583881
"2005-02-02",-2.17712290546621,-1.43468687101986
"2005-02-03",-2.12980685069581,-1.40407744052254
"2005-02-04",-2.07297432805829,-1.36656982585779
"2005-02-07",-2.02697356722645,-1.3358662342939
"2005-02-08",-1.99058662334484,-1.31190693343106
"2005-02-09",-1.94701730915207,-1.28290433710869
"2005-02-10",-1.93780797058815,-1.2771652886678
"2005-02-11",-1.89708354555707,-1.25061440422352
"2005-02-14",-1.85712762903433,-1.22413685424695
"2005-02-15",-1.81684753655096,-1.19723265523329
"2005-02-16",-1.78076609700879,-1.17157233350741
"2005-02-17",-1.74700086977732,-1.14901517706656
"2005-02-18",-1.82093500695851,-1.19734026634084
"2005-02-22",-1.80514646883534,-1.18766289615487
"2005-02-23",-2.27620993289149,-1.4998228914173
"2005-02-24",-2.23026257043817,-1.46811099183769
"2005-02-25",-2.19880725169203,-1.44893624880361
"2005-02-28",-2.1593909528691,-1.42418854596373
"2005-03-01",-2.14539239626995,-1.4158825757132
"2005-03-02",-2.08870819711142,-1.37842658646212
"2005-03-03",-2.03450531423565,-1.34244025341568
"2005-03-04",-1.98509852077704,-1.30946930141478
"2005-03-07",-1.95414790188612,-1.28718870405452
"2005-03-08",-1.91179897300231,-1.26358249449285
"2005-03-09",-1.86381304597276,-1.23220344976413
"2005-03-10",-2.10564609213836,-1.39424186702573
"2005-03-11",-2.05104318444411,-1.35771562808566
"2005-03-14",-2.01876412007755,-1.33551694258985
"2005-03-15",-1.97272497688531,-1.30397518746971
"2005-03-16",-1.9654393264879,-1.29792025958946
"2005-03-17",-1.99738115991417,-1.3182050261594
"2005-03-18",-1.94646989176215,-1.28186329551469
"2005-03-21",-1.90844892591685,-1.25743728238052
"2005-03-22",-1.88728370132578,-1.24299684976571
"2005-03-23",-1.97029181388232,-1.29923841333782
"2005-03-24",-1.93842859151792,-1.27747588932961
"2005-03-28",-1.90317537946151,-1.25444985656854
"2005-03-29",-1.8617644791536,-1.22687701320761
"2005-03-30",-1.99083855659556,-1.31340543166711
"2005-03-31",-1.96823570373561,-1.29680159738655
"2005-04-01",-1.92983158714493,-1.27186156620995
"2005-04-04",-1.90358073117662,-1.25625642692237
"2005-04-05",-1.8792175080374,-1.24002474287025
"2005-04-06",-1.83727586047314,-1.21270805898547
"2005-04-07",-1.80407027133438,-1.18995666364325
"2005-04-08",-1.78126007447464,-1.17366769904409
"2005-04-11",-1.87701075529175,-1.23790666341912
"2005-04-12",-1.83515415301933,-1.21055812379222
"2005-04-13",-1.79630148776406,-1.18496910202286
"2005-04-14",-1.9406902302451,-1.28110726688257
"2005-04-15",-2.01825196893977,-1.33432365680258
"2005-04-18",-2.76141206140557,-1.82330924112463
"2005-04-19",-2.67679919434307,-1.76706461333822
"2005-04-20",-2.61664018537369,-1.72681376646215
"2005-04-21",-2.74207687400648,-1.81027905648723
"2005-04-22",-2.7355624586424,-1.80861483872523
"2005-04-25",-2.65418570790311,-1.75409357031656
"2005-04-26",-2.58723582918247,-1.70900752859251
"2005-04-27",-2.59272654359716,-1.71218592429614
"2005-04-28",-2.52124311553983,-1.66326134213344
"2005-04-29",-2.66501025187147,-1.75993416658541
"2005-05-02",-2.60848820167173,-1.72278016262017
"2005-05-03",-2.53521090632127,-1.67460460927364
"2005-05-04",-2.46998971138366,-1.63183081089013
"2005-05-05",-2.40999439946422,-1.59290517637559
