"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.57804082764702,-1.04907847391172
"2004-12-29",-1.55288255796215,-1.03138337231763
"2004-12-30",-1.54885837667393,-1.02911340465936
"2004-12-31",-1.52562884314452,-1.01268059709106
"2005-01-03",-1.49842860170436,-0.993721694924482
"2005-01-04",-1.8514485044489,-1.23169643968845
"2005-01-05",-2.03461489777062,-1.3555349121097
"2005-01-06",-1.97530654203737,-1.31569789543521
"2005-01-07",-1.92517168443681,-1.28227106783003
"2005-01-10",-1.91857097869255,-1.27735352719307
"2005-01-11",-1.86923852871446,-1.24367954740235
"2005-01-12",-1.87815163250857,-1.25021789658022
"2005-01-13",-1.8428320917732,-1.2270632961668
"2005-01-14",-2.00227248640883,-1.33475666750427
"2005-01-18",-1.95028426024146,-1.29990843071974
"2005-01-19",-1.9088937503914,-1.27223693851088
"2005-01-20",-1.97039518279541,-1.31496843891292
"2005-01-21",-1.99930881637019,-1.33407386966738
"2005-01-24",-2.06660613746564,-1.37947200873405
"2005-01-25",-2.03270702940788,-1.35580218897402
"2005-01-26",-1.99510304419191,-1.33000917020056
"2005-01-27",-1.94219760181847,-1.2943893835511
"2005-01-28",-1.89087504404087,-1.26011937901469
"2005-01-31",-2.18935306334757,-1.46173096213056
"2005-02-01",-2.12725152992164,-1.41924421349804
"2005-02-02",-2.06872052246397,-1.38028607432836
"2005-02-03",-2.02112757666978,-1.34911402513492
"2005-02-04",-1.96746708168507,-1.31319475639033
"2005-02-07",-1.92038264551455,-1.28178175862261
"2005-02-08",-1.89006628845004,-1.26109285543633
"2005-02-09",-1.84593573891101,-1.23168303567996
"2005-02-10",-1.839351549525,-1.2276013468489
"2005-02-11",-1.79954381645908,-1.20126081280428
"2005-02-14",-1.75922924438288,-1.17442293249591
"2005-02-15",-1.71882218995479,-1.14732606004181
"2005-02-16",-1.68167849436824,-1.12089496247821
"2005-02-17",-1.64645752595164,-1.09739245492629
"2005-02-18",-1.72190787545919,-1.14743879687514
"2005-02-22",-1.70829811893269,-1.13851735947998
"2005-02-23",-2.16368936791227,-1.44583123348352
"2005-02-24",-2.11537897079034,-1.41231983439932
"2005-02-25",-2.08260185929339,-1.39185804931112
"2005-02-28",-2.04319143130617,-1.36666153567434
"2005-03-01",-2.0351181980365,-1.36174657699463
"2005-03-02",-1.98038393693995,-1.3252017388157
"2005-03-03",-1.92951288267173,-1.29075172215672
"2005-03-04",-1.88246666160069,-1.25887050793338
"2005-03-07",-1.84851468390739,-1.23440817909555
"2005-03-08",-1.81406719040289,-1.21527697481009
"2005-03-09",-1.77088084903799,-1.18620598513026
"2005-03-10",-2.00662285602613,-1.34659721251458
"2005-03-11",-1.9537776067274,-1.31092847916319
"2005-03-14",-1.92873011863104,-1.29254865929908
"2005-03-15",-1.8837545726716,-1.26145925424823
"2005-03-16",-1.8804872339256,-1.25768009024185
"2005-03-17",-1.92146996661227,-1.28317308723919
"2005-03-18",-1.87227279761771,-1.24756193116243
"2005-03-21",-1.8338577371602,-1.22261195076373
"2005-03-22",-1.81370337993089,-1.20879674612338
"2005-03-23",-1.8893998834632,-1.2617578228278
"2005-03-24",-1.85975746195082,-1.24115026431504
"2005-03-28",-1.8265647079582,-1.2191820700559
"2005-03-29",-1.78664396455361,-1.19222371829536
"2005-03-30",-1.90893984786165,-1.27573204700647
"2005-03-31",-1.89552589834229,-1.26290856983268
"2005-04-01",-1.86083186867506,-1.23983112201856
"2005-04-04",-1.82929339598554,-1.22132936268462
"2005-04-05",-1.80545829880205,-1.20527469077794
"2005-04-06",-1.76617180574072,-1.17914323888383
"2005-04-07",-1.73245867365924,-1.15595148153657
"2005-04-08",-1.70749624713207,-1.13809296817314
"2005-04-11",-1.80263146060964,-1.2029017645571
"2005-04-12",-1.76314289284424,-1.17654440303659
"2005-04-13",-1.72500682315599,-1.15116531376771
"2005-04-14",-1.86054166091714,-1.24337543315684
"2005-04-15",-1.9387655235323,-1.29742867235023
"2005-04-18",-2.63427379802034,-1.76327631671665
"2005-04-19",-2.55385904402495,-1.70914941455329
"2005-04-20",-2.49155182898603,-1.66754466283
"2005-04-21",-2.61093761572352,-1.74832162180479
"2005-04-22",-2.59877784593008,-1.74190094230999
"2005-04-25",-2.52620693684452,-1.69199261420205
"2005-04-26",-2.4587401722429,-1.64651172050643
"2005-04-27",-2.46841858559038,-1.6524277995658
"2005-04-28",-2.40148737111124,-1.60588973853445
"2005-04-29",-2.54026337598628,-1.70096895163975
"2005-05-02",-2.48500303437658,-1.66394091574277
"2005-05-03",-2.41573828032553,-1.61764637407343
"2005-05-04",-2.35575778042376,-1.57754018601746
"2005-05-05",-2.29790734850143,-1.53930392617998
"2005-05-06",-2.2436146323203,-1.50312275767628
"2005-05-09",-2.18498925902919,-1.46291135880109
"2005-05-10",-2.12806664879993,-1.42454545518425
"2005-05-11",-2.17837095441977,-1.45984631206532
"2005-05-12",-2.11932351928628,-1.42011308439373
"2005-05-13",-2.29316808794408,-1.53878536881559
"2005-05-16",-2.30925605957701,-1.54986248202927
"2005-05-17",-2.24750093760768,-1.50802064097917
"2005-05-18",-2.1954347682968,-1.47241544604626
"2005-05-19",-2.14948218614275,-1.44107826395052
"2005-05-20",-2.09158535561806,-1.40177202723448
"2005-05-23",-2.05349520473687,-1.37543524124198
"2005-05-24",-2.00295699645539,-1.34120195740497
"2005-05-25",-1.95243563346347,-1.30632755518641
"2005-05-26",-1.91000626922502,-1.27781665897481
"2005-05-27",-1.8723114046015,-1.25236329153833
"2005-05-31",-1.82594435891451,-1.22046066965317
"2005-06-01",-1.88040245489807,-1.25782777267442
"2005-06-02",-1.85214148757511,-1.23843243657509
"2005-06-03",-1.80574396090662,-1.20692187610859
"2005-06-06",-1.85995457055661,-1.24383298453372
"2005-06-07",-1.81293496914087,-1.21163040958432
"2005-06-08",-1.76843109599416,-1.18120315715236
"2005-06-09",-1.7513583523924,-1.16985260257293
"2005-06-10",-1.71320434916085,-1.14351972748906
"2005-06-13",-1.68446078739329,-1.12382213469022
"2005-06-14",-1.64314321843918,-1.0959213700072
