"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-2.00831209902525,-1.31642027476775
"2004-12-29",-2.02026293153287,-1.30994218816729
"2004-12-30",-1.94748005052093,-1.28780710679022
"2004-12-31",-1.92771830595723,-1.26717237551511
"2005-01-03",-1.86350750909691,-1.23019041959926
"2005-01-04",-1.95712959706707,-1.29264199132189
"2005-01-05",-2.12927772475331,-1.41775709441562
"2005-01-06",-2.11988333925652,-1.41399424294565
"2005-01-07",-2.07141323877341,-1.37702675048432
"2005-01-10",-2.043155341978,-1.36134579346997
"2005-01-11",-2.02323356337488,-1.33929193030542
"2005-01-12",-2.03685022997836,-1.35200126346266
"2005-01-13",-1.99774622925638,-1.32714808481214
"2005-01-14",-2.01772124911787,-1.34327728077489
"2005-01-18",-2.01729689472938,-1.34145045641677
"2005-01-19",-2.04182489902703,-1.36781915481323
"2005-01-20",-2.10721745698963,-1.40712678527542
"2005-01-21",-2.09705587733837,-1.40319625602172
"2005-01-24",-2.08002180672796,-1.38072095865596
"2005-01-25",-2.03745280241562,-1.3639151964425
"2005-01-26",-2.02036218641045,-1.35734265507952
"2005-01-27",-2.04123902743824,-1.34919041684145
"2005-01-28",-1.98946929549562,-1.32704658398468
"2005-01-31",-1.98832339336008,-1.32673794356731
"2005-02-01",-2.02778635682738,-1.35263135988551
"2005-02-02",-1.9979931616029,-1.32960411452104
"2005-02-03",-1.97269970699178,-1.31887138659042
"2005-02-04",-1.96126043360411,-1.30205472616251
"2005-02-07",-2.02195413942958,-1.3391666594807
"2005-02-08",-1.99648495699483,-1.32641957166993
"2005-02-09",-1.97438607096298,-1.31357373890331
"2005-02-10",-2.07139603928206,-1.38922684815719
"2005-02-11",-2.0139947115655,-1.3525775725766
"2005-02-14",-2.03768512741622,-1.36401034807149
"2005-02-15",-2.01967992299181,-1.3460430903081
"2005-02-16",-1.9806183424762,-1.32197011993854
"2005-02-17",-1.95875940754077,-1.3015242569223
"2005-02-18",-1.98026966663224,-1.31909973336858
"2005-02-22",-1.94970935713565,-1.29762298889906
"2005-02-23",-2.11979564559416,-1.42055193596827
"2005-02-24",-2.09421285003689,-1.39674120068506
"2005-02-25",-2.11192729646159,-1.40376906636728
"2005-02-28",-2.11835018542264,-1.41431068866555
"2005-03-01",-2.08907279026978,-1.39968724884385
"2005-03-02",-2.04568034939393,-1.36762703642634
"2005-03-03",-2.03168487728692,-1.3513152988688
"2005-03-04",-1.99526127450475,-1.33793032382841
"2005-03-07",-2.0252610540362,-1.34400706963631
"2005-03-08",-1.98335194731444,-1.31908718105287
"2005-03-09",-1.98484820210765,-1.31332499826823
"2005-03-10",-2.02019468885299,-1.34409378313288
"2005-03-11",-1.98077196111588,-1.32320566704338
"2005-03-14",-1.96040684853584,-1.30293391713828
"2005-03-15",-1.91535549352641,-1.27946941440332
"2005-03-16",-1.93570361320649,-1.28232702616074
"2005-03-17",-1.95479624871629,-1.29276052266252
"2005-03-18",-1.93741178751764,-1.27999901815233
"2005-03-21",-1.9016793310223,-1.26433215191252
"2005-03-22",-1.89746958375799,-1.25255895238848
"2005-03-23",-1.95011532022782,-1.2903812357548
"2005-03-24",-1.91462913324628,-1.27545649038748
"2005-03-28",-1.8996192316857,-1.26759161924637
"2005-03-29",-1.87907218151584,-1.25767933376787
"2005-03-30",-1.89775174621937,-1.25920425505746
"2005-03-31",-1.97958519300935,-1.31927414312404
"2005-04-01",-1.95226045503557,-1.29980988502794
"2005-04-04",-1.96718423239155,-1.29292250005876
"2005-04-05",-1.94695651795867,-1.28235825105471
"2005-04-06",-1.93088573325988,-1.27595194912896
"2005-04-07",-1.89802357781098,-1.24889841960984
"2005-04-08",-1.90826823682676,-1.25204858858916
"2005-04-11",-1.89627497589633,-1.25802552837343
"2005-04-12",-1.90715520777477,-1.25416806099145
"2005-04-13",-1.87729954199331,-1.24662849715486
"2005-04-14",-1.94860796060456,-1.2896382416815
"2005-04-15",-2.01871857627518,-1.3345668287636
"2005-04-18",-2.17885070458854,-1.46381220104033
"2005-04-19",-2.15577266349446,-1.44984102724407
"2005-04-20",-2.15979181174549,-1.44926381104654
"2005-04-21",-2.24407886674387,-1.51631738059111
"2005-04-22",-2.43772247888259,-1.65668365207868
"2005-04-25",-2.40771771161748,-1.63456925758908
"2005-04-26",-2.39739063845486,-1.63028996790282
"2005-04-27",-2.39324903059405,-1.62396438014458
"2005-04-28",-2.33821764966832,-1.58006367805084
"2005-04-29",-2.43053105568301,-1.6375042709665
"2005-05-02",-2.37925229779594,-1.61802158007201
"2005-05-03",-2.36918559321168,-1.59831399090221
"2005-05-04",-2.30849530454081,-1.56570387893626
"2005-05-05",-2.3204641493879,-1.57730364499559
"2005-05-06",-2.30637522651012,-1.55119950727974
