"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-3.1046040598699,-1.88378591645774
"2004-12-29",-3.07619952124491,-1.86594672723819
"2004-12-30",-3.06343798886059,-1.85929236751703
"2004-12-31",-3.06056743896354,-1.85703119538256
"2005-01-03",-3.05212799144591,-1.85074740798917
"2005-01-04",-3.20794653752556,-1.94557698047412
"2005-01-05",-3.20479274498057,-1.94473871220791
"2005-01-06",-3.17032845987934,-1.92387862496272
"2005-01-07",-3.13308317085769,-1.90066195798711
"2005-01-10",-3.13772808668006,-1.90351104589267
"2005-01-11",-3.10943395394093,-1.885812050589
"2005-01-12",-3.09805370971462,-1.8791371144115
"2005-01-13",-3.06967803369027,-1.86264314078003
"2005-01-14",-3.11925203433504,-1.89321204157138
"2005-01-18",-3.08550715738325,-1.87138748794407
"2005-01-19",-3.06982521365409,-1.86150360639994
"2005-01-20",-3.08583721768189,-1.87269201455999
"2005-01-21",-3.09957570266982,-1.88174116326647
"2005-01-24",-3.11812132922439,-1.89322729286427
"2005-01-25",-3.1247168437398,-1.89651567104222
"2005-01-26",-3.11867909377853,-1.89132089621388
"2005-01-27",-3.0890633672393,-1.87277787126747
"2005-01-28",-3.11006092473109,-1.88557628756055
"2005-01-31",-3.49185174912145,-2.10710608212975
"2005-02-01",-3.35146733994487,-2.02148247725632
"2005-02-02",-3.24661378592701,-1.95787835658146
"2005-02-03",-3.20468740476028,-1.93161569473811
"2005-02-04",-3.13845583318416,-1.89111113194389
"2005-02-07",-3.09496069334176,-1.86435528035489
"2005-02-08",-3.06916659650012,-1.84902399213281
"2005-02-09",-3.05660465654236,-1.84057319635153
"2005-02-10",-3.04583442921234,-1.8341833838746
"2005-02-11",-3.0294675086574,-1.82411171282203
"2005-02-14",-3.030738236646,-1.82406303447824
"2005-02-15",-2.9660296610475,-1.78389165107197
"2005-02-16",-2.94457477903203,-1.7704984800787
"2005-02-17",-2.94584573700514,-1.77101729483279
"2005-02-18",-3.0046858337958,-1.8068827678236
"2005-02-22",-3.15794063254374,-1.88635996958298
"2005-02-23",-3.56218196986676,-2.1306795277744
"2005-02-24",-3.42616897139001,-2.04737464118002
"2005-02-25",-3.29836844049574,-1.97060487777077
"2005-02-28",-3.29686993404078,-1.96995835485045
"2005-03-01",-3.19856084707617,-1.91166156854495
"2005-03-02",-3.18252294678751,-1.90225125716435
"2005-03-03",-3.14035110473698,-1.87657085621363
"2005-03-04",-3.13201052476098,-1.87170705411291
"2005-03-07",-3.135895371022,-1.87349558596104
"2005-03-08",-3.10913883530996,-1.85643807684381
"2005-03-09",-3.0809779753783,-1.83939830761155
"2005-03-10",-3.19730718852864,-1.90937286000399
"2005-03-11",-3.18728071141892,-1.90370597187248
"2005-03-14",-3.12308724671613,-1.86506293971065
"2005-03-15",-3.1396868809081,-1.87579788518452
"2005-03-16",-3.09663153793937,-1.84983564026643
"2005-03-17",-3.09826686479321,-1.8506184893154
"2005-03-18",-3.11386693693475,-1.859491701699
"2005-03-21",-3.06258739996017,-1.82899723474509
"2005-03-22",-3.04199416185591,-1.8169010589689
"2005-03-23",-3.07286079264933,-1.83585388503162
"2005-03-24",-3.06652619159704,-1.83235336330601
"2005-03-28",-3.05471123229268,-1.82542891588779
"2005-03-29",-3.0422019103124,-1.81806745929932
"2005-03-30",-3.11893133601963,-1.86483914239603
"2005-03-31",-3.11745251808142,-1.8625899113805
"2005-04-01",-3.08343523386824,-1.84234905043043
"2005-04-04",-3.07809339628298,-1.8386647576592
"2005-04-05",-3.13682633116813,-1.87388831107566
"2005-04-06",-3.1113404176345,-1.85812008602635
"2005-04-07",-3.12464201947813,-1.86639738643773
"2005-04-08",-3.06753074862951,-1.83065925247282
"2005-04-11",-3.0856891398969,-1.84250796580477
"2005-04-12",-3.0963237808744,-1.84931475274707
"2005-04-13",-3.07471065149272,-1.83641652154235
"2005-04-14",-3.1365761245471,-1.87423442185804
"2005-04-15",-3.10436843640111,-1.85713340135721
"2005-04-18",-3.37156733407229,-2.01821138138176
"2005-04-19",-3.31937181177284,-1.98641169636119
"2005-04-20",-3.30097978339713,-1.97525202481096
"2005-04-21",-3.37959451710679,-2.02253400513252
"2005-04-22",-3.42088734137559,-2.04935624807172
"2005-04-25",-3.35304705336726,-2.00732990653384
"2005-04-26",-3.31659394516262,-1.98477900366958
"2005-04-27",-3.3057980707087,-1.98012177364672
"2005-04-28",-3.32441814879714,-1.9910943268326
"2005-04-29",-3.39198913395224,-2.03242439138234
"2005-05-02",-3.3557747049396,-2.01013924346732
"2005-05-03",-3.30786798557719,-1.9813735920748
"2005-05-04",-3.30062336408067,-1.97700345155649
"2005-05-05",-3.27270523657561,-1.95907035547729
"2005-05-06",-3.23897245391292,-1.93894602320768
"2005-05-09",-3.23541330793105,-1.93615849462707
"2005-05-10",-3.18974566421622,-1.9088334617976
"2005-05-11",-3.18711302963945,-1.90875331802904
"2005-05-12",-3.16386213796595,-1.89422379069042
"2005-05-13",-3.28903439721816,-1.97047958452086
"2005-05-16",-3.3033612936406,-1.97994886064334
"2005-05-17",-3.27539736906689,-1.96337529296102
"2005-05-18",-3.25349018798788,-1.94961101494635
