"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-3.01223101187956,-1.82415179649241
"2004-12-29",-2.98942055126041,-1.80940584522296
"2004-12-30",-2.98052783625282,-1.80440804728501
"2004-12-31",-2.96317172521745,-1.79338190133588
"2005-01-03",-2.94672263370767,-1.78249734712198
"2005-01-04",-3.00401841151248,-1.81738552886219
"2005-01-05",-3.0157249662362,-1.82596991712366
"2005-01-06",-3.0021046595317,-1.81790422254718
"2005-01-07",-2.99388878427761,-1.81246278957159
"2005-01-10",-2.9834211165181,-1.80592757639796
"2005-01-11",-2.96810557963702,-1.79609040428227
"2005-01-12",-2.955045343666,-1.78845491875871
"2005-01-13",-2.9618078185878,-1.79335053768629
"2005-01-14",-2.97143374423338,-1.79943778164253
"2005-01-18",-2.95468841294676,-1.78761528395669
"2005-01-19",-2.95928907615015,-1.7900294426682
"2005-01-20",-2.96117637013461,-1.79234276359372
"2005-01-21",-2.95933194084801,-1.79183777829962
"2005-01-24",-2.9546361551939,-1.78907879049087
"2005-01-25",-2.95260682382864,-1.78711170056747
"2005-01-26",-2.96183570830192,-1.79057663140699
"2005-01-27",-2.95099987350547,-1.78340453204142
"2005-01-28",-2.96353031603379,-1.79120838042111
"2005-01-31",-3.09895741043283,-1.86475173945519
"2005-02-01",-3.08844187498567,-1.85849559263869
"2005-02-02",-3.10038218339765,-1.86574262137769
"2005-02-03",-3.10072104968772,-1.86511716765145
"2005-02-04",-3.08381773226429,-1.85472572249203
"2005-02-07",-3.07621628322452,-1.84969359746506
"2005-02-08",-3.0594321411131,-1.83965611811533
"2005-02-09",-3.05309930661034,-1.83502908661379
"2005-02-10",-3.04255248597933,-1.82883138085195
"2005-02-11",-3.05091763723781,-1.83380378534145
"2005-02-14",-3.04139323250468,-1.82743865536642
"2005-02-15",-3.02283278856898,-1.81541629120531
"2005-02-16",-2.96609972592489,-1.78079893104636
"2005-02-17",-2.98521538620316,-1.79218587196547
"2005-02-18",-2.97700352299707,-1.78738065433827
"2005-02-22",-3.14750591439193,-1.87980930894681
"2005-02-23",-3.24088190612701,-1.93553982738705
"2005-02-24",-3.19174064776878,-1.90484965554249
"2005-02-25",-3.24830904371439,-1.93923052998043
"2005-02-28",-3.26186952339369,-1.94755720240354
"2005-03-01",-3.22925400800019,-1.92845034460881
"2005-03-02",-3.22493361583248,-1.92592994219426
"2005-03-03",-3.20140727503028,-1.9116776091848
"2005-03-04",-3.19794369598727,-1.90982331887828
"2005-03-07",-3.18034038664364,-1.8986987003069
"2005-03-08",-3.14775348656766,-1.87807317796284
"2005-03-09",-3.11909265038883,-1.86068167961713
"2005-03-10",-3.16884018643723,-1.89025180264141
"2005-03-11",-3.15994019160351,-1.88503041012659
"2005-03-14",-3.12919245688897,-1.8665471727067
"2005-03-15",-3.11279972878929,-1.85716532996358
"2005-03-16",-3.10150407023097,-1.85001935063259
"2005-03-17",-3.08650933292539,-1.84072540143515
"2005-03-18",-3.07456663896852,-1.8328549261518
"2005-03-21",-3.07083508302039,-1.83069235064293
"2005-03-22",-3.05104183900379,-1.8190371264025
"2005-03-23",-3.06166474497772,-1.82581785414871
"2005-03-24",-3.04680740210693,-1.81719248394138
"2005-03-28",-3.03939186840375,-1.81271858778389
"2005-03-29",-3.01511040195109,-1.79806185691907
"2005-03-30",-3.01136167936628,-1.79630816946702
"2005-03-31",-3.02573087745634,-1.80344775481101
"2005-04-01",-3.00624728605544,-1.79218263449514
"2005-04-04",-3.01474846761296,-1.79693810012526
"2005-04-05",-3.0484910554518,-1.81705744434789
