"Date","alpha_0.01","alpha_0.05"
"2004-12-28",-2.04676043821661,-1.32381411717833
"2004-12-29",-2.04156089108947,-1.32046241966134
"2004-12-30",-1.98823248612986,-1.29727637938685
"2004-12-31",-1.95652750233631,-1.2762249601075
"2005-01-03",-1.89160790116229,-1.24319510466094
"2005-01-04",-1.98111903948657,-1.30300788718057
"2005-01-05",-2.18272636152283,-1.43170916837021
"2005-01-06",-2.16027643020103,-1.42385131213832
"2005-01-07",-2.10753334956132,-1.39029909664643
"2005-01-10",-2.07567385095984,-1.37309675071459
"2005-01-11",-2.05321250800639,-1.35041446155821
"2005-01-12",-2.08035269306626,-1.36412421216253
"2005-01-13",-2.0312049623296,-1.34221949391321
"2005-01-14",-2.05973804521612,-1.35289264225062
"2005-01-18",-2.06197317070321,-1.35190872579547
"2005-01-19",-2.07407836815473,-1.37936596933113
"2005-01-20",-2.13910018542068,-1.41519522837116
"2005-01-21",-2.13843195431358,-1.41596920536724
"2005-01-24",-2.10665406405799,-1.39049684340172
"2005-01-25",-2.07576994142601,-1.37714505427817
"2005-01-26",-2.04946155145387,-1.3664344953676
"2005-01-27",-2.07752030141609,-1.35792993000322
"2005-01-28",-2.03450417298169,-1.33925964303809
"2005-01-31",-2.03359579478407,-1.33169636684959
"2005-02-01",-2.07583885932939,-1.35814000467749
"2005-02-02",-2.04299861580841,-1.33892284801209
"2005-02-03",-2.01218688435522,-1.32908087020834
"2005-02-04",-1.99976450671094,-1.3133784176631
"2005-02-07",-2.05113885680887,-1.34994615199473
"2005-02-08",-2.04191796866312,-1.33523252989543
"2005-02-09",-2.00790065531164,-1.32518122439329
"2005-02-10",-2.12155634296406,-1.40074151453401
"2005-02-11",-2.05472414329439,-1.36649787052992
"2005-02-14",-2.09991149540441,-1.37127986600829
"2005-02-15",-2.06820387845962,-1.36028267916447
"2005-02-16",-2.02008072205541,-1.33497772946429
"2005-02-17",-2.00930802341808,-1.31427905864035
"2005-02-18",-2.0165155521643,-1.32876610571135
"2005-02-22",-1.98117575785057,-1.30434560693501
"2005-02-23",-2.16209978935827,-1.43046118936536
"2005-02-24",-2.12928835345674,-1.40645689293327
