"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.66828466938407,-1.16157480961711
"2004-12-29",-1.63460770617163,-1.1374937868698
"2004-12-30",-1.72104333044803,-1.19798272802346
"2004-12-31",-1.77296395974162,-1.26870024315706
"2005-01-03",-1.53684132760132,-1.06832408219644
"2005-01-04",-1.81928679330223,-1.29972561555957
"2005-01-05",-1.70625425320901,-1.18874293923182
"2005-01-06",-1.92466007603703,-1.37556195323562
"2005-01-07",-1.67434379793613,-1.1659441924748
"2005-01-10",-1.66053523537347,-1.15637216524155
"2005-01-11",-1.64610127177882,-1.14871211168778
"2005-01-12",-1.68468937880743,-1.17308983601279
"2005-01-13",-1.63209965161911,-1.13609343873882
"2005-01-14",-1.79129206428629,-1.24827411685522
"2005-01-18",-1.64574340638084,-1.14577314697344
"2005-01-19",-1.65217534141885,-1.15067573405502
"2005-01-20",-1.79953410133904,-1.28941257333141
"2005-01-21",-1.71495732006899,-1.19489169545285
"2005-01-24",-1.66335270327512,-1.15958956171582
"2005-01-25",-1.70986034765901,-1.19512888867911
"2005-01-26",-1.65853821515344,-1.15561540526831
"2005-01-27",-1.63054437157998,-1.13598710877377
"2005-01-28",-1.77344055172335,-1.239719919057
"2005-01-31",-1.92298405915861,-1.34334174667526
"2005-02-01",-1.96456478972402,-1.37499285029806
"2005-02-02",-2.13437571829209,-1.49619143458454
"2005-02-03",-1.89977122679651,-1.32661981959144
"2005-02-04",-1.97531788484793,-1.38505770963163
"2005-02-07",-1.79939237505893,-1.25518994679739
"2005-02-08",-1.80945767770803,-1.26295782059912
"2005-02-09",-1.77122445182412,-1.23429099750755
"2005-02-10",-1.7703026239153,-1.23540187684801
"2005-02-11",-1.77126992192527,-1.23542844884918
"2005-02-14",-1.72996199088779,-1.20600237171894
"2005-02-15",-1.68699215484299,-1.17756848180183
"2005-02-16",-1.70948854955766,-1.19019318030262
"2005-02-17",-1.74078140510796,-1.21217502939706
"2005-02-18",-1.70299822505629,-1.18924212323334
"2005-02-22",-1.8154172840919,-1.26490918630882
"2005-02-23",-1.92132260577516,-1.34148577132394
"2005-02-24",-2.01660180252202,-1.41032696957286
"2005-02-25",-2.05168223441569,-1.43303061635671
"2005-02-28",-2.0004705894423,-1.39594819720388
"2005-03-01",-1.94930362672375,-1.36031101991314
"2005-03-02",-2.02344916104162,-1.41307891365869
"2005-03-03",-1.94154109055497,-1.35417221770359
"2005-03-04",-2.12044682301897,-1.51483977547723
"2005-03-07",-1.9069663567515,-1.32916725017903
"2005-03-08",-1.87944054742446,-1.31070625998978
"2005-03-09",-1.80645686024879,-1.25907482084494
"2005-03-10",-1.93335366772852,-1.34783552784863
"2005-03-11",-1.90658034885413,-1.32946285821631
"2005-03-14",-2.03012506370907,-1.44715344534135
"2005-03-15",-2.02309358832807,-1.44533756513994
"2005-03-16",-1.83359347268896,-1.27684226274046
"2005-03-17",-2.02498544266446,-1.44481547007112
"2005-03-18",-1.81630995158823,-1.26589402300527
"2005-03-21",-1.79421426508032,-1.24943028048384
"2005-03-22",-1.77332840244036,-1.23426333677218
"2005-03-23",-1.72393956480268,-1.20095109497894
"2005-03-24",-1.7854234364302,-1.24356622629134
"2005-03-28",-1.69712032354728,-1.18175866967773
"2005-03-29",-1.67658255009508,-1.16730622293485
"2005-03-30",-1.68454214545295,-1.17505853567221
"2005-03-31",-1.70789108604974,-1.19286449214227
"2005-04-01",-1.76082956151489,-1.2269486249219
"2005-04-04",-1.69421404472601,-1.18013310926799
"2005-04-05",-1.83340179172025,-1.27978722773028
"2005-04-06",-1.8336632002793,-1.27849022657389
"2005-04-07",-1.80616023897121,-1.25850795322333
"2005-04-08",-1.8280041642962,-1.27460492049019
"2005-04-11",-1.80477346636419,-1.25753130421276
"2005-04-12",-1.74133141545427,-1.21406238219898
"2005-04-13",-1.93597147370713,-1.38484885266743
"2005-04-14",-1.78390759184365,-1.2442641501386
"2005-04-15",-1.8363076815035,-1.28235347210892
"2005-04-18",-2.4516108076002,-1.71688758280579
"2005-04-19",-2.28327710625767,-1.59801179248457
"2005-04-20",-2.36684633474806,-1.6556860532453
"2005-04-21",-2.46233446618754,-1.72313375883178
"2005-04-22",-2.56304261960568,-1.79476737788011
"2005-04-25",-2.5095997796254,-1.75631682974071
"2005-04-26",-2.42473875686209,-1.69646669317402
"2005-04-27",-2.32178078375701,-1.62448621451621
"2005-04-28",-2.28350233051961,-1.59820276867684
"2005-04-29",-2.32976707752197,-1.62997815393761
"2005-05-02",-2.29811283356825,-1.60972512365979
"2005-05-03",-2.19372349720949,-1.53398032718789
"2005-05-04",-2.13847779410693,-1.49551356151059
"2005-05-05",-2.08311121234305,-1.45976294616178
"2005-05-06",-2.0862089956165,-1.45704967575815
"2005-05-09",-2.04576333494699,-1.42845556095672
"2005-05-10",-1.92858893896642,-1.34583070746085
"2005-05-11",-2.09521574732933,-1.49851327012041
"2005-05-12",-2.08469809228302,-1.49015288585559
"2005-05-13",-2.00437528041877,-1.40071138029251
"2005-05-16",-1.99287363254386,-1.39280151370324
"2005-05-17",-1.99224054269614,-1.39202265647344
"2005-05-18",-1.9820276999167,-1.38465887863193
"2005-05-19",-2.17554590783982,-1.55449969524312
"2005-05-20",-1.97745273365259,-1.38345636737087
"2005-05-23",-1.94900981520171,-1.35986156005097
"2005-05-24",-1.8677873963507,-1.30615145848733
"2005-05-25",-1.82340718458367,-1.27167354608431
"2005-05-26",-1.80422409546765,-1.2574564980232
"2005-05-27",-1.78600288681767,-1.24521711364536
"2005-05-31",-1.79244897959942,-1.24852505663049
"2005-06-01",-1.77556107786701,-1.23775343925651
"2005-06-02",-1.77864532431401,-1.2397216730469
"2005-06-03",-1.70470084344766,-1.18785534172788
"2005-06-06",-1.72526269829823,-1.20157292167497
"2005-06-07",-1.69049421499499,-1.17679835341661
"2005-06-08",-1.61944024592697,-1.12660551118377
"2005-06-09",-1.60609337726272,-1.11742776037981
"2005-06-10",-1.64067718360536,-1.14149161656004
"2005-06-13",-1.59668808129018,-1.110776488438
"2005-06-14",-1.548749899976,-1.07664075059168
"2005-06-15",-1.57017544709288,-1.09129384372241
"2005-06-16",-1.73127560783761,-1.20558833529306
"2005-06-17",-1.59484050596847,-1.10869483531663
"2005-06-20",-1.60832464292505,-1.1176299363159
"2005-06-21",-1.56892881410032,-1.0895555954034
"2005-06-22",-1.57708858539419,-1.09534940213431
"2005-06-23",-1.53774496382362,-1.06834893707783
"2005-06-24",-1.69081909631337,-1.17723330423607
"2005-06-27",-1.76752641688883,-1.23174300807036
"2005-06-28",-1.7618101375935,-1.22698449123053
"2005-06-29",-2.00652773034753,-1.40002992325868
"2005-06-30",-1.79045809060452,-1.24774008918188
"2005-07-01",-2.02338785492165,-1.41320324702002
"2005-07-05",-2.13414721438698,-1.52249402596588
"2005-07-06",-1.96707519462117,-1.3718950520227
"2005-07-07",-2.02170297850223,-1.41067746055696
"2005-07-08",-1.99234615631822,-1.3909066014155
"2005-07-11",-2.02226756391806,-1.4101536111147
"2005-07-12",-2.11373936505459,-1.50808302961562
"2005-07-13",-1.9042141111046,-1.32713799763378
"2005-07-14",-1.86503822276431,-1.29929178775559
"2005-07-15",-1.83628020256782,-1.27883845810092
"2005-07-18",-1.77732722767762,-1.23805267090005
"2005-07-19",-1.72133286722736,-1.1980963916658
"2005-07-20",-1.81682323538075,-1.26465242563927
"2005-07-21",-1.77675415419353,-1.23597783486063
"2005-07-22",-1.71189587877147,-1.19048299052684
"2005-07-25",-1.71076376171927,-1.19019660050336
"2005-07-26",-1.68873907322562,-1.17494154684445
"2005-07-27",-1.63616097563591,-1.13846572959277
"2005-07-28",-1.6265591064322,-1.1312817341163
"2005-07-29",-1.60529759825695,-1.11429207390189
"2005-08-01",-1.63386249494709,-1.13670238886653
"2005-08-02",-1.60577301339578,-1.11667535280881
"2005-08-03",-1.73119062832417,-1.20496015075613
"2005-08-04",-1.57677540163825,-1.09576564107313
