"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.30284975891587,-0.907324718935917
"2004-12-29",-1.30553142597965,-0.908367647053315
"2004-12-30",-1.2777492387877,-0.888924452786964
"2004-12-31",-1.233240332474,-0.85717545993747
"2005-01-03",-1.18810304669603,-0.82508614811863
"2005-01-04",-1.42882428797717,-0.996910424159734
"2005-01-05",-1.54404957508199,-1.07886067234108
"2005-01-06",-1.48715332781592,-1.03876403494916
"2005-01-07",-1.47507486798858,-1.02991170945751
"2005-01-10",-1.45434448225817,-1.01532468533
"2005-01-11",-1.4099325970169,-0.984002730652765
"2005-01-12",-1.40358809152481,-0.979824204291257
"2005-01-13",-1.4659233497879,-1.02326282933865
"2005-01-14",-1.5618537751509,-1.0914994407387
"2005-01-18",-1.53582292394834,-1.07279471825388
"2005-01-19",-1.56687894875624,-1.09441436075223
"2005-01-20",-1.59078246578419,-1.11182778137235
"2005-01-21",-1.59214641464882,-1.11352500978909
"2005-01-24",-1.62268275044427,-1.13535391957505
"2005-01-25",-1.57940413818341,-1.10476228189014
"2005-01-26",-1.67581914818322,-1.17260359381658
"2005-01-27",-1.62713313325491,-1.13816677462443
"2005-01-28",-1.56677869115501,-1.0955669490971
"2005-01-31",-1.77351502116847,-1.24234414945077
"2005-02-01",-1.72087857417791,-1.20527601358282
"2005-02-02",-1.68154375404747,-1.17726118587823
"2005-02-03",-1.71271027234368,-1.19882078902288
"2005-02-04",-1.65097490881158,-1.15511350093211
"2005-02-07",-1.63284992236928,-1.14191058916336
"2005-02-08",-1.58720740922026,-1.10997013413041
"2005-02-09",-1.55955575599195,-1.09006806451625
"2005-02-10",-1.53274239147977,-1.07124352136645
"2005-02-11",-1.521911091493,-1.06324384857621
"2005-02-14",-1.49361696984773,-1.04289347409461
"2005-02-15",-1.44973835475868,-1.01157762415822
"2005-02-16",-1.40629253065104,-0.980468328586019
"2005-02-17",-1.38645922381212,-0.966005557176776
"2005-02-18",-1.41972528157786,-0.989947247962459
"2005-02-22",-1.53939444951721,-1.07403738105763
"2005-02-23",-1.83443819958104,-1.28403661885081
"2005-02-24",-1.85512627070248,-1.29818542462187
"2005-02-25",-1.95677520467878,-1.36953915467087
"2005-02-28",-1.9914806733502,-1.39369992211776
"2005-03-01",-1.95007007111451,-1.36464340347516
"2005-03-02",-1.87997416788284,-1.31492037806026
"2005-03-03",-1.81487175726067,-1.26880488563582
"2005-03-04",-1.75924236658631,-1.22933773894499
"2005-03-07",-1.79167247454065,-1.25186043708823
"2005-03-08",-1.73545841220517,-1.21170703064168
"2005-03-09",-1.67253235723872,-1.16716043685957
"2005-03-10",-1.79875150289315,-1.256826258566
"2005-03-11",-1.73878290072431,-1.21427616281213
"2005-03-14",-1.69526094954081,-1.18333698146476
"2005-03-15",-1.64743646054462,-1.14952142551287
"2005-03-16",-1.62182967663067,-1.13144176760336
"2005-03-17",-1.63323555966156,-1.13943212562944
"2005-03-18",-1.58556652425079,-1.10539263681283
"2005-03-21",-1.56864832728621,-1.0931979838381
"2005-03-22",-1.53130185658045,-1.0671683913684
"2005-03-23",-1.56928828727753,-1.09496488629016
"2005-03-24",-1.5290403575607,-1.06656479759562
"2005-03-28",-1.4854893174477,-1.03589988954772
"2005-03-29",-1.44214102472148,-1.00524132999987
"2005-03-30",-1.52361769220944,-1.06334265853586
"2005-03-31",-1.70609124854654,-1.19064090427632
"2005-04-01",-1.65790573365417,-1.15683255194814
"2005-04-04",-1.61580911104544,-1.12779661974752
"2005-04-05",-1.57762833346481,-1.10086716207861
"2005-04-06",-1.52739429794087,-1.06552270451421
"2005-04-07",-1.49520857099191,-1.04281477452289
"2005-04-08",-1.51683315705499,-1.05740097747972
"2005-04-11",-1.56235109676311,-1.09037201891988
"2005-04-12",-1.5118271101057,-1.05477167870191
"2005-04-13",-1.46703833939215,-1.02308400284657
"2005-04-14",-1.54857121164457,-1.08179273342776
"2005-04-15",-1.58872285898858,-1.11075837469137
"2005-04-18",-2.0762749221897,-1.455840101174
"2005-04-19",-2.00974818903042,-1.40887501600312
"2005-04-20",-2.01623261811222,-1.4130536851484
"2005-04-21",-2.08817832036733,-1.46458321727954
"2005-04-22",-2.38111332694212,-1.67076553444294
"2005-04-25",-2.30149829532423,-1.61479699260244
"2005-04-26",-2.27445035201405,-1.59535484536653
"2005-04-27",-2.2474904787582,-1.57687164771774
"2005-04-28",-2.17517659993839,-1.5255900671876
"2005-04-29",-2.24076314372118,-1.57217771192822
"2005-05-02",-2.2820048261096,-1.60124663823596
"2005-05-03",-2.22683640572604,-1.56221280615631
"2005-05-04",-2.16014302348937,-1.51510517723891
"2005-05-05",-2.15198038805825,-1.50916744605626
"2005-05-06",-2.0879133793826,-1.46398088165237
"2005-05-09",-2.02012728890841,-1.41593342605293
"2005-05-10",-1.96737174428958,-1.37864256474348
"2005-05-11",-1.97211999358391,-1.38231902022034
"2005-05-12",-1.92763455291569,-1.35164634281889
"2005-05-13",-2.01605797513141,-1.41457371935066
