"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.58955471302919,-1.11020255430503
"2004-12-29",-1.59713514409554,-1.11487809634712
"2004-12-30",-1.56358957083637,-1.09124039984431
"2004-12-31",-1.51329370106309,-1.05536820659412
"2005-01-03",-1.46337873344635,-1.01986016606978
"2005-01-04",-1.75858281757942,-1.22949108053775
"2005-01-05",-1.89361526636024,-1.32516584140622
"2005-01-06",-1.80896803283569,-1.26544828931658
"2005-01-07",-1.78537335172124,-1.24859656429624
"2005-01-10",-1.75302936633529,-1.22569208602289
"2005-01-11",-1.69263780394564,-1.18315102829839
"2005-01-12",-1.68278023787203,-1.17638369287907
"2005-01-13",-1.75979696699547,-1.23046178046448
"2005-01-14",-1.87514328228545,-1.31222382431813
"2005-01-18",-1.83293500181325,-1.28219472134938
"2005-01-19",-1.86509115769195,-1.30477776343434
"2005-01-20",-1.88715839977913,-1.32078179347986
"2005-01-21",-1.87995009229534,-1.31633670673846
"2005-01-24",-1.91114765864718,-1.33850949745902
"2005-01-25",-1.84808118168637,-1.2938350113364
"2005-01-26",-1.96735129945016,-1.37812943878542
"2005-01-27",-1.89481257385086,-1.32691825569144
"2005-01-28",-1.81085327279411,-1.26763157228917
"2005-01-31",-2.07144370855891,-1.45234170276185
"2005-02-01",-1.99172550619766,-1.39622957599177
"2005-02-02",-1.93114554056588,-1.35325371468761
"2005-02-03",-1.96366314690976,-1.37590357903391
"2005-02-04",-1.87730401137105,-1.31478309319506
"2005-02-07",-1.85078464035474,-1.29569348735446
"2005-02-08",-1.79155220987781,-1.25414166393184
"2005-02-09",-1.75681206815878,-1.22925561210204
"2005-02-10",-1.72431072338874,-1.20631282652989
"2005-02-11",-1.71359107948789,-1.19846408429895
"2005-02-14",-1.68109340629341,-1.17517687324195
"2005-02-15",-1.6305002958888,-1.13912712262727
"2005-02-16",-1.58289819981211,-1.10507858214227
"2005-02-17",-1.56605921072349,-1.09278365934303
"2005-02-18",-1.61399577754375,-1.12690940479362
"2005-02-22",-1.76735661587696,-1.23497739879087
"2005-02-23",-2.12474047907303,-1.48867443782207
"2005-02-24",-2.13465226284088,-1.495288363383
"2005-02-25",-2.24104445321069,-1.57010423921453
"2005-02-28",-2.26296056047441,-1.58529230998979
"2005-03-01",-2.19387019963458,-1.53660632785941
"2005-03-02",-2.09389165913291,-1.46576857103021
"2005-03-03",-2.00491247221221,-1.4027647214762
"2005-03-04",-1.93141541165745,-1.35065404455069
"2005-03-07",-1.96986501082026,-1.37755680604662
"2005-03-08",-1.90149826196355,-1.32887677319385
"2005-03-09",-1.82210486691129,-1.27265745216708
"2005-03-10",-1.98412715826886,-1.38753226676255
"2005-03-11",-1.90517192175016,-1.33157795034454
"2005-03-14",-1.85096755321564,-1.29309448476968
"2005-03-15",-1.79202522891447,-1.25143838838974
"2005-03-16",-1.76366642541759,-1.23142216354369
"2005-03-17",-1.78320331729519,-1.2451201787121
"2005-03-18",-1.72644210079706,-1.2047178268811
"2005-03-21",-1.71108004274901,-1.19366719289026
"2005-03-22",-1.66800859148369,-1.16351518797448
"2005-03-23",-1.72111988637646,-1.20191775184664
"2005-03-24",-1.67445292847934,-1.16898458074356
"2005-03-28",-1.62575816099628,-1.1346765220093
"2005-03-29",-1.57879626224096,-1.10146765262272
"2005-03-30",-1.69153744533075,-1.1815941184559
"2005-03-31",-1.92282573401263,-1.34360641898096
"2005-04-01",-1.8553736664714,-1.29610359718428
"2005-04-04",-1.79946269794721,-1.25718793980799
"2005-04-05",-1.75058242334244,-1.22267763389107
"2005-04-06",-1.68834816504662,-1.17884661598277
"2005-04-07",-1.65108164871511,-1.15256718334508
"2005-04-08",-1.68427753782406,-1.17543640107385
"2005-04-11",-1.74449715328729,-1.21866948497663
"2005-04-12",-1.68157949823087,-1.17431387277181
"2005-04-13",-1.62863604952405,-1.13689335263015
