"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.68749416742598,-1.09275346604095
"2004-12-29",-1.69409740984582,-1.09604506204991
"2004-12-30",-1.66333977876481,-1.07634985784205
"2004-12-31",-1.61610595470338,-1.04449869046867
"2005-01-03",-1.56821891084763,-1.01218605456448
"2005-01-04",-1.80353717769139,-1.1673383347993
"2005-01-05",-1.92476157547386,-1.24745360536002
"2005-01-06",-1.85893485235114,-1.20416282395322
"2005-01-07",-1.84939761927162,-1.19782669124594
"2005-01-10",-1.82576464035717,-1.1819555995251
"2005-01-11",-1.77856019603655,-1.15058085566623
"2005-01-12",-1.77162279686171,-1.14655131756737
"2005-01-13",-1.83812887030584,-1.19075694805011
"2005-01-14",-1.937011938007,-1.25608592043918
"2005-01-18",-1.90959964455247,-1.23763818013445
"2005-01-19",-1.94261549431105,-1.25962004638093
"2005-01-20",-1.9601482927552,-1.27264010828698
"2005-01-21",-1.96678550769218,-1.27744927554038
"2005-01-24",-1.99796122542249,-1.29825816518045
"2005-01-25",-1.95045807872027,-1.26623843892188
"2005-01-26",-2.08281603564888,-1.35310389564761
"2005-01-27",-2.02099938767391,-1.31230540667537
"2005-01-28",-1.93886901119206,-1.25846100642031
"2005-01-31",-2.15218995030118,-1.39915536143977
"2005-02-01",-2.0957577278949,-1.36134573994688
"2005-02-02",-2.04730343560015,-1.32938686108884
"2005-02-03",-2.0788884560936,-1.35065634419391
"2005-02-04",-2.00220678962803,-1.30018914379134
"2005-02-07",-1.9827505162901,-1.28706472474349
"2005-02-08",-1.93308895376722,-1.25454784317061
"2005-02-09",-1.90355305543734,-1.23490671539986
"2005-02-10",-1.87206766296415,-1.21456811987907
"2005-02-11",-1.85885939356863,-1.20622428297339
"2005-02-14",-1.82938362863454,-1.18680497941638
"2005-02-15",-1.78672606894872,-1.15847213700806
"2005-02-16",-1.74972291889487,-1.13261608638697
"2005-02-17",-1.73213347140354,-1.12083883809662
"2005-02-18",-1.7614396182863,-1.1399389691858
"2005-02-22",-1.87946738984798,-1.21791876660992
"2005-02-23",-2.17681360678513,-1.41424650430529
"2005-02-24",-2.19509393934102,-1.42527225697529
"2005-02-25",-2.29091278616869,-1.48979683261123
"2005-02-28",-2.31404322882504,-1.5063307385505
"2005-03-01",-2.25743933368528,-1.46984894585663
"2005-03-02",-2.1849492146689,-1.42229559254419
"2005-03-03",-2.12081038768793,-1.37996472500595
"2005-03-04",-2.06727790643838,-1.3445032242932
