"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.66045260126188,-1.09282612616894
"2004-12-29",-1.63686721202359,-1.07628341498012
"2004-12-30",-1.62942966951695,-1.07196056696833
"2004-12-31",-1.60351744468632,-1.05405928831536
"2005-01-03",-1.57519269190847,-1.03454219519566
"2005-01-04",-1.9372903410281,-1.27487849839488
"2005-01-05",-2.12198872202793,-1.39773236085264
"2005-01-06",-2.06026244998194,-1.35688094004807
"2005-01-07",-2.01088318627854,-1.3242412971009
"2005-01-10",-2.00169976958596,-1.31774643494081
"2005-01-11",-1.95081920271855,-1.28351854497322
"2005-01-12",-1.95815644487807,-1.28887129469955
"2005-01-13",-1.92376671262665,-1.26690004462146
"2005-01-14",-2.08595382921649,-1.37469441649756
"2005-01-18",-2.03597523471147,-1.34119121300595
"2005-01-19",-1.99498654875979,-1.31430840860298
"2005-01-20",-2.05530797700262,-1.35577013974718
"2005-01-21",-2.0815769975194,-1.37285214565238
"2005-01-24",-2.14956361651851,-1.41815910834936
"2005-01-25",-2.11323834953977,-1.39327268356056
"2005-01-26",-2.0796511523086,-1.37027393016829
"2005-01-27",-2.02508349550861,-1.33408448318447
"2005-01-28",-1.97123189271627,-1.29872433673232
"2005-01-31",-2.30269272201865,-1.51862921902644
"2005-02-01",-2.2370790176894,-1.47431696423761
"2005-02-02",-2.17714175411531,-1.43469982893366
"2005-02-03",-2.12978925136186,-1.40408101673907
"2005-02-04",-2.07297115761712,-1.36656802243184
"2005-02-07",-2.02692330512728,-1.33586185597709
"2005-02-08",-1.99062226046639,-1.31191406595668
"2005-02-09",-1.94701121122571,-1.28290614671566
"2005-02-10",-1.93777540716632,-1.27712668765798
"2005-02-11",-1.89703478163859,-1.25059086140101
"2005-02-14",-1.85714551037689,-1.22414977117115
"2005-02-15",-1.81686130827798,-1.19723602490162
"2005-02-16",-1.78076320359327,-1.17157179796405
"2005-02-17",-1.74699877831989,-1.14901636813156
"2005-02-18",-1.82093655777394,-1.19733884553284
"2005-02-22",-1.80515865130004,-1.1876590359683
"2005-02-23",-2.27622680489986,-1.49984925571763
"2005-02-24",-2.23027996152138,-1.46811102231268
"2005-02-25",-2.19875924596069,-1.44892712372666
"2005-02-28",-2.15933837731336,-1.42415115581688
"2005-03-01",-2.1454051047045,-1.41588678913744
"2005-03-02",-2.08869002604631,-1.37842266184948
"2005-03-03",-2.0345275328359,-1.34244189493004
"2005-03-04",-1.98510389636157,-1.3094750928275
"2005-03-07",-1.95414749334255,-1.28718927639186
"2005-03-08",-1.91180902722801,-1.26359172366367
"2005-03-09",-1.86385912295598,-1.2322103747699
"2005-03-10",-2.10567096097404,-1.3942458244039
"2005-03-11",-2.05101650304706,-1.35769917920986
"2005-03-14",-2.01878837544944,-1.33551830852534
"2005-03-15",-1.97273446407554,-1.30399041375061
"2005-03-16",-1.96550064616142,-1.29796006382774
"2005-03-17",-1.99738840144518,-1.31820370290292
"2005-03-18",-1.94647286602335,-1.28185663474837
"2005-03-21",-1.90846798227689,-1.25745871890043
"2005-03-22",-1.88732330355656,-1.24300847371712
"2005-03-23",-1.97028423476299,-1.29923660946928
"2005-03-24",-1.93844083220972,-1.27747952608626
"2005-03-28",-1.90319222109738,-1.2544501833479
"2005-03-29",-1.86172034937055,-1.2268633977565
"2005-03-30",-1.99082292344309,-1.31340859058782
"2005-03-31",-1.96820376631031,-1.2967799730485
"2005-04-01",-1.92985108406813,-1.27187704145958
"2005-04-04",-1.90353374232179,-1.25627495938495
