"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.60769529131477,-1.06412499117372
"2004-12-29",-1.58335883337932,-1.04705536583923
"2004-12-30",-1.57777045719987,-1.04374300010432
"2004-12-31",-1.55312419370339,-1.02645828231713
"2005-01-03",-1.52486108544452,-1.00682169749222
"2005-01-04",-1.87907271750936,-1.24419551614441
"2005-01-05",-2.0599380526489,-1.36574944341008
"2005-01-06",-1.9987683020558,-1.32489252881667
"2005-01-07",-1.948399997258,-1.29153152245858
"2005-01-10",-1.94016789844377,-1.28551934385426
"2005-01-11",-1.88979253489132,-1.25135860910339
"2005-01-12",-1.89727528693824,-1.2568632900451
"2005-01-13",-1.86400946625496,-1.23527335781226
"2005-01-14",-2.02301000512727,-1.34201933844816
"2005-01-18",-1.97058730388558,-1.30707888933555
"2005-01-19",-1.93053945660193,-1.28047667113959
"2005-01-20",-1.99192062145145,-1.32272515003509
"2005-01-21",-2.01838147606502,-1.340030193374
"2005-01-24",-2.08503728056338,-1.38491538716786
"2005-01-25",-2.04978754304596,-1.36045663510072
"2005-01-26",-2.01544289344246,-1.33693996070262
"2005-01-27",-1.96149824787349,-1.3008796121172
"2005-01-28",-1.90903947191549,-1.26599956924586
"2005-01-31",-2.23036121847052,-1.4815587120864
"2005-02-01",-2.16551232497851,-1.43743384430353
"2005-02-02",-2.10482958367228,-1.39723636864679
"2005-02-03",-2.05755869863242,-1.36652476771933
"2005-02-04",-2.00153972433009,-1.32921344225045
"2005-02-07",-1.95389075324748,-1.29755242943488
"2005-02-08",-1.92119567626362,-1.27542259814652
"2005-02-09",-1.87627532929211,-1.24563586764803
"2005-02-10",-1.86783025197437,-1.24038582848905
"2005-02-11",-1.8279859255635,-1.21413293688349
"2005-02-14",-1.78713052008121,-1.18710183517138
"2005-02-15",-1.74587530522638,-1.15955765277068
"2005-02-16",-1.70787201287512,-1.13272501385071
"2005-02-17",-1.67262491316847,-1.10930289436191
"2005-02-18",-1.74620580442316,-1.15778591183034
"2005-02-22",-1.73415438248606,-1.15007768801452
"2005-02-23",-2.18927883353681,-1.45533132107927
"2005-02-24",-2.1417859023802,-1.4226320495028
"2005-02-25",-2.11208179547518,-1.40435053115779
"2005-02-28",-2.07403505330944,-1.38016247090609
"2005-03-01",-2.06379888722098,-1.37378714046924
"2005-03-02",-2.0071728048444,-1.33623109204619
"2005-03-03",-1.95485509660936,-1.30103164054225
"2005-03-04",-1.90673028312364,-1.26859788327662
